"ch_version","name","value","changed"
"1.1.54310","min_compress_block_size","65536",0
"1.1.54310","max_compress_block_size","1048576",0
"1.1.54310","max_block_size","65536",0
"1.1.54310","max_insert_block_size","1048576",0
"1.1.54310","min_insert_block_size_rows","1048576",0
"1.1.54310","min_insert_block_size_bytes","268435456",0
"1.1.54310","max_threads","4",0
"1.1.54310","max_read_buffer_size","1048576",0
"1.1.54310","max_distributed_connections","1024",0
"1.1.54310","max_query_size","262144",0
"1.1.54310","interactive_delay","100000",0
"1.1.54310","connect_timeout","10",0
"1.1.54310","connect_timeout_with_failover_ms","50",0
"1.1.54310","receive_timeout","300",0
"1.1.54310","send_timeout","300",0
"1.1.54310","queue_max_wait_ms","5000",0
"1.1.54310","poll_interval","10",0
"1.1.54310","distributed_connections_pool_size","1024",0
"1.1.54310","connections_with_failover_max_tries","3",0
"1.1.54310","extremes","0",0
"1.1.54310","use_uncompressed_cache","0",1
"1.1.54310","replace_running_query","0",0
"1.1.54310","background_pool_size","16",0
"1.1.54310","distributed_directory_monitor_sleep_time_ms","100",0
"1.1.54310","distributed_directory_monitor_batch_inserts","0",0
"1.1.54310","optimize_move_to_prewhere","1",0
"1.1.54310","replication_alter_partitions_sync","1",0
"1.1.54310","replication_alter_columns_timeout","60",0
"1.1.54310","load_balancing","random",1
"1.1.54310","totals_mode","after_having_exclusive",0
"1.1.54310","totals_auto_threshold","0.5",0
"1.1.54310","compile","0",0
"1.1.54310","min_count_to_compile","3",0
"1.1.54310","group_by_two_level_threshold","100000",0
"1.1.54310","group_by_two_level_threshold_bytes","100000000",0
"1.1.54310","distributed_aggregation_memory_efficient","0",0
"1.1.54310","aggregation_memory_efficient_merge_threads","0",0
"1.1.54310","max_parallel_replicas","1",0
"1.1.54310","parallel_replicas_count","0",0
"1.1.54310","parallel_replica_offset","0",0
"1.1.54310","skip_unavailable_shards","0",0
"1.1.54310","distributed_group_by_no_merge","0",0
"1.1.54310","merge_tree_min_rows_for_concurrent_read","163840",0
"1.1.54310","merge_tree_min_rows_for_seek","0",0
"1.1.54310","merge_tree_coarse_index_granularity","8",0
"1.1.54310","merge_tree_max_rows_to_use_cache","1048576",0
"1.1.54310","merge_tree_uniform_read_distribution","1",0
"1.1.54310","optimize_min_equality_disjunction_chain_length","3",0
"1.1.54310","min_bytes_to_use_direct_io","0",0
"1.1.54310","force_index_by_date","0",0
"1.1.54310","force_primary_key","0",0
"1.1.54310","strict_insert_defaults","0",0
"1.1.54310","mark_cache_min_lifetime","10000",0
"1.1.54310","max_streams_to_max_threads_ratio","1",0
"1.1.54310","network_compression_method","lz4",0
"1.1.54310","network_zstd_compression_level","1",0
"1.1.54310","priority","0",0
"1.1.54310","log_queries","0",0
"1.1.54310","log_queries_cut_to_length","100000",0
"1.1.54310","distributed_product_mode","deny",0
"1.1.54310","global_subqueries_method","push",0
"1.1.54310","max_concurrent_queries_for_user","0",0
"1.1.54310","insert_deduplicate","1",0
"1.1.54310","insert_quorum","0",0
"1.1.54310","insert_quorum_timeout","600000",0
"1.1.54310","select_sequential_consistency","0",0
"1.1.54310","table_function_remote_max_addresses","1000",0
"1.1.54310","read_backoff_min_latency_ms","1000",0
"1.1.54310","read_backoff_max_throughput","1048576",0
"1.1.54310","read_backoff_min_interval_between_events_ms","1000",0
"1.1.54310","read_backoff_min_events","2",0
"1.1.54310","memory_tracker_fault_probability","0",0
"1.1.54310","enable_http_compression","0",0
"1.1.54310","http_zlib_compression_level","3",0
"1.1.54310","http_native_compression_disable_checksumming_on_decompress","0",0
"1.1.54310","resharding_barrier_timeout","300",0
"1.1.54310","count_distinct_implementation","uniqExact",0
"1.1.54310","output_format_write_statistics","1",0
"1.1.54310","add_http_cors_header","0",0
"1.1.54310","input_format_skip_unknown_fields","0",0
"1.1.54310","input_format_values_interpret_expressions","1",0
"1.1.54310","output_format_json_quote_64bit_integers","1",0
"1.1.54310","output_format_json_quote_denormals","0",0
"1.1.54310","output_format_pretty_max_rows","10000",0
"1.1.54310","use_client_time_zone","0",0
"1.1.54310","send_progress_in_http_headers","0",0
"1.1.54310","http_headers_progress_interval_ms","100",0
"1.1.54310","fsync_metadata","1",0
"1.1.54310","input_format_allow_errors_num","0",0
"1.1.54310","input_format_allow_errors_ratio","0",0
"1.1.54310","join_use_nulls","0",0
"1.1.54310","preferred_block_size_bytes","1000000",0
"1.1.54310","max_replica_delay_for_distributed_queries","300",0
"1.1.54310","fallback_to_stale_replicas_for_distributed_queries","1",0
"1.1.54310","distributed_ddl_allow_replicated_alter","0",0
"1.1.54310","preferred_max_column_in_block_size_bytes","0",0
"1.1.54310","insert_distributed_sync","0",0
"1.1.54310","insert_distributed_timeout","0",0
"1.1.54310","distributed_ddl_task_timeout","120",0
"1.1.54310","experimental_allow_extended_storage_definition_syntax","0",0
"1.1.54310","stream_flush_interval_ms","7500",0
"1.1.54310","format_schema","",0
"1.1.54310","max_rows_to_read","0",0
"1.1.54310","max_bytes_to_read","0",0
"1.1.54310","read_overflow_mode","throw",0
"1.1.54310","max_rows_to_group_by","0",0
"1.1.54310","group_by_overflow_mode","throw",0
"1.1.54310","max_bytes_before_external_group_by","0",0
"1.1.54310","max_rows_to_sort","0",0
"1.1.54310","max_bytes_to_sort","0",0
"1.1.54310","sort_overflow_mode","throw",0
"1.1.54310","max_bytes_before_external_sort","0",0
"1.1.54310","max_result_rows","0",0
"1.1.54310","max_result_bytes","0",0
"1.1.54310","result_overflow_mode","throw",0
"1.1.54310","max_execution_time","0",0
"1.1.54310","timeout_overflow_mode","throw",0
"1.1.54310","min_execution_speed","0",0
"1.1.54310","timeout_before_checking_execution_speed","0",0
"1.1.54310","max_columns_to_read","0",0
"1.1.54310","max_temporary_columns","0",0
"1.1.54310","max_temporary_non_const_columns","0",0
"1.1.54310","max_subquery_depth","100",0
"1.1.54310","max_pipeline_depth","1000",0
"1.1.54310","max_ast_depth","1000",0
"1.1.54310","max_ast_elements","50000",0
"1.1.54310","readonly","0",0
"1.1.54310","max_rows_in_set","0",0
"1.1.54310","max_bytes_in_set","0",0
"1.1.54310","set_overflow_mode","throw",0
"1.1.54310","max_rows_in_join","0",0
"1.1.54310","max_bytes_in_join","0",0
"1.1.54310","join_overflow_mode","throw",0
"1.1.54310","max_rows_to_transfer","0",0
"1.1.54310","max_bytes_to_transfer","0",0
"1.1.54310","transfer_overflow_mode","throw",0
"1.1.54310","max_rows_in_distinct","0",0
"1.1.54310","max_bytes_in_distinct","0",0
"1.1.54310","distinct_overflow_mode","throw",0
"1.1.54310","max_memory_usage","10000000000",1
"1.1.54310","max_memory_usage_for_user","0",0
"1.1.54310","max_memory_usage_for_all_queries","0",0
"1.1.54310","max_network_bandwidth","0",0
"1.1.54310","max_network_bytes","0",0
"1.1.54310","max_network_bandwidth_for_user","0",0
