"ch_version","name","value"
"18.14.10","VERSION_FULL","ClickHouse 18.14.10"
"18.14.10","VERSION_DESCRIBE","v18.14.10-testing"
"18.14.10","VERSION_GITHASH","a43ba4e8dd87f6a5f3f4110d11925f44637fc66f"
"18.14.10","VERSION_REVISION","54409"
"18.14.10","BUILD_DATE","2018-10-23"
"18.14.10","BUILD_TYPE","RELWITHDEBINFO"
"18.14.10","SYSTEM","Linux-4.9.101-26"
"18.14.10","SYSTEM_PROCESSOR","x86_64"
"18.14.10","LIBRARY_ARCHITECTURE","x86_64-linux-gnu"
"18.14.10","CMAKE_VERSION","3.10.2"
"18.14.10","C_COMPILER","/usr/lib/ccache/cc"
"18.14.10","C_COMPILER_VERSION","7.3.0"
"18.14.10","CXX_COMPILER","/usr/lib/ccache/g++"
"18.14.10","CXX_COMPILER_VERSION","7.3.0"
"18.14.10","C_FLAGS"," -fdiagnostics-color=always  -pipe -msse4.1 -msse4.2 -mpopcnt -fno-omit-frame-pointer  -Wall  -no-pie -O2 -g -DNDEBUG -O3 "
"18.14.10","CXX_FLAGS"," -fdiagnostics-color=always  -pipe -msse4.1 -msse4.2 -mpopcnt  -fno-omit-frame-pointer  -Wall  -Wnon-virtual-dtor -no-pie -O2 -g -DNDEBUG -O3 "
"18.14.10","LINK_FLAGS"," -fuse-ld=gold -static-libgcc -static-libstdc++"
"18.14.10","BUILD_COMPILE_DEFINITIONS",""
"18.14.10","BUILD_INCLUDE_DIRECTORIES",""
"18.14.10","STATIC","ON"
"18.14.10","USE_EMBEDDED_COMPILER","1"
"18.14.10","USE_INTERNAL_MEMCPY","ON"
"18.14.10","USE_GLIBC_COMPATIBILITY","ON"
"18.14.10","USE_JEMALLOC","1"
"18.14.10","USE_TCMALLOC",""
"18.14.10","USE_UNWIND","1"
"18.14.10","USE_ICU","1"
"18.14.10","USE_MYSQL","1"
"18.14.10","USE_RE2_ST","1"
"18.14.10","USE_VECTORCLASS",""
"18.14.10","USE_RDKAFKA","1"
"18.14.10","USE_CAPNP","1"
"18.14.10","USE_POCO_SQLODBC",""
"18.14.10","USE_POCO_DATAODBC","1"
"18.14.10","USE_POCO_MONGODB","1"
"18.14.10","USE_POCO_NETSSL","1"
