"ch_version","name","case_insensitive","alias_to"
"18.14.15","LowCardinality",0,""
"18.14.15","IntervalYear",0,""
"18.14.15","IntervalDay",0,""
"18.14.15","IntervalWeek",0,""
"18.14.15","IntervalHour",0,""
"18.14.15","IntervalMinute",0,""
"18.14.15","Nested",0,""
"18.14.15","IntervalMonth",0,""
"18.14.15","Tuple",0,""
"18.14.15","AggregateFunction",0,""
"18.14.15","Nullable",0,""
"18.14.15","FixedString",0,""
"18.14.15","IntervalSecond",0,""
"18.14.15","UInt64",0,""
"18.14.15","Enum8",0,""
"18.14.15","Int32",0,""
"18.14.15","Int16",0,""
"18.14.15","Int8",0,""
"18.14.15","Date",1,""
"18.14.15","UInt32",0,""
"18.14.15","UInt8",0,""
"18.14.15","Enum16",0,""
"18.14.15","DateTime",1,""
"18.14.15","UInt16",0,""
"18.14.15","Nothing",0,""
"18.14.15","Array",0,""
"18.14.15","Int64",0,""
"18.14.15","Float32",0,""
"18.14.15","Float64",0,""
"18.14.15","Decimal32",1,""
"18.14.15","Decimal64",1,""
"18.14.15","Decimal128",1,""
"18.14.15","UUID",0,""
"18.14.15","String",0,""
"18.14.15","Decimal",1,""
"18.14.15","LONGBLOB",1,"String"
"18.14.15","MEDIUMBLOB",1,"String"
"18.14.15","TINYBLOB",1,"String"
"18.14.15","BIGINT",1,"Int64"
"18.14.15","SMALLINT",1,"Int16"
"18.14.15","TIMESTAMP",1,"DateTime"
"18.14.15","INTEGER",1,"Int32"
"18.14.15","INT",1,"Int32"
"18.14.15","DOUBLE",1,"Float64"
"18.14.15","MEDIUMTEXT",1,"String"
"18.14.15","TINYINT",1,"Int8"
"18.14.15","DEC",1,"Decimal"
"18.14.15","BINARY",1,"FixedString"
"18.14.15","FLOAT",1,"Float32"
"18.14.15","CHAR",1,"String"
"18.14.15","VARCHAR",1,"String"
"18.14.15","TEXT",1,"String"
"18.14.15","TINYTEXT",1,"String"
"18.14.15","LONGTEXT",1,"String"
"18.14.15","BLOB",1,"String"
