"ch_version","name","value","changed","description"
"18.14.17","min_compress_block_size","65536",0,"The actual size of the block to compress, if the uncompressed data less than max_compress_block_size is no less than this value and no less than the volume of data for one mark."
"18.14.17","max_compress_block_size","1048576",0,"The maximum size of blocks of uncompressed data before compressing for writing to a table."
"18.14.17","max_block_size","65536",0,"Maximum block size for reading"
"18.14.17","max_insert_block_size","1048576",0,"The maximum block size for insertion, if we control the creation of blocks for insertion."
"18.14.17","min_insert_block_size_rows","1048576",0,"Squash blocks passed to INSERT query to specified size in rows, if blocks are not big enough."
"18.14.17","min_insert_block_size_bytes","268435456",0,"Squash blocks passed to INSERT query to specified size in bytes, if blocks are not big enough."
"18.14.17","max_threads","4",0,"The maximum number of threads to execute the request. By default, it is determined automatically."
"18.14.17","max_read_buffer_size","1048576",0,"The maximum size of the buffer to read from the filesystem."
"18.14.17","max_distributed_connections","1024",0,"The maximum number of connections for distributed processing of one query (should be greater than max_threads)."
"18.14.17","max_query_size","262144",0,"Which part of the query can be read into RAM for parsing (the remaining data for INSERT, if any, is read later)"
"18.14.17","interactive_delay","100000",0,"The interval in microseconds to check if the request is cancelled, and to send progress info."
"18.14.17","connect_timeout","10",0,"Connection timeout if there are no replicas."
"18.14.17","connect_timeout_with_failover_ms","50",0,"Connection timeout for selecting first healthy replica."
"18.14.17","receive_timeout","300",0,""
"18.14.17","send_timeout","300",0,""
"18.14.17","queue_max_wait_ms","5000",0,"The wait time in the request queue, if the number of concurrent requests exceeds the maximum."
"18.14.17","poll_interval","10",0,"Block at the query wait loop on the server for the specified number of seconds."
"18.14.17","distributed_connections_pool_size","1024",0,"Maximum number of connections with one remote server in the pool."
"18.14.17","connections_with_failover_max_tries","3",0,"The maximum number of attempts to connect to replicas."
"18.14.17","extremes","0",0,"Calculate minimums and maximums of the result columns. They can be output in JSON-formats."
"18.14.17","use_uncompressed_cache","0",1,"Whether to use the cache of uncompressed blocks."
"18.14.17","replace_running_query","0",0,"Whether the running request should be canceled with the same id as the new one."
"18.14.17","background_pool_size","16",0,"Number of threads performing background work for tables (for example, merging in merge tree). Only has meaning at server startup."
"18.14.17","background_schedule_pool_size","16",0,"Number of threads performing background tasks for replicated tables. Only has meaning at server startup."
"18.14.17","distributed_directory_monitor_sleep_time_ms","100",0,"Sleep time for StorageDistributed DirectoryMonitors in case there is no work or exception has been thrown."
"18.14.17","distributed_directory_monitor_batch_inserts","0",0,"Should StorageDistributed DirectoryMonitors try to batch individual inserts into bigger ones."
"18.14.17","optimize_move_to_prewhere","1",0,"Allows disabling WHERE to PREWHERE optimization in SELECT queries from MergeTree."
"18.14.17","replication_alter_partitions_sync","1",0,"Wait for actions to manipulate the partitions. 0 - do not wait, 1 - wait for execution only of itself, 2 - wait for everyone."
"18.14.17","replication_alter_columns_timeout","60",0,"Wait for actions to change the table structure within the specified number of seconds. 0 - wait unlimited time."
"18.14.17","load_balancing","random",1,"Which replicas (among healthy replicas) to preferably send a query to (on the first attempt) for distributed processing."
"18.14.17","totals_mode","after_having_exclusive",0,"How to calculate TOTALS when HAVING is present, as well as when max_rows_to_group_by and group_by_overflow_mode = ‘any’ are present."
"18.14.17","totals_auto_threshold","0.5",0,"The threshold for totals_mode = 'auto'."
"18.14.17","compile","0",0,"Whether query compilation is enabled."
"18.14.17","compile_expressions","0",0,"Compile some scalar functions and operators to native code."
"18.14.17","min_count_to_compile","3",0,"The number of structurally identical queries before they are compiled."
"18.14.17","group_by_two_level_threshold","100000",0,"From what number of keys, a two-level aggregation starts. 0 - the threshold is not set."
"18.14.17","group_by_two_level_threshold_bytes","100000000",0,"From what size of the aggregation state in bytes, a two-level aggregation begins to be used. 0 - the threshold is not set. Two-level aggregation is used when at least one of the thresholds is triggered."
"18.14.17","distributed_aggregation_memory_efficient","0",0,"Is the memory-saving mode of distributed aggregation enabled."
"18.14.17","aggregation_memory_efficient_merge_threads","0",0,"Number of threads to use for merge intermediate aggregation results in memory efficient mode. When bigger, then more memory is consumed. 0 means - same as 'max_threads'."
"18.14.17","max_parallel_replicas","1",0,"The maximum number of replicas of each shard used when the query is executed. For consistency (to get different parts of the same partition), this option only works for the specified sampling key. The lag of the replicas is not controlled."
"18.14.17","parallel_replicas_count","0",0,""
"18.14.17","parallel_replica_offset","0",0,""
"18.14.17","skip_unavailable_shards","0",0,"Silently skip unavailable shards."
"18.14.17","distributed_group_by_no_merge","0",0,"Do not merge aggregation states from different servers for distributed query processing - in case it is for certain that there are different keys on different shards."
"18.14.17","merge_tree_min_rows_for_concurrent_read","163840",0,"If at least as many lines are read from one file, the reading can be parallelized."
"18.14.17","merge_tree_min_rows_for_seek","0",0,"You can skip reading more than that number of rows at the price of one seek per file."
"18.14.17","merge_tree_coarse_index_granularity","8",0,"If the index segment can contain the required keys, divide it into as many parts and recursively check them."
"18.14.17","merge_tree_max_rows_to_use_cache","1048576",0,"The maximum number of rows per request, to use the cache of uncompressed data. If the request is large, the cache is not used. (For large queries not to flush out the cache.)"
"18.14.17","merge_tree_uniform_read_distribution","1",0,"Distribute read from MergeTree over threads evenly, ensuring stable average execution time of each thread within one read operation."
"18.14.17","mysql_max_rows_to_insert","65536",0,"The maximum number of rows in MySQL batch insertion of the MySQL storage engine"
"18.14.17","optimize_min_equality_disjunction_chain_length","3",0,"The minimum length of the expression `expr = x1 OR ... expr = xN` for optimization "
"18.14.17","min_bytes_to_use_direct_io","0",0,"The minimum number of bytes for input/output operations is bypassing the page cache. 0 - disabled."
"18.14.17","force_index_by_date","0",0,"Throw an exception if there is a partition key in a table, and it is not used."
"18.14.17","force_primary_key","0",0,"Throw an exception if there is primary key in a table, and it is not used."
"18.14.17","mark_cache_min_lifetime","10000",0,"If the maximum size of mark_cache is exceeded, delete only records older than mark_cache_min_lifetime seconds."
"18.14.17","max_streams_to_max_threads_ratio","1",0,"Allows you to use more sources than the number of threads - to more evenly distribute work across threads. It is assumed that this is a temporary solution, since it will be possible in the future to make the number of sources equal to the number of threads, but for each source to dynamically select available work for itself."
"18.14.17","network_compression_method","lz4",0,"Allows you to select the method of data compression when writing."
"18.14.17","network_zstd_compression_level","1",0,"Allows you to select the level of ZSTD compression."
"18.14.17","priority","0",0,"Priority of the query. 1 - the highest, higher value - lower priority; 0 - do not use priorities."
"18.14.17","log_queries","0",0,"Log requests and write the log to the system table."
"18.14.17","log_queries_cut_to_length","100000",0,"If query length is greater than specified threshold (in bytes), then cut query when writing to query log. Also limit length of printed query in ordinary text log."
"18.14.17","distributed_product_mode","deny",0,"How are distributed subqueries performed inside IN or JOIN sections?"
"18.14.17","max_concurrent_queries_for_user","0",0,"The maximum number of concurrent requests per user."
"18.14.17","insert_deduplicate","1",0,"For INSERT queries in the replicated table, specifies that deduplication of insertings blocks should be preformed"
"18.14.17","insert_quorum","0",0,"For INSERT queries in the replicated table, wait writing for the specified number of replicas and linearize the addition of the data. 0 - disabled."
"18.14.17","insert_quorum_timeout","600000",0,""
"18.14.17","select_sequential_consistency","0",0,"For SELECT queries from the replicated table, throw an exception if the replica does not have a chunk written with the quorum; do not read the parts that have not yet been written with the quorum."
"18.14.17","table_function_remote_max_addresses","1000",0,"The maximum number of different shards and the maximum number of replicas of one shard in the `remote` function."
"18.14.17","read_backoff_min_latency_ms","1000",0,"Setting to reduce the number of threads in case of slow reads. Pay attention only to reads that took at least that much time."
"18.14.17","read_backoff_max_throughput","1048576",0,"Settings to reduce the number of threads in case of slow reads. Count events when the read bandwidth is less than that many bytes per second."
"18.14.17","read_backoff_min_interval_between_events_ms","1000",0,"Settings to reduce the number of threads in case of slow reads. Do not pay attention to the event, if the previous one has passed less than a certain amount of time."
"18.14.17","read_backoff_min_events","2",0,"Settings to reduce the number of threads in case of slow reads. The number of events after which the number of threads will be reduced."
"18.14.17","memory_tracker_fault_probability","0",0,"For testing of `exception safety` - throw an exception every time you allocate memory with the specified probability."
"18.14.17","enable_http_compression","0",0,"Compress the result if the client over HTTP said that it understands data compressed by gzip or deflate."
"18.14.17","http_zlib_compression_level","3",0,"Compression level - used if the client on HTTP said that it understands data compressed by gzip or deflate."
"18.14.17","http_native_compression_disable_checksumming_on_decompress","0",0,"If you uncompress the POST data from the client compressed by the native format, do not check the checksum."
"18.14.17","count_distinct_implementation","uniqExact",0,"What aggregate function to use for implementation of count(DISTINCT ...)"
"18.14.17","output_format_write_statistics","1",0,"Write statistics about read rows, bytes, time elapsed in suitable output formats."
"18.14.17","add_http_cors_header","0",0,"Write add http CORS header."
"18.14.17","input_format_skip_unknown_fields","0",0,"Skip columns with unknown names from input data (it works for JSONEachRow and TSKV formats)."
"18.14.17","input_format_import_nested_json","0",0,"Map nested JSON data to nested tables (it works for JSONEachRow format)."
"18.14.17","input_format_values_interpret_expressions","1",0,"For Values format: if field could not be parsed by streaming parser, run SQL parser and try to interpret it as SQL expression."
"18.14.17","output_format_json_quote_64bit_integers","1",0,"Controls quoting of 64-bit integers in JSON output format."
"18.14.17","output_format_json_quote_denormals","0",0,"Enables '+nan', '-nan', '+inf', '-inf' outputs in JSON output format."
"18.14.17","output_format_json_escape_forward_slashes","1",0,"Controls escaping forward slashes for string outputs in JSON output format. This is intended for compatibility with JavaScript. Don't confuse with backslashes that are always escaped."
"18.14.17","output_format_pretty_max_rows","10000",0,"Rows limit for Pretty formats."
"18.14.17","output_format_pretty_max_column_pad_width","250",0,"Maximum width to pad all values in a column in Pretty formats."
"18.14.17","output_format_pretty_color","1",0,"Use ANSI escape sequences to paint colors in Pretty formats"
"18.14.17","use_client_time_zone","0",0,"Use client timezone for interpreting DateTime string values, instead of adopting server timezone."
"18.14.17","send_progress_in_http_headers","0",0,"Send progress notifications using X-ClickHouse-Progress headers. Some clients do not support high amount of HTTP headers (Python requests in particular), so it is disabled by default."
"18.14.17","http_headers_progress_interval_ms","100",0,"Do not send HTTP headers X-ClickHouse-Progress more frequently than at each specified interval."
"18.14.17","fsync_metadata","1",0,"Do fsync after changing metadata for tables and databases (.sql files). Could be disabled in case of poor latency on server with high load of DDL queries and high load of disk subsystem."
"18.14.17","input_format_allow_errors_num","0",0,"Maximum absolute amount of errors while reading text formats (like CSV, TSV). In case of error, if both absolute and relative values are non-zero, and at least absolute or relative amount of errors is lower than corresponding value, will skip until next line and continue."
"18.14.17","input_format_allow_errors_ratio","0",0,"Maximum relative amount of errors while reading text formats (like CSV, TSV). In case of error, if both absolute and relative values are non-zero, and at least absolute or relative amount of errors is lower than corresponding value, will skip until next line and continue."
"18.14.17","join_use_nulls","0",0,"Use NULLs for non-joined rows of outer JOINs. If false, use default value of corresponding columns data type."
"18.14.17","join_default_strictness","",0,"Set default strictness in JOIN query. Possible values: empty string, 'ANY', 'ALL'. If empty, query without strictness will throw exception."
"18.14.17","preferred_block_size_bytes","1000000",0,""
"18.14.17","max_replica_delay_for_distributed_queries","300",0,"If set, distributed queries of Replicated tables will choose servers with replication delay in seconds less than the specified value (not inclusive). Zero means do not take delay into account."
