"ch_version","name","is_input","is_output"
"18.5.1","XML",0,1
"18.5.1","JSONCompact",0,1
"18.5.1","JSON",0,1
"18.5.1","Vertical",0,1
"18.5.1","PrettySpaceNoEscapes",0,1
"18.5.1","PrettyCompactMonoBlock",0,1
"18.5.1","PrettyNoEscapes",0,1
"18.5.1","PrettySpace",0,1
"18.5.1","PrettyCompact",0,1
"18.5.1","Pretty",0,1
"18.5.1","TSVWithNames",1,1
"18.5.1","TabSeparatedWithNames",1,1
"18.5.1","TSVRaw",0,1
"18.5.1","CapnProto",1,0
"18.5.1","TabSeparated",1,1
"18.5.1","Native",1,1
"18.5.1","Null",0,1
"18.5.1","CSV",1,1
"18.5.1","ODBCDriver",0,1
"18.5.1","RowBinary",1,1
"18.5.1","TabSeparatedWithNamesAndTypes",1,1
"18.5.1","PrettyCompactNoEscapes",0,1
"18.5.1","TSVWithNamesAndTypes",1,1
"18.5.1","TSKV",1,1
"18.5.1","TSV",1,1
"18.5.1","TabSeparatedRaw",0,1
"18.5.1","Values",1,1
"18.5.1","CSVWithNames",1,1
"18.5.1","JSONEachRow",1,1
