"ch_version","name"
"19.1.15.73","JDBC"
"19.1.15.73","ODBC"
"19.1.15.73","HDFS"
"19.1.15.73","Kafka"
"19.1.15.73","MaterializedView"
"19.1.15.73","Set"
"19.1.15.73","Dictionary"
"19.1.15.73","Merge"
"19.1.15.73","MySQL"
"19.1.15.73","Buffer"
"19.1.15.73","MergeTree"
"19.1.15.73","CollapsingMergeTree"
"19.1.15.73","Join"
"19.1.15.73","ReplicatedVersionedCollapsingMergeTree"
"19.1.15.73","GraphiteMergeTree"
"19.1.15.73","View"
"19.1.15.73","Distributed"
"19.1.15.73","ReplacingMergeTree"
"19.1.15.73","TinyLog"
"19.1.15.73","Log"
"19.1.15.73","ReplicatedGraphiteMergeTree"
"19.1.15.73","ReplicatedReplacingMergeTree"
"19.1.15.73","ReplicatedSummingMergeTree"
"19.1.15.73","URL"
"19.1.15.73","Memory"
"19.1.15.73","StripeLog"
"19.1.15.73","SummingMergeTree"
"19.1.15.73","File"
"19.1.15.73","AggregatingMergeTree"
"19.1.15.73","ReplicatedMergeTree"
"19.1.15.73","ReplicatedCollapsingMergeTree"
"19.1.15.73","VersionedCollapsingMergeTree"
"19.1.15.73","Null"
"19.1.15.73","ReplicatedAggregatingMergeTree"
