"ch_version","name"
"19.1.16.79","af"
"19.1.16.79","am"
"19.1.16.79","ar"
"19.1.16.79","as"
"19.1.16.79","az"
"19.1.16.79","be"
"19.1.16.79","bg"
"19.1.16.79","bn"
"19.1.16.79","bo"
"19.1.16.79","bs"
"19.1.16.79","bs_Cyrl"
"19.1.16.79","ca"
"19.1.16.79","chr"
"19.1.16.79","cs"
"19.1.16.79","cy"
"19.1.16.79","da"
"19.1.16.79","de"
"19.1.16.79","de_AT"
"19.1.16.79","dsb"
"19.1.16.79","dz"
"19.1.16.79","ee"
"19.1.16.79","el"
"19.1.16.79","en"
"19.1.16.79","en_US"
"19.1.16.79","en_US_POSIX"
"19.1.16.79","eo"
"19.1.16.79","es"
"19.1.16.79","et"
"19.1.16.79","fa"
"19.1.16.79","fa_AF"
"19.1.16.79","fi"
"19.1.16.79","fil"
"19.1.16.79","fo"
"19.1.16.79","fr"
"19.1.16.79","fr_CA"
"19.1.16.79","ga"
"19.1.16.79","gl"
"19.1.16.79","gu"
"19.1.16.79","ha"
"19.1.16.79","haw"
"19.1.16.79","he"
"19.1.16.79","hi"
"19.1.16.79","hr"
"19.1.16.79","hsb"
"19.1.16.79","hu"
"19.1.16.79","hy"
"19.1.16.79","id"
"19.1.16.79","ig"
"19.1.16.79","is"
"19.1.16.79","it"
"19.1.16.79","ja"
"19.1.16.79","ka"
"19.1.16.79","kk"
"19.1.16.79","kl"
"19.1.16.79","km"
"19.1.16.79","kn"
"19.1.16.79","ko"
"19.1.16.79","kok"
"19.1.16.79","ky"
"19.1.16.79","lb"
"19.1.16.79","lkt"
"19.1.16.79","ln"
"19.1.16.79","lo"
"19.1.16.79","lt"
"19.1.16.79","lv"
"19.1.16.79","mk"
"19.1.16.79","ml"
"19.1.16.79","mn"
"19.1.16.79","mr"
"19.1.16.79","ms"
"19.1.16.79","mt"
"19.1.16.79","my"
"19.1.16.79","nb"
"19.1.16.79","ne"
"19.1.16.79","nl"
"19.1.16.79","nn"
"19.1.16.79","om"
"19.1.16.79","or"
"19.1.16.79","pa"
"19.1.16.79","pl"
"19.1.16.79","ps"
"19.1.16.79","pt"
"19.1.16.79","ro"
"19.1.16.79","ru"
"19.1.16.79","se"
"19.1.16.79","si"
"19.1.16.79","sk"
"19.1.16.79","sl"
"19.1.16.79","smn"
"19.1.16.79","sq"
"19.1.16.79","sr"
"19.1.16.79","sr_Latn"
"19.1.16.79","sv"
"19.1.16.79","sw"
"19.1.16.79","ta"
"19.1.16.79","te"
"19.1.16.79","th"
"19.1.16.79","to"
"19.1.16.79","tr"
"19.1.16.79","ug"
"19.1.16.79","uk"
"19.1.16.79","ur"
"19.1.16.79","uz"
"19.1.16.79","vi"
"19.1.16.79","wae"
"19.1.16.79","wo"
"19.1.16.79","yi"
"19.1.16.79","yo"
"19.1.16.79","zh"
"19.1.16.79","zh_Hant"
"19.1.16.79","zu"
