"ch_version","name","value","changed","description"
"19.13.6.51","min_compress_block_size","65536",0,"""The actual size of the block to compress, if the uncompressed data less than max_compress_block_size is no less than this value and no less than the volume of data for one mark."""
"19.13.6.51","max_compress_block_size","1048576",0,"""The maximum size of blocks of uncompressed data before compressing for writing to a table."""
"19.13.6.51","max_block_size","65536",0,"""Maximum block size for reading"""
"19.13.6.51","max_insert_block_size","1048576",0,"""The maximum block size for insertion, if we control the creation of blocks for insertion."""
"19.13.6.51","min_insert_block_size_rows","1048576",0,"""Squash blocks passed to INSERT query to specified size in rows, if blocks are not big enough."""
"19.13.6.51","min_insert_block_size_bytes","268435456",0,"""Squash blocks passed to INSERT query to specified size in bytes, if blocks are not big enough."""
"19.13.6.51","max_threads","auto(4)",0,"""The maximum number of threads to execute the request. By default, it is determined automatically."""
"19.13.6.51","max_alter_threads","auto(4)",0,"""The maximum number of threads to execute the ALTER requests. By default, it is determined automatically."""
"19.13.6.51","max_read_buffer_size","1048576",0,"""The maximum size of the buffer to read from the filesystem."""
"19.13.6.51","max_distributed_connections","1024",0,"""The maximum number of connections for distributed processing of one query (should be greater than max_threads)."""
"19.13.6.51","max_query_size","262144",0,"""Which part of the query can be read into RAM for parsing (the remaining data for INSERT, if any, is read later)"""
"19.13.6.51","interactive_delay","100000",0,"""The interval in microseconds to check if the request is cancelled, and to send progress info."""
"19.13.6.51","connect_timeout","10",0,"""Connection timeout if there are no replicas."""
"19.13.6.51","connect_timeout_with_failover_ms","50",0,"""Connection timeout for selecting first healthy replica."""
"19.13.6.51","receive_timeout","300",0,""""""
"19.13.6.51","send_timeout","300",0,""""""
"19.13.6.51","tcp_keep_alive_timeout","0",0,""""""
"19.13.6.51","queue_max_wait_ms","5000",0,"""The wait time in the request queue, if the number of concurrent requests exceeds the maximum."""
"19.13.6.51","poll_interval","10",0,"""Block at the query wait loop on the server for the specified number of seconds."""
"19.13.6.51","idle_connection_timeout","3600",0,"""Close idle TCP connections after specified number of seconds."""
"19.13.6.51","distributed_connections_pool_size","1024",0,"""Maximum number of connections with one remote server in the pool."""
"19.13.6.51","connections_with_failover_max_tries","3",0,"""The maximum number of attempts to connect to replicas."""
"19.13.6.51","extremes","0",0,"""Calculate minimums and maximums of the result columns. They can be output in JSON-formats."""
"19.13.6.51","use_uncompressed_cache","0",1,"""Whether to use the cache of uncompressed blocks."""
"19.13.6.51","replace_running_query","0",0,"""Whether the running request should be canceled with the same id as the new one."""
"19.13.6.51","background_pool_size","16",0,"""Number of threads performing background work for tables (for example, merging in merge tree). Only has meaning at server startup."""
"19.13.6.51","background_schedule_pool_size","16",0,"""Number of threads performing background tasks for replicated tables. Only has meaning at server startup."""
"19.13.6.51","distributed_directory_monitor_sleep_time_ms","100",0,"""Sleep time for StorageDistributed DirectoryMonitors in case there is no work or exception has been thrown."""
"19.13.6.51","distributed_directory_monitor_batch_inserts","0",0,"""Should StorageDistributed DirectoryMonitors try to batch individual inserts into bigger ones."""
"19.13.6.51","optimize_move_to_prewhere","1",0,"""Allows disabling WHERE to PREWHERE optimization in SELECT queries from MergeTree."""
"19.13.6.51","replication_alter_partitions_sync","1",0,"""Wait for actions to manipulate the partitions. 0 - do not wait, 1 - wait for execution only of itself, 2 - wait for everyone."""
"19.13.6.51","replication_alter_columns_timeout","60",0,"""Wait for actions to change the table structure within the specified number of seconds. 0 - wait unlimited time."""
"19.13.6.51","load_balancing","random",1,"""Which replicas (among healthy replicas) to preferably send a query to (on the first attempt) for distributed processing."""
"19.13.6.51","totals_mode","after_having_exclusive",0,"""How to calculate TOTALS when HAVING is present, as well as when max_rows_to_group_by and group_by_overflow_mode = ‘any’ are present."""
"19.13.6.51","totals_auto_threshold","0.5",0,"""The threshold for totals_mode = 'auto'."""
"19.13.6.51","compile","0",0,"""Whether query compilation is enabled."""
"19.13.6.51","allow_suspicious_low_cardinality_types","0",0,"""In CREATE TABLE statement allows specifying LowCardinality modifier for types of small fixed size (8 or less). Enabling this may increase merge times and memory consumption."""
"19.13.6.51","compile_expressions","0",0,"""Compile some scalar functions and operators to native code."""
"19.13.6.51","min_count_to_compile","3",0,"""The number of structurally identical queries before they are compiled."""
"19.13.6.51","min_count_to_compile_expression","3",0,"""The number of identical expressions before they are JIT-compiled"""
"19.13.6.51","group_by_two_level_threshold","100000",0,"""From what number of keys, a two-level aggregation starts. 0 - the threshold is not set."""
"19.13.6.51","group_by_two_level_threshold_bytes","100000000",0,"""From what size of the aggregation state in bytes, a two-level aggregation begins to be used. 0 - the threshold is not set. Two-level aggregation is used when at least one of the thresholds is triggered."""
"19.13.6.51","distributed_aggregation_memory_efficient","0",0,"""Is the memory-saving mode of distributed aggregation enabled."""
"19.13.6.51","aggregation_memory_efficient_merge_threads","0",0,"""Number of threads to use for merge intermediate aggregation results in memory efficient mode. When bigger, then more memory is consumed. 0 means - same as 'max_threads'."""
"19.13.6.51","max_parallel_replicas","1",0,"""The maximum number of replicas of each shard used when the query is executed. For consistency (to get different parts of the same partition), this option only works for the specified sampling key. The lag of the replicas is not controlled."""
"19.13.6.51","parallel_replicas_count","0",0,""""""
"19.13.6.51","parallel_replica_offset","0",0,""""""
"19.13.6.51","skip_unavailable_shards","0",0,"""Silently skip unavailable shards."""
"19.13.6.51","distributed_group_by_no_merge","0",0,"""Do not merge aggregation states from different servers for distributed query processing - in case it is for certain that there are different keys on different shards."""
"19.13.6.51","optimize_skip_unused_shards","0",0,"""Assumes that data is distributed by sharding_key. Optimization to skip unused shards if SELECT query filters by sharding_key."""
"19.13.6.51","merge_tree_min_rows_for_concurrent_read","163840",0,"""If at least as many lines are read from one file, the reading can be parallelized."""
"19.13.6.51","merge_tree_min_bytes_for_concurrent_read","251658240",0,"""If at least as many bytes are read from one file, the reading can be parallelized."""
"19.13.6.51","merge_tree_min_rows_for_seek","0",0,"""You can skip reading more than that number of rows at the price of one seek per file."""
"19.13.6.51","merge_tree_min_bytes_for_seek","0",0,"""You can skip reading more than that number of bytes at the price of one seek per file."""
"19.13.6.51","merge_tree_coarse_index_granularity","8",0,"""If the index segment can contain the required keys, divide it into as many parts and recursively check them."""
"19.13.6.51","merge_tree_max_rows_to_use_cache","1048576",0,"""The maximum number of rows per request, to use the cache of uncompressed data. If the request is large, the cache is not used. (For large queries not to flush out the cache.)"""
"19.13.6.51","merge_tree_max_bytes_to_use_cache","2013265920",0,"""The maximum number of rows per request, to use the cache of uncompressed data. If the request is large, the cache is not used. (For large queries not to flush out the cache.)"""
"19.13.6.51","merge_tree_uniform_read_distribution","1",0,"""Distribute read from MergeTree over threads evenly, ensuring stable average execution time of each thread within one read operation."""
"19.13.6.51","mysql_max_rows_to_insert","65536",0,"""The maximum number of rows in MySQL batch insertion of the MySQL storage engine"""
"19.13.6.51","optimize_min_equality_disjunction_chain_length","3",0,"""The minimum length of the expression `expr = x1 OR ... expr = xN` for optimization """
"19.13.6.51","min_bytes_to_use_direct_io","0",0,"""The minimum number of bytes for reading the data with O_DIRECT option during SELECT queries execution. 0 - disabled."""
"19.13.6.51","force_index_by_date","0",0,"""Throw an exception if there is a partition key in a table, and it is not used."""
"19.13.6.51","force_primary_key","0",0,"""Throw an exception if there is primary key in a table, and it is not used."""
"19.13.6.51","mark_cache_min_lifetime","10000",0,"""If the maximum size of mark_cache is exceeded, delete only records older than mark_cache_min_lifetime seconds."""
"19.13.6.51","max_streams_to_max_threads_ratio","1",0,"""Allows you to use more sources than the number of threads - to more evenly distribute work across threads. It is assumed that this is a temporary solution, since it will be possible in the future to make the number of sources equal to the number of threads, but for each source to dynamically select available work for itself."""
"19.13.6.51","max_streams_multiplier_for_merge_tables","5",0,"""Ask more streams when reading from Merge table. Streams will be spread across tables that Merge table will use. This allows more even distribution of work across threads and especially helpful when merged tables differ in size."""
"19.13.6.51","network_compression_method","LZ4",0,"""Allows you to select the method of data compression when writing."""
"19.13.6.51","network_zstd_compression_level","1",0,"""Allows you to select the level of ZSTD compression."""
"19.13.6.51","priority","0",0,"""Priority of the query. 1 - the highest, higher value - lower priority; 0 - do not use priorities."""
"19.13.6.51","os_thread_priority","0",0,"""If non zero - set corresponding 'nice' value for query processing threads. Can be used to adjust query priority for OS scheduler."""
"19.13.6.51","log_queries","0",0,"""Log requests and write the log to the system table."""
