"ch_version","name"
"19.4.3.11","JDBC"
"19.4.3.11","ODBC"
"19.4.3.11","HDFS"
"19.4.3.11","Kafka"
"19.4.3.11","MaterializedView"
"19.4.3.11","Set"
"19.4.3.11","Dictionary"
"19.4.3.11","Merge"
"19.4.3.11","MySQL"
"19.4.3.11","Buffer"
"19.4.3.11","MergeTree"
"19.4.3.11","CollapsingMergeTree"
"19.4.3.11","Join"
"19.4.3.11","ReplicatedVersionedCollapsingMergeTree"
"19.4.3.11","GraphiteMergeTree"
"19.4.3.11","View"
"19.4.3.11","Distributed"
"19.4.3.11","ReplacingMergeTree"
"19.4.3.11","TinyLog"
"19.4.3.11","Log"
"19.4.3.11","ReplicatedGraphiteMergeTree"
"19.4.3.11","ReplicatedReplacingMergeTree"
"19.4.3.11","ReplicatedSummingMergeTree"
"19.4.3.11","URL"
"19.4.3.11","Memory"
"19.4.3.11","StripeLog"
"19.4.3.11","SummingMergeTree"
"19.4.3.11","File"
"19.4.3.11","AggregatingMergeTree"
"19.4.3.11","ReplicatedMergeTree"
"19.4.3.11","ReplicatedCollapsingMergeTree"
"19.4.3.11","VersionedCollapsingMergeTree"
"19.4.3.11","Null"
"19.4.3.11","ReplicatedAggregatingMergeTree"
