"ch_version","name","value","changed"
"19.6.2.11","index_granularity","8192",0
"19.6.2.11","max_bytes_to_merge_at_max_space_in_pool","161061273600",0
"19.6.2.11","max_bytes_to_merge_at_min_space_in_pool","1048576",0
"19.6.2.11","max_replicated_merges_in_queue","16",0
"19.6.2.11","number_of_free_entries_in_pool_to_lower_max_size_of_merge","8",0
"19.6.2.11","old_parts_lifetime","480",0
"19.6.2.11","temporary_directories_lifetime","86400",0
"19.6.2.11","parts_to_delay_insert","150",0
"19.6.2.11","parts_to_throw_insert","300",0
"19.6.2.11","max_delay_to_insert","1",0
"19.6.2.11","replicated_deduplication_window","100",0
"19.6.2.11","replicated_deduplication_window_seconds","604800",0
"19.6.2.11","max_replicated_logs_to_keep","10000",0
"19.6.2.11","min_replicated_logs_to_keep","100",0
"19.6.2.11","prefer_fetch_merged_part_time_threshold","3600",0
"19.6.2.11","prefer_fetch_merged_part_size_threshold","10737418240",0
"19.6.2.11","max_suspicious_broken_parts","10",0
"19.6.2.11","max_files_to_modify_in_alter_columns","75",0
"19.6.2.11","max_files_to_remove_in_alter_columns","50",0
"19.6.2.11","replicated_max_ratio_of_wrong_parts","0.5",0
"19.6.2.11","replicated_max_parallel_fetches","0",0
"19.6.2.11","replicated_max_parallel_fetches_for_table","0",0
"19.6.2.11","replicated_max_parallel_fetches_for_host","15",0
"19.6.2.11","replicated_max_parallel_sends","0",0
"19.6.2.11","replicated_max_parallel_sends_for_table","0",0
"19.6.2.11","replicated_can_become_leader","1",0
"19.6.2.11","zookeeper_session_expiration_check_period","60",0
"19.6.2.11","check_delay_period","60",0
"19.6.2.11","cleanup_delay_period","30",0
"19.6.2.11","cleanup_delay_period_random_add","10",0
"19.6.2.11","min_relative_delay_to_yield_leadership","120",0
"19.6.2.11","min_relative_delay_to_close","300",0
"19.6.2.11","min_absolute_delay_to_close","0",0
"19.6.2.11","enable_vertical_merge_algorithm","1",0
"19.6.2.11","vertical_merge_algorithm_min_rows_to_activate","131072",0
"19.6.2.11","vertical_merge_algorithm_min_columns_to_activate","11",0
"19.6.2.11","compatibility_allow_sampling_expression_not_in_primary_key","0",0
"19.6.2.11","use_minimalistic_checksums_in_zookeeper","1",0
"19.6.2.11","use_minimalistic_part_header_in_zookeeper","0",0
"19.6.2.11","finished_mutations_to_keep","100",0
"19.6.2.11","min_merge_bytes_to_use_direct_io","10737418240",0
"19.6.2.11","index_granularity_bytes","0",0
"19.6.2.11","merge_with_ttl_timeout","86400",0
