"ch_version","name","value","changed","description","type"
"20.8.19.4","index_granularity","8192",0,"How many rows correspond to one primary key value.","UInt64"
"20.8.19.4","min_bytes_for_wide_part","0",0,"Minimal uncompressed size in bytes to create part in wide format instead of compact","UInt64"
"20.8.19.4","min_rows_for_wide_part","0",0,"Minimal number of rows to create part in wide format instead of compact","UInt64"
"20.8.19.4","min_bytes_for_compact_part","0",0,"Experimental. Minimal uncompressed size in bytes to create part in compact format instead of saving it in RAM","UInt64"
"20.8.19.4","min_rows_for_compact_part","0",0,"Experimental. Minimal number of rows to create part in compact format instead of saving it in RAM","UInt64"
"20.8.19.4","in_memory_parts_enable_wal","1",0,"Whether to write blocks in Native format to write-ahead-log before creation in-memory part","Bool"
"20.8.19.4","write_ahead_log_max_bytes","1073741824",0,"Rotate WAL, if it exceeds that amount of bytes","UInt64"
"20.8.19.4","merge_max_block_size","8192",0,"How many rows in blocks should be formed for merge operations.","UInt64"
"20.8.19.4","max_bytes_to_merge_at_max_space_in_pool","161061273600",0,"Maximum in total size of parts to merge, when there are maximum free threads in background pool (or entries in replication queue).","UInt64"
"20.8.19.4","max_bytes_to_merge_at_min_space_in_pool","1048576",0,"Maximum in total size of parts to merge, when there are minimum free threads in background pool (or entries in replication queue).","UInt64"
"20.8.19.4","max_replicated_merges_in_queue","16",0,"How many tasks of merging and mutating parts are allowed simultaneously in ReplicatedMergeTree queue.","UInt64"
"20.8.19.4","max_replicated_mutations_in_queue","8",0,"How many tasks of mutating parts are allowed simultaneously in ReplicatedMergeTree queue.","UInt64"
"20.8.19.4","number_of_free_entries_in_pool_to_lower_max_size_of_merge","8",0,"When there is less than specified number of free entries in pool (or replicated queue), start to lower maximum size of merge to process (or to put in queue). This is to allow small merges to process - not filling the pool with long running merges.","UInt64"
"20.8.19.4","number_of_free_entries_in_pool_to_execute_mutation","10",0,"When there is less than specified number of free entries in pool, do not execute part mutations. This is to leave free threads for regular merges and avoid ""Too many parts""","UInt64"
"20.8.19.4","old_parts_lifetime","480",0,"How many seconds to keep obsolete parts.","Seconds"
"20.8.19.4","temporary_directories_lifetime","86400",0,"How many seconds to keep tmp_-directories.","Seconds"
"20.8.19.4","lock_acquire_timeout_for_background_operations","120",0,"For background operations like merges, mutations etc. How many seconds before failing to acquire table locks.","Seconds"
"20.8.19.4","parts_to_delay_insert","150",0,"If table contains at least that many active parts in single partition, artificially slow down insert into table.","UInt64"
"20.8.19.4","parts_to_throw_insert","300",0,"If more than this number active parts in single partition, throw 'Too many parts ...' exception.","UInt64"
"20.8.19.4","max_delay_to_insert","1",0,"Max delay of inserting data into MergeTree table in seconds, if there are a lot of unmerged parts in single partition.","UInt64"
"20.8.19.4","max_parts_in_total","100000",0,"If more than this number active parts in all partitions in total, throw 'Too many parts ...' exception.","UInt64"
"20.8.19.4","replicated_deduplication_window","100",0,"How many last blocks of hashes should be kept in ZooKeeper (old blocks will be deleted).","UInt64"
"20.8.19.4","replicated_deduplication_window_seconds","604800",0,"Similar to ""replicated_deduplication_window"", but determines old blocks by their lifetime. Hash of an inserted block will be deleted (and the block will not be deduplicated after) if it outside of one ""window"". You can set very big replicated_deduplication_window to avoid duplicating INSERTs during that period of time.","UInt64"
"20.8.19.4","max_replicated_logs_to_keep","1000",0,"How many records may be in log, if there is inactive replica. Inactive replica becomes lost when when this number exceed.","UInt64"
"20.8.19.4","min_replicated_logs_to_keep","10",0,"Keep about this number of last records in ZooKeeper log, even if they are obsolete. It doesn't affect work of tables: used only to diagnose ZooKeeper log before cleaning.","UInt64"
"20.8.19.4","prefer_fetch_merged_part_time_threshold","3600",0,"If time passed after replication log entry creation exceeds this threshold and sum size of parts is greater than ""prefer_fetch_merged_part_size_threshold"", prefer fetching merged part from replica instead of doing merge locally. To speed up very long merges.","Seconds"
"20.8.19.4","prefer_fetch_merged_part_size_threshold","10737418240",0,"If sum size of parts exceeds this threshold and time passed after replication log entry creation is greater than ""prefer_fetch_merged_part_time_threshold"", prefer fetching merged part from replica instead of doing merge locally. To speed up very long merges.","UInt64"
"20.8.19.4","always_fetch_merged_part","0",0,"If true, replica never merge parts and always download merged parts from other replicas.","Bool"
"20.8.19.4","max_suspicious_broken_parts","10",0,"Max broken parts, if more - deny automatic deletion.","UInt64"
"20.8.19.4","max_files_to_modify_in_alter_columns","75",0,"Not apply ALTER if number of files for modification(deletion, addition) more than this.","UInt64"
