"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication"
"20.9.5.5","RabbitMQ",1,0,0,0,0,0
"20.9.5.5","Kafka",1,0,0,0,0,0
"20.9.5.5","MySQL",0,0,0,0,0,0
"20.9.5.5","HDFS",0,0,0,0,0,0
"20.9.5.5","S3",0,0,0,0,0,0
"20.9.5.5","MaterializedView",0,0,0,0,0,0
"20.9.5.5","View",0,0,0,0,0,0
"20.9.5.5","JDBC",0,0,0,0,0,0
"20.9.5.5","Join",1,0,0,0,0,0
"20.9.5.5","Set",0,0,0,0,0,0
"20.9.5.5","Dictionary",0,0,0,0,0,0
"20.9.5.5","GenerateRandom",0,0,0,0,0,0
"20.9.5.5","LiveView",0,0,0,0,0,0
"20.9.5.5","MergeTree",1,1,1,1,0,0
"20.9.5.5","Memory",0,0,0,0,0,0
"20.9.5.5","Buffer",0,0,0,0,0,0
"20.9.5.5","MongoDB",0,0,0,0,0,0
"20.9.5.5","URL",0,0,0,0,0,0
"20.9.5.5","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1
"20.9.5.5","ReplacingMergeTree",1,1,1,1,0,0
"20.9.5.5","ReplicatedSummingMergeTree",1,1,1,1,1,1
"20.9.5.5","COSN",0,0,0,0,0,0
"20.9.5.5","ReplicatedAggregatingMergeTree",1,1,1,1,1,1
"20.9.5.5","ReplicatedCollapsingMergeTree",1,1,1,1,1,1
"20.9.5.5","File",0,0,0,0,0,0
"20.9.5.5","ReplicatedGraphiteMergeTree",1,1,1,1,1,1
"20.9.5.5","ReplicatedMergeTree",1,1,1,1,1,1
"20.9.5.5","ReplicatedReplacingMergeTree",1,1,1,1,1,1
"20.9.5.5","VersionedCollapsingMergeTree",1,1,1,1,0,0
"20.9.5.5","SummingMergeTree",1,1,1,1,0,0
"20.9.5.5","Distributed",0,0,0,0,0,0
"20.9.5.5","TinyLog",1,0,0,0,0,0
"20.9.5.5","GraphiteMergeTree",1,1,1,1,0,0
"20.9.5.5","CollapsingMergeTree",1,1,1,1,0,0
"20.9.5.5","Merge",0,0,0,0,0,0
"20.9.5.5","AggregatingMergeTree",1,1,1,1,0,0
"20.9.5.5","ODBC",0,0,0,0,0,0
"20.9.5.5","Null",0,0,0,0,0,0
"20.9.5.5","StripeLog",1,0,0,0,0,0
"20.9.5.5","Log",1,0,0,0,0,0
