"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"21.1.11.3.altinitystable","RabbitMQ",1,0,0,0,0,0,0
"21.1.11.3.altinitystable","Kafka",1,0,0,0,0,0,0
"21.1.11.3.altinitystable","MySQL",0,0,0,0,0,0,0
"21.1.11.3.altinitystable","HDFS",0,0,0,0,0,0,0
"21.1.11.3.altinitystable","S3",0,0,0,0,0,0,0
"21.1.11.3.altinitystable","MaterializedView",0,0,0,0,0,0,0
"21.1.11.3.altinitystable","EmbeddedRocksDB",0,0,1,0,0,0,1
"21.1.11.3.altinitystable","View",0,0,0,0,0,0,0
"21.1.11.3.altinitystable","JDBC",0,0,0,0,0,0,0
"21.1.11.3.altinitystable","Join",1,0,0,0,0,0,0
"21.1.11.3.altinitystable","Set",1,0,0,0,0,0,0
"21.1.11.3.altinitystable","Dictionary",0,0,0,0,0,0,0
"21.1.11.3.altinitystable","GenerateRandom",0,0,0,0,0,0,0
"21.1.11.3.altinitystable","LiveView",0,0,0,0,0,0,0
"21.1.11.3.altinitystable","MergeTree",1,1,1,1,0,0,1
"21.1.11.3.altinitystable","Memory",0,0,0,0,0,0,1
"21.1.11.3.altinitystable","Buffer",0,0,0,0,0,0,1
"21.1.11.3.altinitystable","MongoDB",0,0,0,0,0,0,0
"21.1.11.3.altinitystable","URL",1,0,0,0,0,0,0
"21.1.11.3.altinitystable","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1
"21.1.11.3.altinitystable","ReplacingMergeTree",1,1,1,1,0,0,1
"21.1.11.3.altinitystable","ReplicatedSummingMergeTree",1,1,1,1,1,1,1
"21.1.11.3.altinitystable","COSN",0,0,0,0,0,0,0
"21.1.11.3.altinitystable","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1
"21.1.11.3.altinitystable","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1
"21.1.11.3.altinitystable","File",1,0,0,0,0,0,0
"21.1.11.3.altinitystable","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1
"21.1.11.3.altinitystable","ReplicatedMergeTree",1,1,1,1,1,1,1
"21.1.11.3.altinitystable","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1
"21.1.11.3.altinitystable","VersionedCollapsingMergeTree",1,1,1,1,0,0,1
"21.1.11.3.altinitystable","SummingMergeTree",1,1,1,1,0,0,1
"21.1.11.3.altinitystable","Distributed",1,0,0,0,0,0,1
"21.1.11.3.altinitystable","TinyLog",1,0,0,0,0,0,0
"21.1.11.3.altinitystable","GraphiteMergeTree",1,1,1,1,0,0,1
"21.1.11.3.altinitystable","CollapsingMergeTree",1,1,1,1,0,0,1
"21.1.11.3.altinitystable","Merge",0,0,0,0,0,0,0
"21.1.11.3.altinitystable","AggregatingMergeTree",1,1,1,1,0,0,1
"21.1.11.3.altinitystable","ODBC",0,0,0,0,0,0,0
"21.1.11.3.altinitystable","Null",0,0,0,0,0,0,1
"21.1.11.3.altinitystable","StripeLog",1,0,0,0,0,0,0
"21.1.11.3.altinitystable","Log",1,0,0,0,0,0,0
