"ch_version","name","value"
"21.3.13.1.altinity+stable","VERSION_FULL","ClickHouse 21.3.13.1.altinity+stable"
"21.3.13.1.altinity+stable","VERSION_DESCRIBE","v21.3.13.1-lts"
"21.3.13.1.altinity+stable","VERSION_INTEGER","21003013"
"21.3.13.1.altinity+stable","VERSION_GITHASH","25019be236d02d8f48269970cbd965eeb2198e4a"
"21.3.13.1.altinity+stable","VERSION_REVISION","54448"
"21.3.13.1.altinity+stable","BUILD_DATE","2021-06-30"
"21.3.13.1.altinity+stable","SYSTEM","Linux-4.15.0-132-generic"
"21.3.13.1.altinity+stable","BUILD_TYPE","RelWithDebInfo"
"21.3.13.1.altinity+stable","SYSTEM_PROCESSOR","x86_64"
"21.3.13.1.altinity+stable","LIBRARY_ARCHITECTURE","x86_64-linux-gnu"
"21.3.13.1.altinity+stable","CMAKE_VERSION","3.16.3"
"21.3.13.1.altinity+stable","C_COMPILER","/usr/bin/clang-11"
"21.3.13.1.altinity+stable","C_COMPILER_VERSION","11.1.0"
"21.3.13.1.altinity+stable","CXX_COMPILER","/usr/bin/clang++-11"
"21.3.13.1.altinity+stable","CXX_COMPILER_VERSION","11.1.0"
"21.3.13.1.altinity+stable","C_FLAGS","-g -O2 -fdebug-prefix-map=/build=. -specs=/usr/share/dpkg/no-pie-compile.specs -Wdate-time -fdiagnostics-color=always  -gdwarf-aranges -pipe -msse4.1 -msse4.2 -mpopcnt  -Wall -Wno-unused-command-line-argument  -fdiagnostics-absolute-paths -fexperimental-new-pass-manager -Werror -O2 -g -DNDEBUG -O3  -flto=thin -fno-pie"
"21.3.13.1.altinity+stable","CXX_FLAGS","-g -O2 -fdebug-prefix-map=/build=. -specs=/usr/share/dpkg/no-pie-compile.specs -Wdate-time -fdiagnostics-color=always -std=gnu++2a -fsized-deallocation  -gdwarf-aranges -pipe -msse4.1 -msse4.2 -mpopcnt   -Wall -Wno-unused-command-line-argument  -fdiagnostics-absolute-paths -fexperimental-new-pass-manager -Werror -O2 -g -DNDEBUG -O3  -flto=thin -fno-pie"
"21.3.13.1.altinity+stable","LINK_FLAGS","-Wl,-Bsymbolic-functions -specs=/usr/share/dpkg/no-pie-link.specs -fuse-ld=lld -rdynamic -Wl,--gdb-index -Wl,--build-id=sha1 -Wl,--no-undefined -Wl,-no-pie"
"21.3.13.1.altinity+stable","BUILD_COMPILE_DEFINITIONS",""
"21.3.13.1.altinity+stable","BUILD_INCLUDE_DIRECTORIES","/build/contrib/sentry-native/include;/build/obj-x86_64-linux-gnu/includes/configs"
"21.3.13.1.altinity+stable","STATIC","ON"
"21.3.13.1.altinity+stable","SPLIT_BINARY",""
"21.3.13.1.altinity+stable","UNBUNDLED","OFF"
"21.3.13.1.altinity+stable","USE_EMBEDDED_COMPILER","1"
"21.3.13.1.altinity+stable","USE_GLIBC_COMPATIBILITY","ON"
"21.3.13.1.altinity+stable","USE_JEMALLOC","ON"
"21.3.13.1.altinity+stable","USE_UNWIND","ON"
"21.3.13.1.altinity+stable","USE_ICU","1"
"21.3.13.1.altinity+stable","USE_H3","1"
"21.3.13.1.altinity+stable","USE_MYSQL","1"
"21.3.13.1.altinity+stable","USE_RE2_ST","1"
"21.3.13.1.altinity+stable","USE_LIBGSASL","1"
"21.3.13.1.altinity+stable","USE_RDKAFKA","1"
"21.3.13.1.altinity+stable","USE_CAPNP","1"
"21.3.13.1.altinity+stable","USE_BASE64","1"
"21.3.13.1.altinity+stable","USE_XXHASH","ON"
"21.3.13.1.altinity+stable","USE_HDFS","1"
"21.3.13.1.altinity+stable","USE_SNAPPY","ON"
"21.3.13.1.altinity+stable","USE_PARQUET","1"
"21.3.13.1.altinity+stable","USE_PROTOBUF","1"
"21.3.13.1.altinity+stable","USE_BROTLI","1"
"21.3.13.1.altinity+stable","USE_SSL","1"
"21.3.13.1.altinity+stable","USE_HYPERSCAN","ON"
"21.3.13.1.altinity+stable","USE_SIMDJSON","ON"
"21.3.13.1.altinity+stable","USE_GRPC","1"
"21.3.13.1.altinity+stable","USE_LDAP","1"
"21.3.13.1.altinity+stable","TZDATA_VERSION","2020e"
