"ch_version","name","case_insensitive","alias_to"
"21.3.15.2.altinity+stable","Polygon",0,""
"21.3.15.2.altinity+stable","Ring",0,""
"21.3.15.2.altinity+stable","MultiPolygon",0,""
"21.3.15.2.altinity+stable","IPv6",0,""
"21.3.15.2.altinity+stable","IntervalSecond",0,""
"21.3.15.2.altinity+stable","IPv4",0,""
"21.3.15.2.altinity+stable","UInt32",0,""
"21.3.15.2.altinity+stable","IntervalYear",0,""
"21.3.15.2.altinity+stable","IntervalQuarter",0,""
"21.3.15.2.altinity+stable","IntervalMonth",0,""
"21.3.15.2.altinity+stable","Int64",0,""
"21.3.15.2.altinity+stable","IntervalDay",0,""
"21.3.15.2.altinity+stable","IntervalHour",0,""
"21.3.15.2.altinity+stable","UInt256",0,""
"21.3.15.2.altinity+stable","Int16",0,""
"21.3.15.2.altinity+stable","LowCardinality",0,""
"21.3.15.2.altinity+stable","AggregateFunction",0,""
"21.3.15.2.altinity+stable","Nothing",0,""
"21.3.15.2.altinity+stable","Decimal256",1,""
"21.3.15.2.altinity+stable","Tuple",0,""
"21.3.15.2.altinity+stable","Array",0,""
"21.3.15.2.altinity+stable","Enum16",0,""
"21.3.15.2.altinity+stable","IntervalMinute",0,""
"21.3.15.2.altinity+stable","FixedString",0,""
"21.3.15.2.altinity+stable","String",0,""
"21.3.15.2.altinity+stable","DateTime",1,""
"21.3.15.2.altinity+stable","Map",0,""
"21.3.15.2.altinity+stable","UUID",0,""
"21.3.15.2.altinity+stable","Decimal64",1,""
"21.3.15.2.altinity+stable","Nullable",0,""
"21.3.15.2.altinity+stable","Enum",0,""
"21.3.15.2.altinity+stable","Int32",0,""
"21.3.15.2.altinity+stable","UInt8",0,""
"21.3.15.2.altinity+stable","Date",1,""
"21.3.15.2.altinity+stable","Decimal32",1,""
"21.3.15.2.altinity+stable","Point",0,""
"21.3.15.2.altinity+stable","Float64",0,""
"21.3.15.2.altinity+stable","DateTime64",1,""
"21.3.15.2.altinity+stable","Int128",0,""
"21.3.15.2.altinity+stable","Decimal128",1,""
"21.3.15.2.altinity+stable","Int8",0,""
"21.3.15.2.altinity+stable","SimpleAggregateFunction",0,""
"21.3.15.2.altinity+stable","Nested",0,""
"21.3.15.2.altinity+stable","Decimal",1,""
"21.3.15.2.altinity+stable","Int256",0,""
"21.3.15.2.altinity+stable","IntervalWeek",0,""
"21.3.15.2.altinity+stable","UInt64",0,""
"21.3.15.2.altinity+stable","Enum8",0,""
"21.3.15.2.altinity+stable","DateTime32",1,""
"21.3.15.2.altinity+stable","UInt16",0,""
