"ch_version","name","is_aggregate","case_insensitive","alias_to"
"21.8.11.1.altinitystable","logTrace",0,0,""
"21.8.11.1.altinitystable","aes_decrypt_mysql",0,0,""
"21.8.11.1.altinitystable","aes_encrypt_mysql",0,0,""
"21.8.11.1.altinitystable","decrypt",0,0,""
"21.8.11.1.altinitystable","encrypt",0,0,""
"21.8.11.1.altinitystable","bayesAB",0,0,""
"21.8.11.1.altinitystable","validateNestedArraySizes",0,0,""
"21.8.11.1.altinitystable","wordShingleMinHashArgCaseInsensitiveUTF8",0,0,""
"21.8.11.1.altinitystable","wordShingleMinHashArgUTF8",0,0,""
"21.8.11.1.altinitystable","wordShingleMinHashArgCaseInsensitive",0,0,""
"21.8.11.1.altinitystable","wordShingleMinHashArg",0,0,""
"21.8.11.1.altinitystable","ngramMinHashArgCaseInsensitiveUTF8",0,0,""
"21.8.11.1.altinitystable","ngramMinHashArgUTF8",0,0,""
"21.8.11.1.altinitystable","ngramMinHashArgCaseInsensitive",0,0,""
"21.8.11.1.altinitystable","ngramMinHashArg",0,0,""
"21.8.11.1.altinitystable","wordShingleMinHashCaseInsensitiveUTF8",0,0,""
"21.8.11.1.altinitystable","wordShingleMinHashUTF8",0,0,""
"21.8.11.1.altinitystable","ngramMinHashCaseInsensitiveUTF8",0,0,""
"21.8.11.1.altinitystable","ngramMinHashUTF8",0,0,""
"21.8.11.1.altinitystable","ngramMinHashCaseInsensitive",0,0,""
"21.8.11.1.altinitystable","wordShingleSimHashUTF8",0,0,""
"21.8.11.1.altinitystable","ngramSimHashUTF8",0,0,""
"21.8.11.1.altinitystable","ngramSimHashCaseInsensitive",0,0,""
"21.8.11.1.altinitystable","ngramSimHash",0,0,""
"21.8.11.1.altinitystable","toUnixTimestamp64Nano",0,0,""
"21.8.11.1.altinitystable","toUnixTimestamp64Micro",0,0,""
"21.8.11.1.altinitystable","jumpConsistentHash",0,0,""
"21.8.11.1.altinitystable","yandexConsistentHash",0,0,""
"21.8.11.1.altinitystable","addressToSymbol",0,0,""
"21.8.11.1.altinitystable","toJSONString",0,0,""
"21.8.11.1.altinitystable","JSON_VALUE",0,0,""
"21.8.11.1.altinitystable","JSONExtractKeysAndValuesRaw",0,0,""
"21.8.11.1.altinitystable","JSONExtractString",0,0,""
"21.8.11.1.altinitystable","JSONExtractFloat",0,0,""
"21.8.11.1.altinitystable","JSONKey",0,0,""
"21.8.11.1.altinitystable","isZeroOrNull",0,0,""
"21.8.11.1.altinitystable","assumeNotNull",0,0,""
"21.8.11.1.altinitystable","toUInt16",0,0,""
"21.8.11.1.altinitystable","isNotNull",0,0,""
"21.8.11.1.altinitystable","stringToH3",0,0,""
"21.8.11.1.altinitystable","toFloat32OrNull",0,0,""
"21.8.11.1.altinitystable","h3IndexesAreNeighbors",0,0,""
"21.8.11.1.altinitystable","h3ToParent",0,0,""
"21.8.11.1.altinitystable","murmurHash2_64",0,0,""
"21.8.11.1.altinitystable","h3GetBaseCell",0,0,""
"21.8.11.1.altinitystable","h3GetResolution",0,0,""
"21.8.11.1.altinitystable","h3EdgeLengthM",0,0,""
"21.8.11.1.altinitystable","svg",0,0,""
"21.8.11.1.altinitystable","equals",0,0,""
"21.8.11.1.altinitystable","geohashesInBox",0,0,""
"21.8.11.1.altinitystable","polygonsIntersectionCartesian",0,0,""
"21.8.11.1.altinitystable","polygonPerimeterSpherical",0,0,""
"21.8.11.1.altinitystable","bitHammingDistance",0,0,""
"21.8.11.1.altinitystable","polygonsDistanceSpherical",0,0,""
"21.8.11.1.altinitystable","polygonsSymDifferenceSpherical",0,0,""
"21.8.11.1.altinitystable","polygonAreaSpherical",0,0,""
"21.8.11.1.altinitystable","toInt256OrZero",0,0,""
"21.8.11.1.altinitystable","pointInPolygon",0,0,""
"21.8.11.1.altinitystable","greatCircleDistance",0,0,""
"21.8.11.1.altinitystable","mapKeys",0,0,""
"21.8.11.1.altinitystable","toInt256",0,0,""
"21.8.11.1.altinitystable","sign",0,1,""
"21.8.11.1.altinitystable","reinterpretAsUInt8",0,0,""
"21.8.11.1.altinitystable","atanh",0,0,""
"21.8.11.1.altinitystable","formatReadableTimeDelta",0,0,""
"21.8.11.1.altinitystable","geohashEncode",0,0,""
"21.8.11.1.altinitystable","atan2",0,1,""
"21.8.11.1.altinitystable","acos",0,1,""
"21.8.11.1.altinitystable","SHA224",0,0,""
"21.8.11.1.altinitystable","visitParamExtractBool",0,0,""
"21.8.11.1.altinitystable","h3kRing",0,0,""
"21.8.11.1.altinitystable","asin",0,1,""
"21.8.11.1.altinitystable","sin",0,1,""
"21.8.11.1.altinitystable","reinterpretAsUInt128",0,0,""
"21.8.11.1.altinitystable","lgamma",0,0,""
"21.8.11.1.altinitystable","log2",0,1,""
"21.8.11.1.altinitystable","geoToH3",0,0,""
"21.8.11.1.altinitystable","toUnixTimestamp64Milli",0,0,""
"21.8.11.1.altinitystable","firstSignificantSubdomainCustom",0,0,""
"21.8.11.1.altinitystable","simpleJSONExtractBool",0,0,""
"21.8.11.1.altinitystable","visitParamExtractFloat",0,0,""
"21.8.11.1.altinitystable","visitParamExtractInt",0,0,""
"21.8.11.1.altinitystable","simpleJSONHas",0,0,""
"21.8.11.1.altinitystable","visitParamHas",0,0,""
"21.8.11.1.altinitystable","sigmoid",0,0,""
"21.8.11.1.altinitystable","cutQueryStringAndFragment",0,0,""
"21.8.11.1.altinitystable","dictGetInt16OrDefault",0,0,""
"21.8.11.1.altinitystable","cutToFirstSignificantSubdomainCustom",0,0,""
