"ch_version","name","is_input","is_output"
"21.8.15.15.altinitystable","CapnProto",1,0
"21.8.15.15.altinitystable","PostgreSQLWire",0,1
"21.8.15.15.altinitystable","MySQLWire",0,1
"21.8.15.15.altinitystable","JSONStringsEachRowWithProgress",0,1
"21.8.15.15.altinitystable","JSONEachRowWithProgress",0,1
"21.8.15.15.altinitystable","JSONCompact",0,1
"21.8.15.15.altinitystable","JSON",0,1
"21.8.15.15.altinitystable","CSV",1,1
"21.8.15.15.altinitystable","Vertical",0,1
"21.8.15.15.altinitystable","ODBCDriver2",0,1
"21.8.15.15.altinitystable","PrettySpaceNoEscapes",0,1
"21.8.15.15.altinitystable","Pretty",0,1
"21.8.15.15.altinitystable","JSONCompactStrings",0,1
"21.8.15.15.altinitystable","PrettyNoEscapes",0,1
"21.8.15.15.altinitystable","ArrowStream",1,1
"21.8.15.15.altinitystable","TabSeparatedWithNames",1,1
"21.8.15.15.altinitystable","Parquet",1,1
"21.8.15.15.altinitystable","Arrow",1,1
"21.8.15.15.altinitystable","PrettyCompact",0,1
"21.8.15.15.altinitystable","AvroConfluent",1,0
"21.8.15.15.altinitystable","ORC",1,1
"21.8.15.15.altinitystable","PrettyCompactNoEscapes",0,1
"21.8.15.15.altinitystable","RawBLOB",1,1
"21.8.15.15.altinitystable","Template",1,1
"21.8.15.15.altinitystable","MsgPack",1,1
"21.8.15.15.altinitystable","JSONCompactEachRow",1,1
"21.8.15.15.altinitystable","CustomSeparated",1,1
"21.8.15.15.altinitystable","TemplateIgnoreSpaces",1,0
"21.8.15.15.altinitystable","Markdown",0,1
"21.8.15.15.altinitystable","XML",0,1
"21.8.15.15.altinitystable","ProtobufSingle",1,1
"21.8.15.15.altinitystable","JSONCompactStringsEachRowWithNamesAndTypes",1,1
"21.8.15.15.altinitystable","TSKV",1,1
"21.8.15.15.altinitystable","TabSeparated",1,1
"21.8.15.15.altinitystable","JSONStringEachRow",0,0
"21.8.15.15.altinitystable","JSONStringsEachRow",1,1
"21.8.15.15.altinitystable","TSVRaw",1,1
"21.8.15.15.altinitystable","Values",1,1
"21.8.15.15.altinitystable","TabSeparatedWithNamesAndTypes",1,1
"21.8.15.15.altinitystable","PrettyCompactMonoBlock",0,1
"21.8.15.15.altinitystable","TSVWithNamesAndTypes",1,1
"21.8.15.15.altinitystable","Avro",1,1
"21.8.15.15.altinitystable","RowBinaryWithNamesAndTypes",1,1
"21.8.15.15.altinitystable","LineAsString",1,0
"21.8.15.15.altinitystable","Native",1,1
"21.8.15.15.altinitystable","JSONCompactEachRowWithNamesAndTypes",1,1
"21.8.15.15.altinitystable","PrettySpace",0,1
"21.8.15.15.altinitystable","Regexp",1,0
"21.8.15.15.altinitystable","TSV",1,1
"21.8.15.15.altinitystable","JSONEachRow",1,1
"21.8.15.15.altinitystable","CustomSeparatedIgnoreSpaces",1,0
"21.8.15.15.altinitystable","CSVWithNames",1,1
"21.8.15.15.altinitystable","JSONStrings",0,1
"21.8.15.15.altinitystable","Null",0,1
"21.8.15.15.altinitystable","TabSeparatedRaw",1,1
"21.8.15.15.altinitystable","TSVWithNames",1,1
"21.8.15.15.altinitystable","Protobuf",1,1
"21.8.15.15.altinitystable","RowBinary",1,1
"21.8.15.15.altinitystable","JSONAsString",1,0
"21.8.15.15.altinitystable","JSONCompactStringsEachRow",1,1
