"ch_version","name","supports_settings","supports_skipping_indices","supports_projections","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"21.8.15.15.altinitystable","PostgreSQL",0,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","RabbitMQ",1,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","Kafka",1,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","MySQL",1,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","HDFS",0,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","S3",0,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","MaterializedView",0,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","MaterializedPostgreSQL",1,0,0,1,0,0,0,0
"21.8.15.15.altinitystable","EmbeddedRocksDB",0,0,0,1,0,0,0,1
"21.8.15.15.altinitystable","View",0,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","JDBC",0,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","Join",1,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","ExternalDistributed",0,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","Set",1,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","Dictionary",0,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","GenerateRandom",0,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","LiveView",0,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","MergeTree",1,1,1,1,1,0,0,1
"21.8.15.15.altinitystable","Memory",1,0,0,0,0,0,0,1
"21.8.15.15.altinitystable","Buffer",0,0,0,0,0,0,0,1
"21.8.15.15.altinitystable","MongoDB",0,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","URL",1,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1,1
"21.8.15.15.altinitystable","ReplacingMergeTree",1,1,1,1,1,0,0,1
"21.8.15.15.altinitystable","ReplicatedSummingMergeTree",1,1,1,1,1,1,1,1
"21.8.15.15.altinitystable","COSN",0,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1,1
"21.8.15.15.altinitystable","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1,1
"21.8.15.15.altinitystable","File",1,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1,1
"21.8.15.15.altinitystable","ReplicatedMergeTree",1,1,1,1,1,1,1,1
"21.8.15.15.altinitystable","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1,1
"21.8.15.15.altinitystable","VersionedCollapsingMergeTree",1,1,1,1,1,0,0,1
"21.8.15.15.altinitystable","SummingMergeTree",1,1,1,1,1,0,0,1
"21.8.15.15.altinitystable","Distributed",1,0,0,0,0,0,0,1
"21.8.15.15.altinitystable","TinyLog",1,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","GraphiteMergeTree",1,1,1,1,1,0,0,1
"21.8.15.15.altinitystable","CollapsingMergeTree",1,1,1,1,1,0,0,1
"21.8.15.15.altinitystable","Merge",0,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","AggregatingMergeTree",1,1,1,1,1,0,0,1
"21.8.15.15.altinitystable","ODBC",0,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","Null",0,0,0,0,0,0,0,1
"21.8.15.15.altinitystable","StripeLog",1,0,0,0,0,0,0,0
"21.8.15.15.altinitystable","Log",1,0,0,0,0,0,0,0
