"ch_version","name","value","changed","description","min","max","readonly","type"
"22.12.5.34","min_compress_block_size","0",0,"When granule is written, compress the data in buffer if the size of pending uncompressed data is larger or equal than the specified threshold. If this setting is not set, the corresponding global setting is used.",\N,\N,0,"UInt64"
"22.12.5.34","max_compress_block_size","0",0,"Compress the pending uncompressed data in buffer if its size is larger or equal than the specified threshold. Block of data will be compressed even if the current granule is not finished. If this setting is not set, the corresponding global setting is used.",\N,\N,0,"UInt64"
"22.12.5.34","index_granularity","8192",0,"How many rows correspond to one primary key value.",\N,\N,0,"UInt64"
"22.12.5.34","min_bytes_for_wide_part","10485760",0,"Minimal uncompressed size in bytes to create part in wide format instead of compact",\N,\N,0,"UInt64"
"22.12.5.34","min_rows_for_wide_part","0",0,"Minimal number of rows to create part in wide format instead of compact",\N,\N,0,"UInt64"
"22.12.5.34","min_bytes_for_compact_part","0",0,"Experimental. Minimal uncompressed size in bytes to create part in compact format instead of saving it in RAM",\N,\N,0,"UInt64"
"22.12.5.34","min_rows_for_compact_part","0",0,"Experimental. Minimal number of rows to create part in compact format instead of saving it in RAM",\N,\N,0,"UInt64"
"22.12.5.34","in_memory_parts_enable_wal","1",0,"Whether to write blocks in Native format to write-ahead-log before creation in-memory part",\N,\N,0,"Bool"
"22.12.5.34","write_ahead_log_max_bytes","1073741824",0,"Rotate WAL, if it exceeds that amount of bytes",\N,\N,0,"UInt64"
"22.12.5.34","ratio_of_defaults_for_sparse_serialization","1",0,"Minimal ratio of number of default values to number of all values in column to store it in sparse serializations. If >= 1, columns will be always written in full serialization.",\N,\N,0,"Float"
"22.12.5.34","merge_max_block_size","8192",0,"How many rows in blocks should be formed for merge operations.",\N,\N,0,"UInt64"
"22.12.5.34","max_bytes_to_merge_at_max_space_in_pool","161061273600",0,"Maximum in total size of parts to merge, when there are maximum free threads in background pool (or entries in replication queue).",\N,\N,0,"UInt64"
"22.12.5.34","max_bytes_to_merge_at_min_space_in_pool","1048576",0,"Maximum in total size of parts to merge, when there are minimum free threads in background pool (or entries in replication queue).",\N,\N,0,"UInt64"
"22.12.5.34","max_replicated_merges_in_queue","16",0,"How many tasks of merging and mutating parts are allowed simultaneously in ReplicatedMergeTree queue.",\N,\N,0,"UInt64"
"22.12.5.34","max_replicated_mutations_in_queue","8",0,"How many tasks of mutating parts are allowed simultaneously in ReplicatedMergeTree queue.",\N,\N,0,"UInt64"
"22.12.5.34","max_replicated_merges_with_ttl_in_queue","1",0,"How many tasks of merging parts with TTL are allowed simultaneously in ReplicatedMergeTree queue.",\N,\N,0,"UInt64"
