"ch_version","name","is_input","is_output"
"22.8.13.22.altinityfips","SQLInsert",0,1
"22.8.13.22.altinityfips","Prometheus",0,1
"22.8.13.22.altinityfips","CapnProto",1,1
"22.8.13.22.altinityfips","PostgreSQLWire",0,1
"22.8.13.22.altinityfips","MySQLWire",0,1
"22.8.13.22.altinityfips","JSONColumnsWithMetadata",0,1
"22.8.13.22.altinityfips","JSONEachRowWithProgress",0,1
"22.8.13.22.altinityfips","JSONCompact",0,1
"22.8.13.22.altinityfips","Null",0,1
"22.8.13.22.altinityfips","JSONStrings",0,1
"22.8.13.22.altinityfips","ODBCDriver2",0,1
"22.8.13.22.altinityfips","PrettySpaceNoEscapes",0,1
"22.8.13.22.altinityfips","PrettySpace",0,1
"22.8.13.22.altinityfips","PrettyCompactMonoBlock",0,1
"22.8.13.22.altinityfips","PrettyCompactNoEscapes",0,1
"22.8.13.22.altinityfips","JSONStringsEachRowWithProgress",0,1
"22.8.13.22.altinityfips","PrettyNoEscapesMonoBlock",0,1
"22.8.13.22.altinityfips","PrettyMonoBlock",0,1
"22.8.13.22.altinityfips","JSONCompactStrings",0,1
"22.8.13.22.altinityfips","PrettyCompactNoEscapesMonoBlock",0,1
"22.8.13.22.altinityfips","PrettyNoEscapes",0,1
"22.8.13.22.altinityfips","ArrowStream",1,1
"22.8.13.22.altinityfips","Avro",1,1
"22.8.13.22.altinityfips","AvroConfluent",1,0
"22.8.13.22.altinityfips","ORC",1,1
"22.8.13.22.altinityfips","CustomSeparatedIgnoreSpacesWithNames",1,0
"22.8.13.22.altinityfips","CustomSeparatedIgnoreSpaces",1,0
"22.8.13.22.altinityfips","CustomSeparatedWithNamesAndTypes",1,1
"22.8.13.22.altinityfips","CustomSeparatedWithNames",1,1
"22.8.13.22.altinityfips","RawBLOB",1,1
"22.8.13.22.altinityfips","Template",1,1
"22.8.13.22.altinityfips","MsgPack",1,1
"22.8.13.22.altinityfips","TemplateIgnoreSpaces",1,0
"22.8.13.22.altinityfips","JSON",0,1
"22.8.13.22.altinityfips","ProtobufList",1,1
"22.8.13.22.altinityfips","Markdown",0,1
"22.8.13.22.altinityfips","XML",0,1
"22.8.13.22.altinityfips","ProtobufSingle",1,1
"22.8.13.22.altinityfips","JSONCompactColumns",1,1
"22.8.13.22.altinityfips","LineAsStringWithNamesAndTypes",0,1
"22.8.13.22.altinityfips","LineAsStringWithNames",0,1
"22.8.13.22.altinityfips","Native",1,1
"22.8.13.22.altinityfips","LineAsString",1,1
"22.8.13.22.altinityfips","RowBinaryWithNamesAndTypes",1,1
"22.8.13.22.altinityfips","Protobuf",1,1
"22.8.13.22.altinityfips","RowBinary",1,1
"22.8.13.22.altinityfips","JSONCompactStringsEachRowWithNamesAndTypes",1,1
"22.8.13.22.altinityfips","PrettySpaceMonoBlock",0,1
"22.8.13.22.altinityfips","PrettyCompact",0,1
"22.8.13.22.altinityfips","RowBinaryWithNames",1,1
"22.8.13.22.altinityfips","Arrow",1,1
"22.8.13.22.altinityfips","Parquet",1,1
"22.8.13.22.altinityfips","TabSeparatedWithNames",1,1
"22.8.13.22.altinityfips","JSONCompactStringsEachRowWithNames",1,1
"22.8.13.22.altinityfips","HiveText",1,0
"22.8.13.22.altinityfips","PrettySpaceNoEscapesMonoBlock",0,1
"22.8.13.22.altinityfips","TabSeparatedRawWithNames",1,1
"22.8.13.22.altinityfips","JSONCompactStringsEachRow",1,1
"22.8.13.22.altinityfips","CustomSeparated",1,1
"22.8.13.22.altinityfips","JSONCompactEachRow",1,1
"22.8.13.22.altinityfips","TSVRawWithNamesAndTypes",1,1
"22.8.13.22.altinityfips","JSONAsString",1,0
"22.8.13.22.altinityfips","JSONColumns",1,1
"22.8.13.22.altinityfips","NDJSON",1,1
"22.8.13.22.altinityfips","JSONAsObject",1,0
"22.8.13.22.altinityfips","JSONLines",1,1
"22.8.13.22.altinityfips","MySQLDump",1,0
"22.8.13.22.altinityfips","TSVWithNamesAndTypes",1,1
"22.8.13.22.altinityfips","CSVWithNamesAndTypes",1,1
"22.8.13.22.altinityfips","CSVWithNames",1,1
"22.8.13.22.altinityfips","Regexp",1,0
"22.8.13.22.altinityfips","TSV",1,1
"22.8.13.22.altinityfips","Vertical",0,1
"22.8.13.22.altinityfips","CSV",1,1
"22.8.13.22.altinityfips","TabSeparated",1,1
"22.8.13.22.altinityfips","JSONStringEachRow",0,0
"22.8.13.22.altinityfips","Pretty",0,1
"22.8.13.22.altinityfips","JSONCompactEachRowWithNames",1,1
"22.8.13.22.altinityfips","TabSeparatedRawWithNamesAndTypes",1,1
"22.8.13.22.altinityfips","TSKV",1,1
"22.8.13.22.altinityfips","TSVRaw",1,1
"22.8.13.22.altinityfips","Values",1,1
"22.8.13.22.altinityfips","JSONStringsEachRow",1,1
"22.8.13.22.altinityfips","TabSeparatedWithNamesAndTypes",1,1
"22.8.13.22.altinityfips","TSVRawWithNames",1,1
"22.8.13.22.altinityfips","JSONCompactEachRowWithNamesAndTypes",1,1
"22.8.13.22.altinityfips","CustomSeparatedIgnoreSpacesWithNamesAndTypes",1,0
"22.8.13.22.altinityfips","TabSeparatedRaw",1,1
"22.8.13.22.altinityfips","TSVWithNames",1,1
"22.8.13.22.altinityfips","JSONEachRow",1,1
