"ch_version","name","supports_settings","supports_skipping_indices","supports_projections","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"23.2.6.34","KeeperMap",0,0,0,1,0,0,0,1
"23.2.6.34","SQLite",0,0,0,0,0,0,0,0
"23.2.6.34","ExternalDistributed",0,0,0,0,0,0,0,0
"23.2.6.34","PostgreSQL",0,0,0,0,0,0,0,0
"23.2.6.34","NATS",1,0,0,0,0,0,0,0
"23.2.6.34","RabbitMQ",1,0,0,0,0,0,0,0
"23.2.6.34","Kafka",1,0,0,0,0,0,0,0
"23.2.6.34","FileLog",1,0,0,0,0,0,0,0
"23.2.6.34","Dictionary",0,0,0,0,0,0,0,0
"23.2.6.34","MySQL",1,0,0,0,0,0,0,0
"23.2.6.34","HDFS",0,0,0,1,0,0,0,0
"23.2.6.34","MaterializedPostgreSQL",1,0,0,1,0,0,0,0
"23.2.6.34","S3",1,0,0,1,0,0,0,0
"23.2.6.34","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1,1
"23.2.6.34","MeiliSearch",0,0,0,0,0,0,0,0
"23.2.6.34","OSS",1,0,0,1,0,0,0,0
"23.2.6.34","WindowView",0,0,0,0,0,0,0,0
"23.2.6.34","Distributed",1,0,0,0,0,0,0,1
"23.2.6.34","ReplicatedSummingMergeTree",1,1,1,1,1,1,1,1
"23.2.6.34","ExecutablePool",1,0,0,0,0,0,0,0
"23.2.6.34","COSN",1,0,0,1,0,0,0,0
"23.2.6.34","Iceberg",0,0,0,0,0,0,0,0
"23.2.6.34","MaterializedView",0,0,0,0,0,0,0,0
"23.2.6.34","View",0,0,0,0,0,0,0,0
"23.2.6.34","JDBC",0,0,0,0,0,0,0,0
"23.2.6.34","Join",1,0,0,0,0,0,0,0
"23.2.6.34","Executable",1,0,0,0,0,0,0,0
"23.2.6.34","Set",1,0,0,0,0,0,0,0
"23.2.6.34","GenerateRandom",0,0,0,0,0,0,0,0
"23.2.6.34","LiveView",0,0,0,0,0,0,0,0
"23.2.6.34","MergeTree",1,1,1,1,1,0,0,1
"23.2.6.34","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1,1
"23.2.6.34","Memory",1,0,0,0,0,0,0,1
"23.2.6.34","Buffer",0,0,0,0,0,0,0,1
"23.2.6.34","MongoDB",0,0,0,0,0,0,0,0
"23.2.6.34","URL",1,0,0,0,0,0,0,0
"23.2.6.34","VersionedCollapsingMergeTree",1,1,1,1,1,0,0,1
"23.2.6.34","Hive",1,0,0,1,0,0,0,0
"23.2.6.34","ReplacingMergeTree",1,1,1,1,1,0,0,1
"23.2.6.34","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1,1
"23.2.6.34","ReplicatedMergeTree",1,1,1,1,1,1,1,1
"23.2.6.34","DeltaLake",0,0,0,0,0,0,0,0
"23.2.6.34","EmbeddedRocksDB",0,0,0,1,1,0,0,1
"23.2.6.34","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1,1
"23.2.6.34","File",1,0,0,0,0,0,0,0
"23.2.6.34","TinyLog",1,0,0,0,0,0,0,0
"23.2.6.34","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1,1
"23.2.6.34","SummingMergeTree",1,1,1,1,1,0,0,1
"23.2.6.34","Hudi",0,0,0,0,0,0,0,0
"23.2.6.34","GraphiteMergeTree",1,1,1,1,1,0,0,1
"23.2.6.34","CollapsingMergeTree",1,1,1,1,1,0,0,1
"23.2.6.34","Merge",0,0,0,0,0,0,0,0
"23.2.6.34","AggregatingMergeTree",1,1,1,1,1,0,0,1
"23.2.6.34","ODBC",0,0,0,0,0,0,0,0
"23.2.6.34","Null",0,0,0,0,0,0,0,1
"23.2.6.34","StripeLog",1,0,0,0,0,0,0,0
"23.2.6.34","Log",1,0,0,0,0,0,0,0
