"ch_version","name","supports_settings","supports_skipping_indices","supports_projections","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"23.3.19.34.altinityfips","KeeperMap",0,0,0,1,0,0,0,1
"23.3.19.34.altinityfips","SQLite",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","ExternalDistributed",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","PostgreSQL",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","NATS",1,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","RabbitMQ",1,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","Kafka",1,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","FileLog",1,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","Dictionary",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","MySQL",1,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","HDFS",0,0,0,1,0,0,0,0
"23.3.19.34.altinityfips","MaterializedPostgreSQL",1,0,0,1,0,0,0,0
"23.3.19.34.altinityfips","S3",1,0,0,1,0,0,0,0
"23.3.19.34.altinityfips","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1,1
"23.3.19.34.altinityfips","MeiliSearch",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","OSS",1,0,0,1,0,0,0,0
"23.3.19.34.altinityfips","WindowView",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","Distributed",1,0,0,0,0,0,0,1
"23.3.19.34.altinityfips","ReplicatedSummingMergeTree",1,1,1,1,1,1,1,1
"23.3.19.34.altinityfips","ExecutablePool",1,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","COSN",1,0,0,1,0,0,0,0
"23.3.19.34.altinityfips","Iceberg",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","MaterializedView",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","View",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","JDBC",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","Join",1,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","Executable",1,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","Set",1,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","GenerateRandom",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","LiveView",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","MergeTree",1,1,1,1,1,0,0,1
"23.3.19.34.altinityfips","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1,1
"23.3.19.34.altinityfips","Memory",1,0,0,0,0,0,0,1
"23.3.19.34.altinityfips","Buffer",0,0,0,0,0,0,0,1
"23.3.19.34.altinityfips","MongoDB",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","URL",1,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","VersionedCollapsingMergeTree",1,1,1,1,1,0,0,1
"23.3.19.34.altinityfips","Hive",1,0,0,1,0,0,0,0
"23.3.19.34.altinityfips","ReplacingMergeTree",1,1,1,1,1,0,0,1
"23.3.19.34.altinityfips","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1,1
"23.3.19.34.altinityfips","ReplicatedMergeTree",1,1,1,1,1,1,1,1
"23.3.19.34.altinityfips","DeltaLake",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","EmbeddedRocksDB",0,0,0,1,1,0,0,1
"23.3.19.34.altinityfips","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1,1
"23.3.19.34.altinityfips","File",1,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","TinyLog",1,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1,1
"23.3.19.34.altinityfips","SummingMergeTree",1,1,1,1,1,0,0,1
"23.3.19.34.altinityfips","Hudi",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","GraphiteMergeTree",1,1,1,1,1,0,0,1
"23.3.19.34.altinityfips","CollapsingMergeTree",1,1,1,1,1,0,0,1
"23.3.19.34.altinityfips","Merge",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","AggregatingMergeTree",1,1,1,1,1,0,0,1
"23.3.19.34.altinityfips","ODBC",0,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","Null",0,0,0,0,0,0,0,1
"23.3.19.34.altinityfips","StripeLog",1,0,0,0,0,0,0,0
"23.3.19.34.altinityfips","Log",1,0,0,0,0,0,0,0
