"ch_version","version","changes"
"23.3.22.3","23.3","[('output_format_parquet_version','1.0','2.latest','Use latest Parquet format version for output format'),('input_format_json_ignore_unknown_keys_in_named_tuple','0','1','Improve parsing JSON objects as named tuples'),('input_format_native_allow_types_conversion','0','1','Allow types conversion in Native input forma'),('output_format_arrow_compression_method','none','lz4_frame','Use lz4 compression in Arrow output format by default'),('output_format_parquet_compression_method','snappy','lz4','Use lz4 compression in Parquet output format by default'),('output_format_orc_compression_method','none','lz4_frame','Use lz4 compression in ORC output format by default')]"
"23.3.22.3","23.2","[('output_format_parquet_fixed_string_as_fixed_byte_array','0','1','Use Parquet FIXED_LENGTH_BYTE_ARRAY type for FixedString by default'),('output_format_arrow_fixed_string_as_fixed_byte_array','0','1','Use Arrow FIXED_SIZE_BINARY type for FixedString by default'),('query_plan_remove_redundant_distinct','0','1','Remove redundant Distinct step in query plan'),('optimize_duplicate_order_by_and_distinct','1','0','Remove duplicate ORDER BY and DISTINCT if it\'s possible'),('insert_keeper_max_retries','0','20','Enable reconnections to Keeper on INSERT, improve reliability')]"
"23.3.22.3","23.1","[('input_format_json_read_objects_as_strings','0','1','Enable reading nested json objects as strings while object type is experimental'),('input_format_json_defaults_for_missing_elements_in_named_tuple','0','1','Allow missing elements in JSON objects while reading named tuples by default'),('input_format_csv_detect_header','0','1','Detect header in CSV format by default'),('input_format_tsv_detect_header','0','1','Detect header in TSV format by default'),('input_format_custom_detect_header','0','1','Detect header in CustomSeparated format by default'),('query_plan_remove_redundant_sorting','0','1','Remove redundant sorting in query plan. For example, sorting steps related to ORDER BY clauses in subqueries')]"
"23.3.22.3","22.12","[('max_size_to_preallocate_for_aggregation','10000000','100000000','This optimizes performance'),('query_plan_aggregation_in_order','0','1','Enable some refactoring around query plan'),('format_binary_max_string_size','0','1073741824','Prevent allocating large amount of memory')]"
"23.3.22.3","22.11","[('use_structure_from_insertion_table_in_table_functions','0','2','Improve using structure from insertion table in table functions')]"
"23.3.22.3","22.9","[('force_grouping_standard_compatibility','0','1','Make GROUPING function output the same as in SQL standard and other DBMS')]"
"23.3.22.3","22.7","[('cross_to_inner_join_rewrite','1','2','Force rewrite comma join to inner'),('enable_positional_arguments','0','1','Enable positional arguments feature by default'),('format_csv_allow_single_quotes','1','0','Most tools don\'t treat single quote in CSV specially, don\'t do it by default too')]"
"23.3.22.3","22.6","[('output_format_json_named_tuples_as_objects','0','1','Allow to serialize named tuples as JSON objects in JSON formats by default'),('input_format_skip_unknown_fields','0','1','Optimize reading subset of columns for some input formats')]"
"23.3.22.3","22.5","[('memory_overcommit_ratio_denominator','0','1073741824','Enable memory overcommit feature by default'),('memory_overcommit_ratio_denominator_for_user','0','1073741824','Enable memory overcommit feature by default')]"
"23.3.22.3","22.4","[('allow_settings_after_format_in_insert','1','0','Do not allow SETTINGS after FORMAT for INSERT queries because ClickHouse interpret SETTINGS as some values, which is misleading')]"
"23.3.22.3","22.3","[('cast_ipv4_ipv6_default_on_conversion_error','1','0','Make functions cast(value, \'IPv4\') and cast(value, \'IPv6\') behave same as toIPv4 and toIPv6 functions')]"
"23.3.22.3","21.12","[('stream_like_engine_allow_direct_select','1','0','Do not allow direct select for Kafka/RabbitMQ/FileLog by default')]"
"23.3.22.3","21.9","[('output_format_decimal_trailing_zeros','1','0','Do not output trailing zeros in text representation of Decimal types by default for better looking output'),('use_hedged_requests','0','1','Enable Hedged Requests feature by default')]"
"23.3.22.3","21.7","[('legacy_column_name_of_tuple_literal','1','0','Add this setting only for compatibility reasons. It makes sense to set to \'true\', while doing rolling update of cluster from version lower than 21.7 to higher')]"
