"ch_version","name","value","changed","description","min","max","readonly","type","default","alias_for"
"23.3.4.17","dialect","clickhouse",0,"Which dialect will be used to parse query",\N,\N,0,"Dialect","clickhouse",""
"23.3.4.17","min_compress_block_size","65536",0,"The actual size of the block to compress, if the uncompressed data less than max_compress_block_size is no less than this value and no less than the volume of data for one mark.",\N,\N,0,"UInt64","65536",""
"23.3.4.17","max_compress_block_size","1048576",0,"The maximum size of blocks of uncompressed data before compressing for writing to a table.",\N,\N,0,"UInt64","1048576",""
"23.3.4.17","max_block_size","65409",0,"Maximum block size for reading",\N,\N,0,"UInt64","65409",""
"23.3.4.17","max_insert_block_size","1048449",0,"The maximum block size for insertion, if we control the creation of blocks for insertion.",\N,\N,0,"UInt64","1048449",""
"23.3.4.17","min_insert_block_size_rows","1048449",0,"Squash blocks passed to INSERT query to specified size in rows, if blocks are not big enough.",\N,\N,0,"UInt64","1048449",""
"23.3.4.17","min_insert_block_size_bytes","268402944",0,"Squash blocks passed to INSERT query to specified size in bytes, if blocks are not big enough.",\N,\N,0,"UInt64","268402944",""
"23.3.4.17","min_insert_block_size_rows_for_materialized_views","0",0,"Like min_insert_block_size_rows, but applied only during pushing to MATERIALIZED VIEW (default: min_insert_block_size_rows)",\N,\N,0,"UInt64","0",""
"23.3.4.17","min_insert_block_size_bytes_for_materialized_views","0",0,"Like min_insert_block_size_bytes, but applied only during pushing to MATERIALIZED VIEW (default: min_insert_block_size_bytes)",\N,\N,0,"UInt64","0",""
"23.3.4.17","max_joined_block_size_rows","65409",0,"Maximum block size for JOIN result (if join algorithm supports it). 0 means unlimited.",\N,\N,0,"UInt64","65409",""
"23.3.4.17","max_insert_threads","0",0,"The maximum number of threads to execute the INSERT SELECT query. Values 0 or 1 means that INSERT SELECT is not run in parallel. Higher values will lead to higher memory usage. Parallel INSERT SELECT has effect only if the SELECT part is run on parallel, see 'max_threads' setting.",\N,\N,0,"UInt64","0",""
"23.3.4.17","max_insert_delayed_streams_for_parallel_write","0",0,"The maximum number of streams (columns) to delay final part flush. Default - auto (1000 in case of underlying storage supports parallel write, for example S3 and disabled otherwise)",\N,\N,0,"UInt64","0",""
"23.3.4.17","max_final_threads","'auto(12)'",0,"The maximum number of threads to read from table with FINAL.",\N,\N,0,"MaxThreads","'auto(12)'",""
"23.3.4.17","max_threads","'auto(12)'",0,"The maximum number of threads to execute the request. By default, it is determined automatically.",\N,\N,0,"MaxThreads","'auto(12)'",""
"23.3.4.17","max_download_threads","4",0,"The maximum number of threads to download data (e.g. for URL engine).",\N,\N,0,"MaxThreads","4",""
"23.3.4.17","max_download_buffer_size","10485760",0,"The maximal size of buffer for parallel downloading (e.g. for URL engine) per each thread.",\N,\N,0,"UInt64","10485760",""
"23.3.4.17","max_read_buffer_size","1048576",0,"The maximum size of the buffer to read from the filesystem.",\N,\N,0,"UInt64","1048576",""
"23.3.4.17","max_distributed_connections","1024",0,"The maximum number of connections for distributed processing of one query (should be greater than max_threads).",\N,\N,0,"UInt64","1024",""
"23.3.4.17","max_query_size","262144",0,"The maximum number of bytes of a query string parsed by the SQL parser. Data in the VALUES clause of INSERT queries is processed by a separate stream parser (that consumes O(1) RAM) and not affected by this restriction.",\N,\N,0,"UInt64","262144",""
"23.3.4.17","interactive_delay","100000",0,"The interval in microseconds to check if the request is cancelled, and to send progress info.",\N,\N,0,"UInt64","100000",""
"23.3.4.17","connect_timeout","10",0,"Connection timeout if there are no replicas.",\N,\N,0,"Seconds","10",""
"23.3.4.17","connect_timeout_with_failover_ms","50",0,"Connection timeout for selecting first healthy replica.",\N,\N,0,"Milliseconds","50",""
"23.3.4.17","connect_timeout_with_failover_secure_ms","100",0,"Connection timeout for selecting first healthy replica (for secure connections).",\N,\N,0,"Milliseconds","100",""
"23.3.4.17","receive_timeout","300",0,"Timeout for receiving data from network, in seconds. If no bytes were received in this interval, exception is thrown. If you set this setting on client, the 'send_timeout' for the socket will be also set on the corresponding connection end on the server.",\N,\N,0,"Seconds","300",""
"23.3.4.17","send_timeout","300",0,"Timeout for sending data to network, in seconds. If client needs to sent some data, but it did not able to send any bytes in this interval, exception is thrown. If you set this setting on client, the 'receive_timeout' for the socket will be also set on the corresponding connection end on the server.",\N,\N,0,"Seconds","300",""
"23.3.4.17","tcp_keep_alive_timeout","290",0,"The time in seconds the connection needs to remain idle before TCP starts sending keepalive probes",\N,\N,0,"Seconds","290",""
"23.3.4.17","hedged_connection_timeout_ms","100",0,"Connection timeout for establishing connection with replica for Hedged requests",\N,\N,0,"Milliseconds","100",""
"23.3.4.17","receive_data_timeout_ms","2000",0,"Connection timeout for receiving first packet of data or packet with positive progress from replica",\N,\N,0,"Milliseconds","2000",""
"23.3.4.17","use_hedged_requests","1",0,"Use hedged requests for distributed queries",\N,\N,0,"Bool","1",""
"23.3.4.17","allow_changing_replica_until_first_data_packet","0",0,"Allow HedgedConnections to change replica until receiving first data packet",\N,\N,0,"Bool","0",""
"23.3.4.17","queue_max_wait_ms","0",0,"The wait time in the request queue, if the number of concurrent requests exceeds the maximum.",\N,\N,0,"Milliseconds","0",""
"23.3.4.17","connection_pool_max_wait_ms","0",0,"The wait time when the connection pool is full.",\N,\N,0,"Milliseconds","0",""
"23.3.4.17","replace_running_query_max_wait_ms","5000",0,"The wait time for running query with the same query_id to finish when setting 'replace_running_query' is active.",\N,\N,0,"Milliseconds","5000",""
"23.3.4.17","kafka_max_wait_ms","5000",0,"The wait time for reading from Kafka before retry.",\N,\N,0,"Milliseconds","5000",""
"23.3.4.17","rabbitmq_max_wait_ms","5000",0,"The wait time for reading from RabbitMQ before retry.",\N,\N,0,"Milliseconds","5000",""
"23.3.4.17","poll_interval","10",0,"Block at the query wait loop on the server for the specified number of seconds.",\N,\N,0,"UInt64","10",""
"23.3.4.17","idle_connection_timeout","3600",0,"Close idle TCP connections after specified number of seconds.",\N,\N,0,"UInt64","3600",""
"23.3.4.17","distributed_connections_pool_size","1024",0,"Maximum number of connections with one remote server in the pool.",\N,\N,0,"UInt64","1024",""
"23.3.4.17","connections_with_failover_max_tries","3",0,"The maximum number of attempts to connect to replicas.",\N,\N,0,"UInt64","3",""
"23.3.4.17","s3_min_upload_part_size","16777216",0,"The minimum size of part to upload during multipart upload to S3.",\N,\N,0,"UInt64","16777216",""
"23.3.4.17","s3_max_upload_part_size","5368709120",0,"The maximum size of part to upload during multipart upload to S3.",\N,\N,0,"UInt64","5368709120",""
"23.3.4.17","s3_upload_part_size_multiply_factor","2",0,"Multiply s3_min_upload_part_size by this factor each time s3_multiply_parts_count_threshold parts were uploaded from a single write to S3.",\N,\N,0,"UInt64","2",""
"23.3.4.17","s3_upload_part_size_multiply_parts_count_threshold","500",0,"Each time this number of parts was uploaded to S3 s3_min_upload_part_size multiplied by s3_upload_part_size_multiply_factor.",\N,\N,0,"UInt64","500",""
"23.3.4.17","s3_max_single_part_upload_size","33554432",0,"The maximum size of object to upload using singlepart upload to S3.",\N,\N,0,"UInt64","33554432",""
"23.3.4.17","s3_max_single_read_retries","4",0,"The maximum number of retries during single S3 read.",\N,\N,0,"UInt64","4",""
"23.3.4.17","s3_max_unexpected_write_error_retries","4",0,"The maximum number of retries in case of unexpected errors during S3 write.",\N,\N,0,"UInt64","4",""
"23.3.4.17","s3_max_redirects","10",0,"Max number of S3 redirects hops allowed.",\N,\N,0,"UInt64","10",""
"23.3.4.17","s3_max_connections","1024",0,"The maximum number of connections per server.",\N,\N,0,"UInt64","1024",""
"23.3.4.17","s3_max_get_rps","0",0,"Limit on S3 GET request per second rate before throttling. Zero means unlimited.",\N,\N,0,"UInt64","0",""
"23.3.4.17","s3_max_get_burst","0",0,"Max number of requests that can be issued simultaneously before hitting request per second limit. By default (0) equals to `s3_max_get_rps`",\N,\N,0,"UInt64","0",""
"23.3.4.17","s3_max_put_rps","0",0,"Limit on S3 PUT request per second rate before throttling. Zero means unlimited.",\N,\N,0,"UInt64","0",""
"23.3.4.17","s3_max_put_burst","0",0,"Max number of requests that can be issued simultaneously before hitting request per second limit. By default (0) equals to `s3_max_put_rps`",\N,\N,0,"UInt64","0",""
"23.3.4.17","s3_list_object_keys_size","1000",0,"Maximum number of files that could be returned in batch by ListObject request",\N,\N,0,"UInt64","1000",""
"23.3.4.17","s3_truncate_on_insert","0",0,"Enables or disables truncate before insert in s3 engine tables.",\N,\N,0,"Bool","0",""
"23.3.4.17","s3_create_new_file_on_insert","0",0,"Enables or disables creating a new file on each insert in s3 engine tables",\N,\N,0,"Bool","0",""
"23.3.4.17","s3_check_objects_after_upload","0",0,"Check each uploaded object to s3 with head request to be sure that upload was successful",\N,\N,0,"Bool","0",""
"23.3.4.17","s3_allow_parallel_part_upload","1",0,"Use multiple threads for s3 multipart upload. It may lead to slightly higher memory usage",\N,\N,0,"Bool","1",""
"23.3.4.17","s3_throw_on_zero_files_match","0",0,"Throw an error, when ListObjects request cannot match any files",\N,\N,0,"Bool","0",""
"23.3.4.17","enable_s3_requests_logging","0",0,"Enable very explicit logging of S3 requests. Makes sense for debug only.",\N,\N,0,"Bool","0",""
"23.3.4.17","hdfs_replication","0",0,"The actual number of replications can be specified when the hdfs file is created.",\N,\N,0,"UInt64","0",""
"23.3.4.17","hdfs_truncate_on_insert","0",0,"Enables or disables truncate before insert in s3 engine tables",\N,\N,0,"Bool","0",""
"23.3.4.17","hdfs_create_new_file_on_insert","0",0,"Enables or disables creating a new file on each insert in hdfs engine tables",\N,\N,0,"Bool","0",""
"23.3.4.17","hsts_max_age","0",0,"Expired time for hsts. 0 means disable HSTS.",\N,\N,0,"UInt64","0",""
"23.3.4.17","extremes","0",0,"Calculate minimums and maximums of the result columns. They can be output in JSON-formats.",\N,\N,0,"Bool","0",""
"23.3.4.17","use_uncompressed_cache","0",0,"Whether to use the cache of uncompressed blocks.",\N,\N,0,"Bool","0",""
"23.3.4.17","replace_running_query","0",0,"Whether the running request should be canceled with the same id as the new one.",\N,\N,0,"Bool","0",""
"23.3.4.17","max_replicated_fetches_network_bandwidth_for_server","0",0,"The maximum speed of data exchange over the network in bytes per second for replicated fetches. Zero means unlimited. Only has meaning at server startup.",\N,\N,0,"UInt64","0",""
"23.3.4.17","max_replicated_sends_network_bandwidth_for_server","0",0,"The maximum speed of data exchange over the network in bytes per second for replicated sends. Zero means unlimited. Only has meaning at server startup.",\N,\N,0,"UInt64","0",""
"23.3.4.17","max_remote_read_network_bandwidth_for_server","0",0,"The maximum speed of data exchange over the network in bytes per second for read. Zero means unlimited. Only has meaning at server startup.",\N,\N,0,"UInt64","0",""
"23.3.4.17","max_remote_write_network_bandwidth_for_server","0",0,"The maximum speed of data exchange over the network in bytes per second for write. Zero means unlimited. Only has meaning at server startup.",\N,\N,0,"UInt64","0",""
"23.3.4.17","stream_like_engine_allow_direct_select","0",0,"Allow direct SELECT query for Kafka, RabbitMQ, FileLog, Redis Streams and NATS engines. In case there are attached materialized views, SELECT query is not allowed even if this setting is enabled.",\N,\N,0,"Bool","0",""
"23.3.4.17","stream_like_engine_insert_queue","",0,"When stream like engine reads from multiple queues, user will need to select one queue to insert into when writing. Used by Redis Streams and NATS.",\N,\N,0,"String","",""
"23.3.4.17","distributed_directory_monitor_sleep_time_ms","100",0,"Sleep time for StorageDistributed DirectoryMonitors, in case of any errors delay grows exponentially.",\N,\N,0,"Milliseconds","100",""
"23.3.4.17","distributed_directory_monitor_max_sleep_time_ms","30000",0,"Maximum sleep time for StorageDistributed DirectoryMonitors, it limits exponential growth too.",\N,\N,0,"Milliseconds","30000",""
"23.3.4.17","distributed_directory_monitor_batch_inserts","0",0,"Should StorageDistributed DirectoryMonitors try to batch individual inserts into bigger ones.",\N,\N,0,"Bool","0",""
"23.3.4.17","distributed_directory_monitor_split_batch_on_failure","0",0,"Should StorageDistributed DirectoryMonitors try to split batch into smaller in case of failures.",\N,\N,0,"Bool","0",""
"23.3.4.17","optimize_move_to_prewhere","1",0,"Allows disabling WHERE to PREWHERE optimization in SELECT queries from MergeTree.",\N,\N,0,"Bool","1",""
"23.3.4.17","optimize_move_to_prewhere_if_final","0",0,"If query has `FINAL`, the optimization `move_to_prewhere` is not always correct and it is enabled only if both settings `optimize_move_to_prewhere` and `optimize_move_to_prewhere_if_final` are turned on",\N,\N,0,"Bool","0",""
"23.3.4.17","move_all_conditions_to_prewhere","0",0,"Move all viable conditions from WHERE to PREWHERE",\N,\N,0,"Bool","0",""
"23.3.4.17","enable_multiple_prewhere_read_steps","0",0,"Move more conditions from WHERE to PREWHERE and do reads from disk and filtering in multiple steps if there are multiple conditions combined with AND",\N,\N,0,"Bool","0",""
"23.3.4.17","alter_sync","1",0,"Wait for actions to manipulate the partitions. 0 - do not wait, 1 - wait for execution only of itself, 2 - wait for everyone.",\N,\N,0,"UInt64","1",""
"23.3.4.17","replication_alter_partitions_sync","1",0,"Wait for actions to manipulate the partitions. 0 - do not wait, 1 - wait for execution only of itself, 2 - wait for everyone.",\N,\N,0,"UInt64","1","alter_sync"
"23.3.4.17","replication_wait_for_inactive_replica_timeout","120",0,"Wait for inactive replica to execute ALTER/OPTIMIZE. Time in seconds, 0 - do not wait, negative - wait for unlimited time.",\N,\N,0,"Int64","120",""
"23.3.4.17","load_balancing","random",0,"Which replicas (among healthy replicas) to preferably send a query to (on the first attempt) for distributed processing.",\N,\N,0,"LoadBalancing","random",""
"23.3.4.17","load_balancing_first_offset","0",0,"Which replica to preferably send a query when FIRST_OR_RANDOM load balancing strategy is used.",\N,\N,0,"UInt64","0",""
"23.3.4.17","totals_mode","after_having_exclusive",0,"How to calculate TOTALS when HAVING is present, as well as when max_rows_to_group_by and group_by_overflow_mode = ‘any’ are present.",\N,\N,0,"TotalsMode","after_having_exclusive",""
"23.3.4.17","totals_auto_threshold","0.5",0,"The threshold for totals_mode = 'auto'.",\N,\N,0,"Float","0.5",""
"23.3.4.17","allow_suspicious_low_cardinality_types","0",0,"In CREATE TABLE statement allows specifying LowCardinality modifier for types of small fixed size (8 or less). Enabling this may increase merge times and memory consumption.",\N,\N,0,"Bool","0",""
"23.3.4.17","allow_suspicious_fixed_string_types","0",0,"In CREATE TABLE statement allows creating columns of type FixedString(n) with n > 256. FixedString with length >= 256 is suspicious and most likely indicates misusage",\N,\N,0,"Bool","0",""
"23.3.4.17","compile_expressions","1",0,"Compile some scalar functions and operators to native code.",\N,\N,0,"Bool","1",""
"23.3.4.17","min_count_to_compile_expression","3",0,"The number of identical expressions before they are JIT-compiled",\N,\N,0,"UInt64","3",""
"23.3.4.17","compile_aggregate_expressions","0",0,"Compile aggregate functions to native code. This feature has a bug and should not be used.",\N,\N,0,"Bool","0",""
"23.3.4.17","min_count_to_compile_aggregate_expression","3",0,"The number of identical aggregate expressions before they are JIT-compiled",\N,\N,0,"UInt64","3",""
"23.3.4.17","compile_sort_description","1",0,"Compile sort description to native code.",\N,\N,0,"Bool","1",""
"23.3.4.17","min_count_to_compile_sort_description","3",0,"The number of identical sort descriptions before they are JIT-compiled",\N,\N,0,"UInt64","3",""
"23.3.4.17","group_by_two_level_threshold","100000",0,"From what number of keys, a two-level aggregation starts. 0 - the threshold is not set.",\N,\N,0,"UInt64","100000",""
"23.3.4.17","group_by_two_level_threshold_bytes","50000000",0,"From what size of the aggregation state in bytes, a two-level aggregation begins to be used. 0 - the threshold is not set. Two-level aggregation is used when at least one of the thresholds is triggered.",\N,\N,0,"UInt64","50000000",""
"23.3.4.17","distributed_aggregation_memory_efficient","1",0,"Is the memory-saving mode of distributed aggregation enabled.",\N,\N,0,"Bool","1",""
"23.3.4.17","aggregation_memory_efficient_merge_threads","0",0,"Number of threads to use for merge intermediate aggregation results in memory efficient mode. When bigger, then more memory is consumed. 0 means - same as 'max_threads'.",\N,\N,0,"UInt64","0",""
"23.3.4.17","enable_memory_bound_merging_of_aggregation_results","0",0,"Enable memory bound merging strategy for aggregation. Set it to true only if all nodes of your clusters have versions >= 22.12.",\N,\N,0,"Bool","0",""
"23.3.4.17","enable_positional_arguments","1",0,"Enable positional arguments in ORDER BY, GROUP BY and LIMIT BY",\N,\N,0,"Bool","1",""
"23.3.4.17","enable_extended_results_for_datetime_functions","0",0,"Enable date functions like toLastDayOfMonth return Date32 results (instead of Date results) for Date32/DateTime64 arguments.",\N,\N,0,"Bool","0",""
"23.3.4.17","group_by_use_nulls","0",0,"Treat columns mentioned in ROLLUP, CUBE or GROUPING SETS as Nullable",\N,\N,0,"Bool","0",""
"23.3.4.17","max_parallel_replicas","1",0,"The maximum number of replicas of each shard used when the query is executed. For consistency (to get different parts of the same partition), this option only works for the specified sampling key. The lag of the replicas is not controlled.",\N,\N,0,"UInt64","1",""
"23.3.4.17","parallel_replicas_count","0",0,"This is internal setting that should not be used directly and represents an implementation detail of the 'parallel replicas' mode. This setting will be automatically set up by the initiator server for distributed queries to the number of parallel replicas participating in query processing.",\N,\N,0,"UInt64","0",""
"23.3.4.17","parallel_replica_offset","0",0,"This is internal setting that should not be used directly and represents an implementation detail of the 'parallel replicas' mode. This setting will be automatically set up by the initiator server for distributed queries to the index of the replica participating in query processing among parallel replicas.",\N,\N,0,"UInt64","0",""
"23.3.4.17","parallel_replicas_custom_key","",0,"Custom key assigning work to replicas when parallel replicas are used.",\N,\N,0,"String","",""
"23.3.4.17","parallel_replicas_custom_key_filter_type","default",0,"Type of filter to use with custom key for parallel replicas. default - use modulo operation on the custom key, range - use range filter on custom key using all possible values for the value type of custom key.",\N,\N,0,"ParallelReplicasCustomKeyFilterType","default",""
"23.3.4.17","cluster_for_parallel_replicas","default",0,"Cluster for a shard in which current server is located",\N,\N,0,"String","default",""
"23.3.4.17","allow_experimental_parallel_reading_from_replicas","0",0,"If true, ClickHouse will send a SELECT query to all replicas of a table. It will work for any kind on MergeTree table.",\N,\N,0,"Bool","0",""
"23.3.4.17","parallel_replicas_single_task_marks_count_multiplier","2",0,"A multiplier which will be added during calculation for minimal number of marks to retrieve from coordinator. This will be applied only for remote replicas.",\N,\N,0,"Float","2",""
"23.3.4.17","parallel_replicas_for_non_replicated_merge_tree","0",0,"If true, ClickHouse will use parallel replicas algorithm also for non-replicated MergeTree tables",\N,\N,0,"Bool","0",""
"23.3.4.17","skip_unavailable_shards","0",0,"If true, ClickHouse silently skips unavailable shards and nodes unresolvable through DNS. Shard is marked as unavailable when none of the replicas can be reached.",\N,\N,0,"Bool","0",""
"23.3.4.17","parallel_distributed_insert_select","0",0,"Process distributed INSERT SELECT query in the same cluster on local tables on every shard; if set to 1 - SELECT is executed on each shard; if set to 2 - SELECT and INSERT are executed on each shard",\N,\N,0,"UInt64","0",""
"23.3.4.17","distributed_group_by_no_merge","0",0,"If 1, Do not merge aggregation states from different servers for distributed queries (shards will process query up to the Complete stage, initiator just proxies the data from the shards). If 2 the initiator will apply ORDER BY and LIMIT stages (it is not in case when shard process query up to the Complete stage)",\N,\N,0,"UInt64","0",""
"23.3.4.17","distributed_push_down_limit","1",0,"If 1, LIMIT will be applied on each shard separately. Usually you don't need to use it, since this will be done automatically if it is possible, i.e. for simple query SELECT FROM LIMIT.",\N,\N,0,"UInt64","1",""
"23.3.4.17","optimize_distributed_group_by_sharding_key","1",0,"Optimize GROUP BY sharding_key queries (by avoiding costly aggregation on the initiator server).",\N,\N,0,"Bool","1",""
"23.3.4.17","optimize_skip_unused_shards_limit","1000",0,"Limit for number of sharding key values, turns off optimize_skip_unused_shards if the limit is reached",\N,\N,0,"UInt64","1000",""
"23.3.4.17","optimize_skip_unused_shards","0",0,"Assumes that data is distributed by sharding_key. Optimization to skip unused shards if SELECT query filters by sharding_key.",\N,\N,0,"Bool","0",""
"23.3.4.17","optimize_skip_unused_shards_rewrite_in","1",0,"Rewrite IN in query for remote shards to exclude values that does not belong to the shard (requires optimize_skip_unused_shards)",\N,\N,0,"Bool","1",""
"23.3.4.17","allow_nondeterministic_optimize_skip_unused_shards","0",0,"Allow non-deterministic functions (includes dictGet) in sharding_key for optimize_skip_unused_shards",\N,\N,0,"Bool","0",""
"23.3.4.17","force_optimize_skip_unused_shards","0",0,"Throw an exception if unused shards cannot be skipped (1 - throw only if the table has the sharding key, 2 - always throw.",\N,\N,0,"UInt64","0",""
"23.3.4.17","optimize_skip_unused_shards_nesting","0",0,"Same as optimize_skip_unused_shards, but accept nesting level until which it will work.",\N,\N,0,"UInt64","0",""
"23.3.4.17","force_optimize_skip_unused_shards_nesting","0",0,"Same as force_optimize_skip_unused_shards, but accept nesting level until which it will work.",\N,\N,0,"UInt64","0",""
"23.3.4.17","input_format_parallel_parsing","1",0,"Enable parallel parsing for some data formats.",\N,\N,0,"Bool","1",""
"23.3.4.17","min_chunk_bytes_for_parallel_parsing","10485760",0,"The minimum chunk size in bytes, which each thread will parse in parallel.",\N,\N,0,"UInt64","10485760",""
"23.3.4.17","output_format_parallel_formatting","1",0,"Enable parallel formatting for some data formats.",\N,\N,0,"Bool","1",""
"23.3.4.17","merge_tree_min_rows_for_concurrent_read","163840",0,"If at least as many lines are read from one file, the reading can be parallelized.",\N,\N,0,"UInt64","163840",""
"23.3.4.17","merge_tree_min_bytes_for_concurrent_read","251658240",0,"If at least as many bytes are read from one file, the reading can be parallelized.",\N,\N,0,"UInt64","251658240",""
"23.3.4.17","merge_tree_min_rows_for_seek","0",0,"You can skip reading more than that number of rows at the price of one seek per file.",\N,\N,0,"UInt64","0",""
"23.3.4.17","merge_tree_min_bytes_for_seek","0",0,"You can skip reading more than that number of bytes at the price of one seek per file.",\N,\N,0,"UInt64","0",""
"23.3.4.17","merge_tree_coarse_index_granularity","8",0,"If the index segment can contain the required keys, divide it into as many parts and recursively check them.",\N,\N,0,"UInt64","8",""
"23.3.4.17","merge_tree_max_rows_to_use_cache","1048576",0,"The maximum number of rows per request, to use the cache of uncompressed data. If the request is large, the cache is not used. (For large queries not to flush out the cache.)",\N,\N,0,"UInt64","1048576",""
"23.3.4.17","merge_tree_max_bytes_to_use_cache","2013265920",0,"The maximum number of bytes per request, to use the cache of uncompressed data. If the request is large, the cache is not used. (For large queries not to flush out the cache.)",\N,\N,0,"UInt64","2013265920",""
"23.3.4.17","do_not_merge_across_partitions_select_final","0",0,"Merge parts only in one partition in select final",\N,\N,0,"Bool","0",""
"23.3.4.17","allow_experimental_inverted_index","0",0,"If it is set to true, allow to use experimental inverted index.",\N,\N,0,"Bool","0",""
"23.3.4.17","mysql_max_rows_to_insert","65536",0,"The maximum number of rows in MySQL batch insertion of the MySQL storage engine",\N,\N,0,"UInt64","65536",""
"23.3.4.17","optimize_min_equality_disjunction_chain_length","3",0,"The minimum length of the expression `expr = x1 OR ... expr = xN` for optimization ",\N,\N,0,"UInt64","3",""
"23.3.4.17","min_bytes_to_use_direct_io","0",0,"The minimum number of bytes for reading the data with O_DIRECT option during SELECT queries execution. 0 - disabled.",\N,\N,0,"UInt64","0",""
"23.3.4.17","min_bytes_to_use_mmap_io","0",0,"The minimum number of bytes for reading the data with mmap option during SELECT queries execution. 0 - disabled.",\N,\N,0,"UInt64","0",""
"23.3.4.17","checksum_on_read","1",0,"Validate checksums on reading. It is enabled by default and should be always enabled in production. Please do not expect any benefits in disabling this setting. It may only be used for experiments and benchmarks. The setting only applicable for tables of MergeTree family. Checksums are always validated for other table engines and when receiving data over network.",\N,\N,0,"Bool","1",""
"23.3.4.17","force_index_by_date","0",0,"Throw an exception if there is a partition key in a table, and it is not used.",\N,\N,0,"Bool","0",""
