"ch_version","name","case_insensitive","alias_to"
"23.3.8.22.altinitystable","JSON",1,""
"23.3.8.22.altinitystable","Polygon",0,""
"23.3.8.22.altinitystable","Ring",0,""
"23.3.8.22.altinitystable","Point",0,""
"23.3.8.22.altinitystable","SimpleAggregateFunction",0,""
"23.3.8.22.altinitystable","IntervalQuarter",0,""
"23.3.8.22.altinitystable","IntervalMonth",0,""
"23.3.8.22.altinitystable","Int64",0,""
"23.3.8.22.altinitystable","IntervalDay",0,""
"23.3.8.22.altinitystable","IntervalHour",0,""
"23.3.8.22.altinitystable","IPv4",0,""
"23.3.8.22.altinitystable","IntervalSecond",0,""
"23.3.8.22.altinitystable","LowCardinality",0,""
"23.3.8.22.altinitystable","Int16",0,""
"23.3.8.22.altinitystable","UInt256",0,""
"23.3.8.22.altinitystable","AggregateFunction",0,""
"23.3.8.22.altinitystable","MultiPolygon",0,""
"23.3.8.22.altinitystable","IPv6",0,""
"23.3.8.22.altinitystable","Nothing",0,""
"23.3.8.22.altinitystable","Decimal256",1,""
"23.3.8.22.altinitystable","Tuple",0,""
"23.3.8.22.altinitystable","Array",0,""
"23.3.8.22.altinitystable","IntervalMicrosecond",0,""
"23.3.8.22.altinitystable","Bool",1,""
"23.3.8.22.altinitystable","Enum16",0,""
"23.3.8.22.altinitystable","IntervalMinute",0,""
"23.3.8.22.altinitystable","FixedString",0,""
"23.3.8.22.altinitystable","String",0,""
"23.3.8.22.altinitystable","DateTime",1,""
"23.3.8.22.altinitystable","Object",0,""
"23.3.8.22.altinitystable","Map",0,""
"23.3.8.22.altinitystable","UUID",0,""
"23.3.8.22.altinitystable","Decimal64",1,""
"23.3.8.22.altinitystable","Nullable",0,""
"23.3.8.22.altinitystable","Enum",1,""
"23.3.8.22.altinitystable","Int32",0,""
"23.3.8.22.altinitystable","UInt8",0,""
"23.3.8.22.altinitystable","Date",1,""
"23.3.8.22.altinitystable","Decimal32",1,""
"23.3.8.22.altinitystable","UInt128",0,""
"23.3.8.22.altinitystable","Float64",0,""
"23.3.8.22.altinitystable","Nested",0,""
"23.3.8.22.altinitystable","UInt16",0,""
"23.3.8.22.altinitystable","IntervalMillisecond",0,""
"23.3.8.22.altinitystable","Int128",0,""
"23.3.8.22.altinitystable","Decimal128",1,""
"23.3.8.22.altinitystable","Int8",0,""
"23.3.8.22.altinitystable","Decimal",1,""
"23.3.8.22.altinitystable","Int256",0,""
"23.3.8.22.altinitystable","DateTime64",1,""
"23.3.8.22.altinitystable","Enum8",0,""
"23.3.8.22.altinitystable","DateTime32",1,""
"23.3.8.22.altinitystable","Date32",1,""
"23.3.8.22.altinitystable","IntervalWeek",0,""
"23.3.8.22.altinitystable","UInt64",0,""
"23.3.8.22.altinitystable","IntervalNanosecond",0,""
"23.3.8.22.altinitystable","IntervalYear",0,""
"23.3.8.22.altinitystable","UInt32",0,""
"23.3.8.22.altinitystable","Float32",0,""
"23.3.8.22.altinitystable","bool",1,"Bool"
"23.3.8.22.altinitystable","INET6",1,"IPv6"
"23.3.8.22.altinitystable","INET4",1,"IPv4"
"23.3.8.22.altinitystable","ENUM",1,"Enum"
"23.3.8.22.altinitystable","BINARY",1,"FixedString"
"23.3.8.22.altinitystable","GEOMETRY",1,"String"
"23.3.8.22.altinitystable","NATIONAL CHAR VARYING",1,"String"
"23.3.8.22.altinitystable","BINARY VARYING",1,"String"
"23.3.8.22.altinitystable","NCHAR LARGE OBJECT",1,"String"
"23.3.8.22.altinitystable","NATIONAL CHARACTER VARYING",1,"String"
"23.3.8.22.altinitystable","boolean",1,"Bool"
"23.3.8.22.altinitystable","NATIONAL CHARACTER LARGE OBJECT",1,"String"
"23.3.8.22.altinitystable","NATIONAL CHARACTER",1,"String"
"23.3.8.22.altinitystable","NATIONAL CHAR",1,"String"
"23.3.8.22.altinitystable","CHARACTER VARYING",1,"String"
"23.3.8.22.altinitystable","LONGBLOB",1,"String"
"23.3.8.22.altinitystable","TINYBLOB",1,"String"
"23.3.8.22.altinitystable","MEDIUMTEXT",1,"String"
"23.3.8.22.altinitystable","TEXT",1,"String"
"23.3.8.22.altinitystable","VARCHAR2",1,"String"
"23.3.8.22.altinitystable","CHARACTER LARGE OBJECT",1,"String"
"23.3.8.22.altinitystable","DOUBLE PRECISION",1,"Float64"
"23.3.8.22.altinitystable","LONGTEXT",1,"String"
"23.3.8.22.altinitystable","NVARCHAR",1,"String"
"23.3.8.22.altinitystable","INT1 UNSIGNED",1,"UInt8"
"23.3.8.22.altinitystable","VARCHAR",1,"String"
"23.3.8.22.altinitystable","CHAR VARYING",1,"String"
"23.3.8.22.altinitystable","MEDIUMBLOB",1,"String"
"23.3.8.22.altinitystable","NCHAR",1,"String"
"23.3.8.22.altinitystable","VARBINARY",1,"String"
"23.3.8.22.altinitystable","CHAR",1,"String"
"23.3.8.22.altinitystable","SMALLINT UNSIGNED",1,"UInt16"
"23.3.8.22.altinitystable","TIMESTAMP",1,"DateTime"
"23.3.8.22.altinitystable","FIXED",1,"Decimal"
"23.3.8.22.altinitystable","TINYTEXT",1,"String"
"23.3.8.22.altinitystable","NUMERIC",1,"Decimal"
"23.3.8.22.altinitystable","DEC",1,"Decimal"
"23.3.8.22.altinitystable","TIME",1,"Int64"
"23.3.8.22.altinitystable","FLOAT",1,"Float32"
"23.3.8.22.altinitystable","SET",1,"UInt64"
"23.3.8.22.altinitystable","TINYINT UNSIGNED",1,"UInt8"
"23.3.8.22.altinitystable","INTEGER UNSIGNED",1,"UInt32"
"23.3.8.22.altinitystable","INT UNSIGNED",1,"UInt32"
"23.3.8.22.altinitystable","CLOB",1,"String"
"23.3.8.22.altinitystable","MEDIUMINT UNSIGNED",1,"UInt32"
"23.3.8.22.altinitystable","BLOB",1,"String"
"23.3.8.22.altinitystable","REAL",1,"Float32"
"23.3.8.22.altinitystable","SMALLINT",1,"Int16"
"23.3.8.22.altinitystable","INTEGER SIGNED",1,"Int32"
"23.3.8.22.altinitystable","NCHAR VARYING",1,"String"
"23.3.8.22.altinitystable","INT SIGNED",1,"Int32"
"23.3.8.22.altinitystable","TINYINT SIGNED",1,"Int8"
"23.3.8.22.altinitystable","BIGINT SIGNED",1,"Int64"
"23.3.8.22.altinitystable","BINARY LARGE OBJECT",1,"String"
"23.3.8.22.altinitystable","SMALLINT SIGNED",1,"Int16"
"23.3.8.22.altinitystable","YEAR",1,"UInt16"
"23.3.8.22.altinitystable","MEDIUMINT",1,"Int32"
"23.3.8.22.altinitystable","INTEGER",1,"Int32"
"23.3.8.22.altinitystable","INT1 SIGNED",1,"Int8"
"23.3.8.22.altinitystable","BIT",1,"UInt64"
"23.3.8.22.altinitystable","BIGINT UNSIGNED",1,"UInt64"
"23.3.8.22.altinitystable","BYTEA",1,"String"
"23.3.8.22.altinitystable","INT",1,"Int32"
"23.3.8.22.altinitystable","SINGLE",1,"Float32"
"23.3.8.22.altinitystable","MEDIUMINT SIGNED",1,"Int32"
"23.3.8.22.altinitystable","DOUBLE",1,"Float64"
"23.3.8.22.altinitystable","INT1",1,"Int8"
"23.3.8.22.altinitystable","CHAR LARGE OBJECT",1,"String"
"23.3.8.22.altinitystable","TINYINT",1,"Int8"
"23.3.8.22.altinitystable","BIGINT",1,"Int64"
"23.3.8.22.altinitystable","CHARACTER",1,"String"
"23.3.8.22.altinitystable","BYTE",1,"Int8"
