"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting"
"23.8.16.43.altinitystable","ParquetMetadata",1,0,0,0
"23.8.16.43.altinitystable","Prometheus",0,1,0,0
"23.8.16.43.altinitystable","CapnProto",1,1,0,0
"23.8.16.43.altinitystable","PostgreSQLWire",0,1,0,0
"23.8.16.43.altinitystable","MySQLWire",0,1,0,0
"23.8.16.43.altinitystable","JSONEachRowWithProgress",0,1,0,0
"23.8.16.43.altinitystable","ODBCDriver2",0,1,0,0
"23.8.16.43.altinitystable","PrettySpaceNoEscapes",0,1,0,1
"23.8.16.43.altinitystable","PrettySpace",0,1,0,1
"23.8.16.43.altinitystable","One",1,0,0,0
"23.8.16.43.altinitystable","PrettyCompactMonoBlock",0,1,0,0
"23.8.16.43.altinitystable","PrettyCompactNoEscapes",0,1,0,1
"23.8.16.43.altinitystable","JSONStringsEachRowWithProgress",0,1,0,0
"23.8.16.43.altinitystable","PrettyNoEscapesMonoBlock",0,1,0,0
"23.8.16.43.altinitystable","PrettyMonoBlock",0,1,0,0
"23.8.16.43.altinitystable","ArrowStream",1,1,0,0
"23.8.16.43.altinitystable","Avro",1,1,0,0
"23.8.16.43.altinitystable","AvroConfluent",1,0,0,0
"23.8.16.43.altinitystable","ORC",1,1,0,0
"23.8.16.43.altinitystable","CustomSeparatedIgnoreSpacesWithNames",1,0,0,0
"23.8.16.43.altinitystable","CustomSeparatedIgnoreSpaces",1,0,0,0
"23.8.16.43.altinitystable","CustomSeparatedWithNames",1,1,0,1
"23.8.16.43.altinitystable","RawBLOB",1,1,0,0
"23.8.16.43.altinitystable","TemplateIgnoreSpaces",1,0,0,0
"23.8.16.43.altinitystable","MsgPack",1,1,0,1
"23.8.16.43.altinitystable","Template",1,1,0,0
"23.8.16.43.altinitystable","Protobuf",1,1,0,0
"23.8.16.43.altinitystable","Markdown",0,1,0,1
"23.8.16.43.altinitystable","XML",0,1,0,1
"23.8.16.43.altinitystable","ProtobufSingle",1,1,0,0
"23.8.16.43.altinitystable","JSONColumnsWithMetadata",1,1,0,0
"23.8.16.43.altinitystable","JSONCompactColumns",1,1,0,0
"23.8.16.43.altinitystable","JSONColumns",1,1,0,0
"23.8.16.43.altinitystable","JSONObjectEachRow",1,1,0,1
"23.8.16.43.altinitystable","PrettyCompactNoEscapesMonoBlock",0,1,0,0
"23.8.16.43.altinitystable","PrettyNoEscapes",0,1,0,1
"23.8.16.43.altinitystable","JSONCompactStrings",0,1,0,1
"23.8.16.43.altinitystable","JSONCompact",1,1,0,1
"23.8.16.43.altinitystable","Null",0,1,0,0
"23.8.16.43.altinitystable","JSONStrings",0,1,0,1
"23.8.16.43.altinitystable","LineAsStringWithNamesAndTypes",0,1,0,1
"23.8.16.43.altinitystable","RowBinaryWithNamesAndTypes",1,1,0,1
"23.8.16.43.altinitystable","RowBinary",1,1,0,1
"23.8.16.43.altinitystable","LineAsString",1,1,1,1
"23.8.16.43.altinitystable","Native",1,1,0,0
"23.8.16.43.altinitystable","LineAsStringWithNames",0,1,0,1
"23.8.16.43.altinitystable","BSONEachRow",1,1,1,1
"23.8.16.43.altinitystable","JSONCompactStringsEachRowWithNamesAndTypes",1,1,1,1
"23.8.16.43.altinitystable","PrettySpaceMonoBlock",0,1,0,0
"23.8.16.43.altinitystable","PrettyCompact",0,1,0,1
"23.8.16.43.altinitystable","RowBinaryWithNames",1,1,0,1
"23.8.16.43.altinitystable","Arrow",1,1,0,0
"23.8.16.43.altinitystable","Parquet",1,1,1,0
"23.8.16.43.altinitystable","TabSeparatedWithNames",1,1,1,1
"23.8.16.43.altinitystable","JSONCompactStringsEachRowWithNames",1,1,1,1
"23.8.16.43.altinitystable","PrettyJSONLines",0,1,0,1
"23.8.16.43.altinitystable","HiveText",1,0,1,0
"23.8.16.43.altinitystable","PrettySpaceNoEscapesMonoBlock",0,1,0,0
"23.8.16.43.altinitystable","TabSeparatedRawWithNames",1,1,1,1
"23.8.16.43.altinitystable","JSONCompactStringsEachRow",1,1,1,1
"23.8.16.43.altinitystable","CustomSeparated",1,1,0,1
"23.8.16.43.altinitystable","JSONCompactEachRow",1,1,1,1
"23.8.16.43.altinitystable","TSVRawWithNamesAndTypes",1,1,1,1
"23.8.16.43.altinitystable","JSONAsString",1,0,1,0
"23.8.16.43.altinitystable","NDJSON",1,1,1,1
"23.8.16.43.altinitystable","JSONAsObject",1,0,1,0
"23.8.16.43.altinitystable","SQLInsert",0,1,0,0
"23.8.16.43.altinitystable","PrettyJSONEachRow",0,1,0,1
"23.8.16.43.altinitystable","RowBinaryWithDefaults",1,0,0,0
"23.8.16.43.altinitystable","JSONLines",1,1,1,1
"23.8.16.43.altinitystable","CustomSeparatedWithNamesAndTypes",1,1,0,1
"23.8.16.43.altinitystable","PrettyNDJSON",0,1,0,1
"23.8.16.43.altinitystable","ProtobufList",1,1,0,0
"23.8.16.43.altinitystable","JSON",1,1,0,1
"23.8.16.43.altinitystable","MySQLDump",1,0,0,0
"23.8.16.43.altinitystable","TSVWithNamesAndTypes",1,1,1,1
"23.8.16.43.altinitystable","CSVWithNamesAndTypes",1,1,1,1
"23.8.16.43.altinitystable","CSVWithNames",1,1,1,1
"23.8.16.43.altinitystable","Regexp",1,0,1,0
"23.8.16.43.altinitystable","TSV",1,1,1,1
"23.8.16.43.altinitystable","Vertical",0,1,0,1
"23.8.16.43.altinitystable","CSV",1,1,1,1
"23.8.16.43.altinitystable","Pretty",0,1,0,1
"23.8.16.43.altinitystable","JSONCompactEachRowWithNames",1,1,1,1
"23.8.16.43.altinitystable","TabSeparatedRawWithNamesAndTypes",1,1,1,1
"23.8.16.43.altinitystable","TSKV",1,1,1,1
"23.8.16.43.altinitystable","TSVRaw",1,1,1,1
"23.8.16.43.altinitystable","Values",1,1,0,1
"23.8.16.43.altinitystable","JSONStringsEachRow",1,1,1,1
"23.8.16.43.altinitystable","TabSeparated",1,1,1,1
"23.8.16.43.altinitystable","TabSeparatedWithNamesAndTypes",1,1,1,1
"23.8.16.43.altinitystable","TSVRawWithNames",1,1,1,1
"23.8.16.43.altinitystable","JSONCompactEachRowWithNamesAndTypes",1,1,1,1
"23.8.16.43.altinitystable","CustomSeparatedIgnoreSpacesWithNamesAndTypes",1,0,0,0
"23.8.16.43.altinitystable","TabSeparatedRaw",1,1,1,1
"23.8.16.43.altinitystable","TSVWithNames",1,1,1,1
"23.8.16.43.altinitystable","JSONEachRow",1,1,1,1
