"ch_version","name","value","changed","description","min","max","readonly","type","is_obsolete"
"24.3.12.76.altinitystable","min_compress_block_size","0",0,"When granule is written, compress the data in buffer if the size of pending uncompressed data is larger or equal than the specified threshold. If this setting is not set, the corresponding global setting is used.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","max_compress_block_size","0",0,"Compress the pending uncompressed data in buffer if its size is larger or equal than the specified threshold. Block of data will be compressed even if the current granule is not finished. If this setting is not set, the corresponding global setting is used.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","index_granularity","8192",0,"How many rows correspond to one primary key value.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","max_digestion_size_per_segment","268435456",0,"Max number of bytes to digest per segment to build GIN index.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_bytes_for_wide_part","10485760",0,"Minimal uncompressed size in bytes to create part in wide format instead of compact",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_rows_for_wide_part","0",0,"Minimal number of rows to create part in wide format instead of compact",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","ratio_of_defaults_for_sparse_serialization","0.9375",0,"Minimal ratio of number of default values to number of all values in column to store it in sparse serializations. If >= 1, columns will be always written in full serialization.",\N,\N,0,"Float",0
"24.3.12.76.altinitystable","replace_long_file_name_to_hash","0",0,"If the file name for column is too long (more than 'max_file_name_length' bytes) replace it to SipHash128",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","max_file_name_length","127",0,"The maximal length of the file name to keep it as is without hashing",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_bytes_for_full_part_storage","0",0,"Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_rows_for_full_part_storage","0",0,"Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","compact_parts_max_bytes_to_buffer","134217728",0,"Only available in ClickHouse Cloud",\N,\N,0,"UInt64",0
