"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting"
"24.3.5.48.altinityfips","Template",1,1,0,0
"24.3.5.48.altinityfips","MySQLDump",1,0,0,0
"24.3.5.48.altinityfips","SQLInsert",0,1,0,0
"24.3.5.48.altinityfips","JSONCompactStrings",0,1,0,1
"24.3.5.48.altinityfips","JSONStringsEachRowWithProgress",0,1,0,0
"24.3.5.48.altinityfips","TSV",1,1,1,1
"24.3.5.48.altinityfips","PrettyCompactMonoBlock",0,1,0,0
"24.3.5.48.altinityfips","JSONEachRowWithProgress",0,1,0,0
"24.3.5.48.altinityfips","PrettySpaceNoEscapesMonoBlock",0,1,0,0
"24.3.5.48.altinityfips","MsgPack",1,1,0,1
"24.3.5.48.altinityfips","ODBCDriver2",0,1,0,0
"24.3.5.48.altinityfips","PrettyCompactNoEscapesMonoBlock",0,1,0,0
"24.3.5.48.altinityfips","PrettySpaceMonoBlock",0,1,0,0
"24.3.5.48.altinityfips","RawBLOB",1,1,0,0
"24.3.5.48.altinityfips","Markdown",0,1,0,1
"24.3.5.48.altinityfips","PrettySpaceNoEscapes",0,1,0,1
"24.3.5.48.altinityfips","PrettyCompactNoEscapes",0,1,0,1
"24.3.5.48.altinityfips","JSONStringsEachRow",1,1,1,1
"24.3.5.48.altinityfips","PrettyCompact",0,1,0,1
"24.3.5.48.altinityfips","PrettyNoEscapesMonoBlock",0,1,0,0
"24.3.5.48.altinityfips","PrettyNoEscapes",0,1,0,1
"24.3.5.48.altinityfips","Pretty",0,1,0,1
"24.3.5.48.altinityfips","AvroConfluent",1,0,0,0
"24.3.5.48.altinityfips","Vertical",0,1,0,1
"24.3.5.48.altinityfips","Avro",1,1,0,0
"24.3.5.48.altinityfips","LineAsString",1,1,1,1
"24.3.5.48.altinityfips","RowBinaryWithNames",1,1,0,1
"24.3.5.48.altinityfips","Parquet",1,1,1,0
"24.3.5.48.altinityfips","CustomSeparatedIgnoreSpacesWithNamesAndTypes",1,0,0,0
"24.3.5.48.altinityfips","CustomSeparatedIgnoreSpacesWithNames",1,0,0,0
"24.3.5.48.altinityfips","CustomSeparatedWithNamesAndTypes",1,1,0,1
"24.3.5.48.altinityfips","PrettySpace",0,1,0,1
"24.3.5.48.altinityfips","JSONAsString",1,0,1,0
"24.3.5.48.altinityfips","CustomSeparatedWithNames",1,1,0,1
"24.3.5.48.altinityfips","CustomSeparated",1,1,0,1
"24.3.5.48.altinityfips","PrettyMonoBlock",0,1,0,0
"24.3.5.48.altinityfips","TSVRaw",1,1,1,1
"24.3.5.48.altinityfips","XML",0,1,0,1
"24.3.5.48.altinityfips","NDJSON",1,1,1,1
