"ch_version","name","value","changed","description","min","max","readonly","type","default","alias_for","is_obsolete"
"24.3.6.31","dialect","clickhouse",0,"Which dialect will be used to parse query",\N,\N,0,"Dialect","clickhouse","",0
"24.3.6.31","min_compress_block_size","65536",0,"The actual size of the block to compress, if the uncompressed data less than max_compress_block_size is no less than this value and no less than the volume of data for one mark.",\N,\N,0,"UInt64","65536","",0
"24.3.6.31","max_compress_block_size","1048576",0,"The maximum size of blocks of uncompressed data before compressing for writing to a table.",\N,\N,0,"UInt64","1048576","",0
"24.3.6.31","max_block_size","65409",0,"Maximum block size for reading",\N,\N,0,"UInt64","65409","",0
"24.3.6.31","max_insert_block_size","1048449",0,"The maximum block size for insertion, if we control the creation of blocks for insertion.",\N,\N,0,"UInt64","1048449","",0
"24.3.6.31","min_insert_block_size_rows","1048449",0,"Squash blocks passed to INSERT query to specified size in rows, if blocks are not big enough.",\N,\N,0,"UInt64","1048449","",0
"24.3.6.31","min_insert_block_size_bytes","268402944",0,"Squash blocks passed to INSERT query to specified size in bytes, if blocks are not big enough.",\N,\N,0,"UInt64","268402944","",0
"24.3.6.31","min_insert_block_size_rows_for_materialized_views","0",0,"Like min_insert_block_size_rows, but applied only during pushing to MATERIALIZED VIEW (default: min_insert_block_size_rows)",\N,\N,0,"UInt64","0","",0
"24.3.6.31","min_insert_block_size_bytes_for_materialized_views","0",0,"Like min_insert_block_size_bytes, but applied only during pushing to MATERIALIZED VIEW (default: min_insert_block_size_bytes)",\N,\N,0,"UInt64","0","",0
"24.3.6.31","min_external_table_block_size_rows","1048449",0,"Squash blocks passed to external table to specified size in rows, if blocks are not big enough.",\N,\N,0,"UInt64","1048449","",0
"24.3.6.31","min_external_table_block_size_bytes","268402944",0,"Squash blocks passed to external table to specified size in bytes, if blocks are not big enough.",\N,\N,0,"UInt64","268402944","",0
"24.3.6.31","max_joined_block_size_rows","65409",0,"Maximum block size for JOIN result (if join algorithm supports it). 0 means unlimited.",\N,\N,0,"UInt64","65409","",0
"24.3.6.31","max_insert_threads","0",0,"The maximum number of threads to execute the INSERT SELECT query. Values 0 or 1 means that INSERT SELECT is not run in parallel. Higher values will lead to higher memory usage. Parallel INSERT SELECT has effect only if the SELECT part is run on parallel, see 'max_threads' setting.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","max_insert_delayed_streams_for_parallel_write","0",0,"The maximum number of streams (columns) to delay final part flush. Default - auto (1000 in case of underlying storage supports parallel write, for example S3 and disabled otherwise)",\N,\N,0,"UInt64","0","",0
"24.3.6.31","max_final_threads","'auto(12)'",0,"The maximum number of threads to read from table with FINAL.",\N,\N,0,"MaxThreads","'auto(12)'","",0
"24.3.6.31","max_threads_for_indexes","0",0,"The maximum number of threads process indices.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","max_threads","'auto(12)'",0,"The maximum number of threads to execute the request. By default, it is determined automatically.",\N,\N,0,"MaxThreads","'auto(12)'","",0
"24.3.6.31","use_concurrency_control","1",0,"Respect the server's concurrency control (see the `concurrent_threads_soft_limit_num` and `concurrent_threads_soft_limit_ratio_to_cores` global server settings). If disabled, it allows using a larger number of threads even if the server is overloaded (not recommended for normal usage, and needed mostly for tests).",\N,\N,0,"Bool","1","",0
"24.3.6.31","max_download_threads","4",0,"The maximum number of threads to download data (e.g. for URL engine).",\N,\N,0,"MaxThreads","4","",0
"24.3.6.31","max_download_buffer_size","10485760",0,"The maximal size of buffer for parallel downloading (e.g. for URL engine) per each thread.",\N,\N,0,"UInt64","10485760","",0
"24.3.6.31","max_read_buffer_size","1048576",0,"The maximum size of the buffer to read from the filesystem.",\N,\N,0,"UInt64","1048576","",0
"24.3.6.31","max_read_buffer_size_local_fs","131072",0,"The maximum size of the buffer to read from local filesystem. If set to 0 then max_read_buffer_size will be used.",\N,\N,0,"UInt64","131072","",0
"24.3.6.31","max_read_buffer_size_remote_fs","0",0,"The maximum size of the buffer to read from remote filesystem. If set to 0 then max_read_buffer_size will be used.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","max_distributed_connections","1024",0,"The maximum number of connections for distributed processing of one query (should be greater than max_threads).",\N,\N,0,"UInt64","1024","",0
"24.3.6.31","max_query_size","262144",0,"The maximum number of bytes of a query string parsed by the SQL parser. Data in the VALUES clause of INSERT queries is processed by a separate stream parser (that consumes O(1) RAM) and not affected by this restriction.",\N,\N,0,"UInt64","262144","",0
"24.3.6.31","interactive_delay","100000",0,"The interval in microseconds to check if the request is cancelled, and to send progress info.",\N,\N,0,"UInt64","100000","",0
"24.3.6.31","connect_timeout","10",0,"Connection timeout if there are no replicas.",\N,\N,0,"Seconds","10","",0
"24.3.6.31","handshake_timeout_ms","10000",0,"Timeout for receiving HELLO packet from replicas.",\N,\N,0,"Milliseconds","10000","",0
"24.3.6.31","connect_timeout_with_failover_ms","1000",0,"Connection timeout for selecting first healthy replica.",\N,\N,0,"Milliseconds","1000","",0
"24.3.6.31","connect_timeout_with_failover_secure_ms","1000",0,"Connection timeout for selecting first healthy replica (for secure connections).",\N,\N,0,"Milliseconds","1000","",0
"24.3.6.31","receive_timeout","300",0,"Timeout for receiving data from network, in seconds. If no bytes were received in this interval, exception is thrown. If you set this setting on client, the 'send_timeout' for the socket will be also set on the corresponding connection end on the server.",\N,\N,0,"Seconds","300","",0
"24.3.6.31","send_timeout","300",0,"Timeout for sending data to network, in seconds. If client needs to sent some data, but it did not able to send any bytes in this interval, exception is thrown. If you set this setting on client, the 'receive_timeout' for the socket will be also set on the corresponding connection end on the server.",\N,\N,0,"Seconds","300","",0
"24.3.6.31","tcp_keep_alive_timeout","290",0,"The time in seconds the connection needs to remain idle before TCP starts sending keepalive probes",\N,\N,0,"Seconds","290","",0
"24.3.6.31","hedged_connection_timeout_ms","50",0,"Connection timeout for establishing connection with replica for Hedged requests",\N,\N,0,"Milliseconds","50","",0
"24.3.6.31","receive_data_timeout_ms","2000",0,"Connection timeout for receiving first packet of data or packet with positive progress from replica",\N,\N,0,"Milliseconds","2000","",0
"24.3.6.31","use_hedged_requests","1",0,"Use hedged requests for distributed queries",\N,\N,0,"Bool","1","",0
"24.3.6.31","allow_changing_replica_until_first_data_packet","0",0,"Allow HedgedConnections to change replica until receiving first data packet",\N,\N,0,"Bool","0","",0
"24.3.6.31","queue_max_wait_ms","0",0,"The wait time in the request queue, if the number of concurrent requests exceeds the maximum.",\N,\N,0,"Milliseconds","0","",0
"24.3.6.31","connection_pool_max_wait_ms","0",0,"The wait time when the connection pool is full.",\N,\N,0,"Milliseconds","0","",0
"24.3.6.31","replace_running_query_max_wait_ms","5000",0,"The wait time for running query with the same query_id to finish when setting 'replace_running_query' is active.",\N,\N,0,"Milliseconds","5000","",0
"24.3.6.31","kafka_max_wait_ms","5000",0,"The wait time for reading from Kafka before retry.",\N,\N,0,"Milliseconds","5000","",0
"24.3.6.31","rabbitmq_max_wait_ms","5000",0,"The wait time for reading from RabbitMQ before retry.",\N,\N,0,"Milliseconds","5000","",0
"24.3.6.31","poll_interval","10",0,"Block at the query wait loop on the server for the specified number of seconds.",\N,\N,0,"UInt64","10","",0
"24.3.6.31","idle_connection_timeout","3600",0,"Close idle TCP connections after specified number of seconds.",\N,\N,0,"UInt64","3600","",0
"24.3.6.31","distributed_connections_pool_size","1024",0,"Maximum number of connections with one remote server in the pool.",\N,\N,0,"UInt64","1024","",0
"24.3.6.31","connections_with_failover_max_tries","3",0,"The maximum number of attempts to connect to replicas.",\N,\N,0,"UInt64","3","",0
"24.3.6.31","s3_strict_upload_part_size","0",0,"The exact size of part to upload during multipart upload to S3 (some implementations does not supports variable size parts).",\N,\N,0,"UInt64","0","",0
"24.3.6.31","azure_strict_upload_part_size","0",0,"The exact size of part to upload during multipart upload to Azure blob storage.",\N,\N,0,"UInt64","0","",0
"24.3.6.31","s3_min_upload_part_size","16777216",0,"The minimum size of part to upload during multipart upload to S3.",\N,\N,0,"UInt64","16777216","",0
"24.3.6.31","s3_max_upload_part_size","5368709120",0,"The maximum size of part to upload during multipart upload to S3.",\N,\N,0,"UInt64","5368709120","",0
"24.3.6.31","azure_min_upload_part_size","16777216",0,"The minimum size of part to upload during multipart upload to Azure blob storage.",\N,\N,0,"UInt64","16777216","",0
