"ch_version","name","is_aggregate","case_insensitive","alias_to","create_query","origin","description","syntax","arguments","returned_value","examples","categories"
"24.8.10.5","formatQuerySingleLineOrNull",0,0,"","","System","Like formatQuery() but the returned formatted string contains no line breaks. Returns NULL in case of a parsing error.
[example:multiline]","formatQuerySingleLineOrNull(query)","- query:The SQL query to be formatted. [String](../../sql-reference/data-types/string.md)
","The formatted query. [String](../../sql-reference/data-types/string.md).","multiline:

``` sql
SELECT formatQuerySingleLine('select a,    b FRom tab WHERE a > 3 and  b < 3');
```

``` text
SELECT a, b FROM tab WHERE (a > 3) AND (b < 3)
```
","Other"
"24.8.10.5","toUTCTimestamp",0,0,"","","System","","","","","",""
"24.8.10.5","intHash64",0,0,"","","System","","","","","",""
"24.8.10.5","intHash32",0,0,"","","System","","","","","",""
"24.8.10.5","bitHammingDistance",0,0,"","","System","","","","","",""
"24.8.10.5","polygonsDistanceSpherical",0,0,"","","System","","","","","",""
"24.8.10.5","polygonsDistanceCartesian",0,0,"","","System","","","","","",""
"24.8.10.5","fuzzBits",0,0,"","","System","","","","","",""
"24.8.10.5","toIntervalHour",0,0,"","","System","","","","","",""
"24.8.10.5","toIntervalMinute",0,0,"","","System","","","","","",""
"24.8.10.5","toIntervalMillisecond",0,0,"","","System","","","","","",""
"24.8.10.5","parseDateTime64BestEffortUSOrZero",0,0,"","","System","","","","","",""
"24.8.10.5","parseDateTime64BestEffortOrZero",0,0,"","","System","","","","","",""
"24.8.10.5","parseDateTime64BestEffort",0,0,"","","System","","","","","",""
"24.8.10.5","parseDateTime32BestEffort",0,0,"","","System","","","","","",""
"24.8.10.5","parseDateTimeBestEffortOrNull",0,0,"","","System","","","","","",""
"24.8.10.5","parseDateTimeBestEffortOrZero",0,0,"","","System","","","","","",""
"24.8.10.5","toIPv6OrNull",0,0,"","","System","","","","","",""
"24.8.10.5","toUUIDOrNull",0,0,"","","System","","","","","",""
"24.8.10.5","parseDateTimeBestEffort",0,0,"","","System","","","","","",""
"24.8.10.5","toDecimal128OrNull",0,0,"","","System","","","","","",""
"24.8.10.5","toDecimal64OrNull",0,0,"","","System","","","","","",""
"24.8.10.5","toDecimal32OrNull",0,0,"","","System","","","","","",""
"24.8.10.5","toDateTimeOrNull",0,0,"","","System","","","","","",""
"24.8.10.5","toDate32OrNull",0,0,"","","System","","","","","",""
"24.8.10.5","toDateOrNull",0,0,"","","System","","","","","",""
"24.8.10.5","toFloat64OrNull",0,0,"","","System","","","","","",""
"24.8.10.5","toInt128OrNull",0,0,"","","System","","","","","",""
"24.8.10.5","UUIDv7ToDateTime",0,0,"","","System","
This function extracts the timestamp from a UUID and returns it as a DateTime64(3) typed value.
The function expects the UUID having version 7 to be provided as the first argument.
An optional second argument can be passed to specify a timezone for the timestamp.
","","","","uuid:

``` sql
select UUIDv7ToDateTime(generateUUIDv7())
```

``` text

```
uuid:

``` sql
select generateUUIDv7() as uuid, UUIDv7ToDateTime(uuid), UUIDv7ToDateTime(uuid, 'America/New_York')
```

``` text

```
","UUID"
"24.8.10.5","toInt64OrNull",0,0,"","","System","","","","","",""
"24.8.10.5","toUInt128OrNull",0,0,"","","System","","","","","",""
"24.8.10.5","toUInt64OrNull",0,0,"","","System","","","","","",""
"24.8.10.5","toUInt8OrNull",0,0,"","","System","","","","","",""
"24.8.10.5","toIPv6OrZero",0,0,"","","System","","","","","",""
"24.8.10.5","toDecimal256OrZero",0,0,"","","System","","","","","",""
"24.8.10.5","toDecimal64OrZero",0,0,"","","System","","","","","",""
"24.8.10.5","toDecimal32OrZero",0,0,"","","System","","","","","",""
"24.8.10.5","toDate32OrZero",0,0,"","","System","","","","","",""
"24.8.10.5","toDateOrZero",0,0,"","","System","","","","","",""
"24.8.10.5","toFloat64OrZero",0,0,"","","System","","","","","",""
"24.8.10.5","toFloat32OrZero",0,0,"","","System","","","","","",""
"24.8.10.5","toInt128OrZero",0,0,"","","System","","","","","",""
"24.8.10.5","toInt64OrZero",0,0,"","","System","","","","","",""
"24.8.10.5","toInt16OrZero",0,0,"","","System","","","","","",""
"24.8.10.5","toUInt128OrZero",0,0,"","","System","","","","","",""
"24.8.10.5","toUInt32OrZero",0,0,"","","System","","","","","",""
"24.8.10.5","toString",0,0,"","","System","","","","","",""
"24.8.10.5","toDateTime",0,0,"","","System","","","","","",""
"24.8.10.5","toDecimal128",0,0,"","","System","","","","","",""
"24.8.10.5","toDecimal64",0,0,"","","System","","","","","",""
"24.8.10.5","toFloat64",0,0,"","","System","","","","","",""
"24.8.10.5","toFloat32",0,0,"","","System","","","","","",""
"24.8.10.5","toInt128",0,0,"","","System","","","","","",""
"24.8.10.5","toInt32",0,0,"","","System","","","","","",""
"24.8.10.5","toInt8",0,0,"","","System","","","","","",""
"24.8.10.5","toUInt256",0,0,"","","System","","","","","",""
"24.8.10.5","toUInt64",0,0,"","","System","","","","","",""
"24.8.10.5","toDecimal32",0,0,"","","System","","","","","",""
"24.8.10.5","toUInt32",0,0,"","","System","","","","","",""
"24.8.10.5","blockSize",0,0,"","","System","","","","","",""
"24.8.10.5","toUInt16",0,0,"","","System","","","","","",""
"24.8.10.5","isNotNull",0,0,"","","System","","","","","",""
"24.8.10.5","UUIDStringToNum",0,0,"","","System","","","","","",""
"24.8.10.5","roundDown",0,0,"","","System","","","","","",""
"24.8.10.5","trunc",0,1,"","","System","","","","","",""
"24.8.10.5","roundBankers",0,0,"","","System","","","","","",""
"24.8.10.5","round",0,1,"","","System","","","","","",""
"24.8.10.5","regionToName",0,0,"","","System","","","","","",""
"24.8.10.5","regionToArea",0,0,"","","System","","","","","",""
"24.8.10.5","regionToCity",0,0,"","","System","","","","","",""
"24.8.10.5","cutQueryString",0,0,"","","System","","","","","",""
"24.8.10.5","halfMD5",0,0,"","","System","
[Interprets](../..//sql-reference/functions/type-conversion-functions.md/#type_conversion_functions-reinterpretAsString) all the input
parameters as strings and calculates the MD5 hash value for each of them. Then combines hashes, takes the first 8 bytes of the hash of the
resulting string, and interprets them as [UInt64](../../../sql-reference/data-types/int-uint.md) in big-endian byte order. The function is
relatively slow (5 million short strings per second per processor core).

Consider using the [sipHash64](../../sql-reference/functions/hash-functions.md/#hash_functions-siphash64) function instead.
                       ","SELECT halfMD5(par1,par2,...,parN);","- par1,par2,...,parN:
The function takes a variable number of input parameters. Arguments can be any of the supported data types. For some data types calculated
value of hash function may be the same for the same values even if types of arguments differ (integers of different size, named and unnamed
Tuple with the same data, Map and the corresponding Array(Tuple(key, value)) type with the same data).
                       
","The computed half MD5 hash of the given input params returned as a [UInt64](../../../sql-reference/data-types/int-uint.md) in big-endian byte order.",":

``` sql
SELECT HEX(halfMD5('abc', 'cde', 'fgh'));
```

``` text

┌─hex(halfMD5('abc', 'cde', 'fgh'))─┐
│ 2C9506B7374CFAF4                  │
└───────────────────────────────────┘
            
```
",""
"24.8.10.5","wyHash64",0,0,"","","System","","","","","",""
"24.8.10.5","javaHashUTF16LE",0,0,"","","System","","","","","",""
"24.8.10.5","javaHash",0,0,"","","System","","","","","",""
"24.8.10.5","URLHash",0,0,"","","System","","","","","",""
"24.8.10.5","metroHash64",0,0,"","","System","","","","","",""
"24.8.10.5","farmFingerprint64",0,0,"","","System","","","","","",""
"24.8.10.5","intDiv",0,0,"","","System","","","","","",""
"24.8.10.5","regionToTopContinent",0,0,"","","System","","","","","",""
"24.8.10.5","cityHash64",0,0,"","","System","","","","","",""
"24.8.10.5","sipHash128",0,0,"","","System","","","","","",""
"24.8.10.5","mapExtractKeyLike",0,0,"","","System","Returns a map with elements which key matches the specified pattern.","","","","mapExtractKeyLike:

``` sql
SELECT mapExtractKeyLike(map('k1-1', 1, 'k2-1', 2), 'k1%')
```

``` text

```
","Map"
