"ch_version","name","value","changed","description","min","max","readonly","type","is_obsolete","tier"
"25.1.4.53","min_compress_block_size","0",0,"When granule is written, compress the data in buffer if the size of pending uncompressed data is larger or equal than the specified threshold. If this setting is not set, the corresponding global setting is used.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_compress_block_size","0",0,"Compress the pending uncompressed data in buffer if its size is larger or equal than the specified threshold. Block of data will be compressed even if the current granule is not finished. If this setting is not set, the corresponding global setting is used.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","index_granularity","8192",0,"How many rows correspond to one primary key value.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_digestion_size_per_segment","268435456",0,"Max number of bytes to digest per segment to build GIN index.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_bytes_for_wide_part","10485760",0,"Minimal uncompressed size in bytes to create part in wide format instead of compact",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_rows_for_wide_part","0",0,"Minimal number of rows to create part in wide format instead of compact",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","ratio_of_defaults_for_sparse_serialization","0.9375",0,"Minimal ratio of number of default values to number of all values in column to store it in sparse serializations. If >= 1, columns will be always written in full serialization.",\N,\N,0,"Float",0,"Production"
"25.1.4.53","replace_long_file_name_to_hash","1",0,"If the file name for column is too long (more than 'max_file_name_length' bytes) replace it to SipHash128",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","max_file_name_length","127",0,"The maximal length of the file name to keep it as is without hashing",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_bytes_for_full_part_storage","0",0,"Only available in ClickHouse Cloud. Minimal uncompressed size in bytes to use full type of storage for data part instead of packed",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","min_rows_for_full_part_storage","0",0,"Only available in ClickHouse Cloud. Minimal number of rows to use full type of storage for data part instead of packed",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","compact_parts_max_bytes_to_buffer","134217728",0,"Only available in ClickHouse Cloud. Maximal number of bytes to write in a single stripe in compact parts",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","compact_parts_max_granules_to_buffer","128",0,"Only available in ClickHouse Cloud. Maximal number of granules to write in a single stripe in compact parts",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","compact_parts_merge_max_bytes_to_prefetch_part","16777216",0,"Only available in ClickHouse Cloud. Maximal size of compact part to read it in a whole to memory during merge.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","merge_max_bytes_to_prewarm_cache","1073741824",0,"Only available in ClickHouse Cloud. Maximal size of part (compact or packed) to prewarm cache during merge.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","merge_total_max_bytes_to_prewarm_cache","16106127360",0,"Only available in ClickHouse Cloud. Maximal size of parts in total to prewarm cache during merge.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","load_existing_rows_count_for_old_parts","0",0,"Whether to load existing_rows_count for existing parts. If false, existing_rows_count will be equal to rows_count for existing parts.",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","use_compact_variant_discriminators_serialization","1",0,"Use compact version of Variant discriminators serialization.",\N,\N,0,"Bool",0,"Production"
"25.1.4.53","merge_selector_blurry_base_scale_factor","0",0,"Controls when the logic kicks in relatively to the number of parts in partition. The bigger the factor the more belated reaction will be.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","merge_selector_window_size","1000",0,"How many parts to look at once.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","merge_max_block_size","8192",0,"How many rows in blocks should be formed for merge operations. By default has the same value as `index_granularity`.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","merge_max_block_size_bytes","10485760",0,"How many bytes in blocks should be formed for merge operations. By default has the same value as `index_granularity_bytes`.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_bytes_to_merge_at_max_space_in_pool","161061273600",0,"Maximum in total size of parts to merge, when there are maximum free threads in background pool (or entries in replication queue).",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_bytes_to_merge_at_min_space_in_pool","1048576",0,"Maximum in total size of parts to merge, when there are minimum free threads in background pool (or entries in replication queue).",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_replicated_merges_in_queue","1000",0,"How many tasks of merging and mutating parts are allowed simultaneously in ReplicatedMergeTree queue.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_replicated_mutations_in_queue","8",0,"How many tasks of mutating parts are allowed simultaneously in ReplicatedMergeTree queue.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_replicated_merges_with_ttl_in_queue","1",0,"How many tasks of merging parts with TTL are allowed simultaneously in ReplicatedMergeTree queue.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","number_of_free_entries_in_pool_to_lower_max_size_of_merge","8",0,"When there is less than specified number of free entries in pool (or replicated queue), start to lower maximum size of merge to process (or to put in queue). This is to allow small merges to process - not filling the pool with long running merges.",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","number_of_free_entries_in_pool_to_execute_mutation","20",0,"When there is less than specified number of free entries in pool, do not execute part mutations. This is to leave free threads for regular merges and avoid ""Too many parts""",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_number_of_mutations_for_replica","0",0,"Limit the number of part mutations per replica to the specified amount. Zero means no limit on the number of mutations per replica (the execution can still be constrained by other settings).",\N,\N,0,"UInt64",0,"Production"
"25.1.4.53","max_number_of_merges_with_ttl_in_pool","2",0,"When there is more than specified number of merges with TTL entries in pool, do not assign new merge with TTL. This is to leave free threads for regular merges and avoid ""Too many parts""",\N,\N,0,"UInt64",0,"Production"
