"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting","is_tty_friendly"
"25.3.6.10034.altinitystable","One",1,0,0,0,1
"25.3.6.10034.altinitystable","ParquetMetadata",1,0,1,0,1
"25.3.6.10034.altinitystable","MySQLDump",1,0,0,0,1
"25.3.6.10034.altinitystable","CapnProto",1,1,0,0,0
"25.3.6.10034.altinitystable","PostgreSQLWire",0,1,0,0,0
"25.3.6.10034.altinitystable","TSV",1,1,1,1,1
"25.3.6.10034.altinitystable","PrettyCompactMonoBlock",0,1,0,0,1
"25.3.6.10034.altinitystable","JSONEachRowWithProgress",0,1,0,0,1
"25.3.6.10034.altinitystable","JSONCompactStrings",0,1,0,1,1
"25.3.6.10034.altinitystable","JSONStringsEachRowWithProgress",0,1,0,0,1
"25.3.6.10034.altinitystable","Vertical",0,1,0,1,1
"25.3.6.10034.altinitystable","PrettySpaceNoEscapesMonoBlock",0,1,0,0,1
"25.3.6.10034.altinitystable","Null",0,1,0,0,1
"25.3.6.10034.altinitystable","PrettySpaceNoEscapes",0,1,0,0,1
"25.3.6.10034.altinitystable","Markdown",0,1,0,1,1
"25.3.6.10034.altinitystable","Form",1,0,0,0,1
"25.3.6.10034.altinitystable","ODBCDriver2",0,1,0,0,0
"25.3.6.10034.altinitystable","PrettySpaceMonoBlock",0,1,0,0,1
"25.3.6.10034.altinitystable","PrettyCompactNoEscapesMonoBlock",0,1,0,0,1
"25.3.6.10034.altinitystable","PrettyCompactNoEscapes",0,1,0,0,1
"25.3.6.10034.altinitystable","JSONStringsEachRow",1,1,1,1,1
"25.3.6.10034.altinitystable","PrettyCompact",0,1,0,0,1
"25.3.6.10034.altinitystable","DWARF",1,0,1,0,1
"25.3.6.10034.altinitystable","Values",1,1,0,1,1
"25.3.6.10034.altinitystable","PrettyNoEscapesMonoBlock",0,1,0,0,1
"25.3.6.10034.altinitystable","PrettyNoEscapes",0,1,0,0,1
"25.3.6.10034.altinitystable","PrettyMonoBlock",0,1,0,0,1
"25.3.6.10034.altinitystable","AvroConfluent",1,0,0,0,1
"25.3.6.10034.altinitystable","RawBLOB",1,1,0,0,1
"25.3.6.10034.altinitystable","Parquet",1,1,1,0,0
"25.3.6.10034.altinitystable","JSONCompactEachRowWithProgress",0,1,0,0,1
"25.3.6.10034.altinitystable","CustomSeparatedIgnoreSpacesWithNamesAndTypes",1,0,0,0,1
"25.3.6.10034.altinitystable","CustomSeparatedIgnoreSpacesWithNames",1,0,0,0,1
"25.3.6.10034.altinitystable","CustomSeparatedWithNamesAndTypes",1,1,0,1,1
"25.3.6.10034.altinitystable","PrettySpace",0,1,0,0,1
"25.3.6.10034.altinitystable","Arrow",1,1,0,0,0
"25.3.6.10034.altinitystable","JSONAsString",1,0,1,0,1
"25.3.6.10034.altinitystable","CustomSeparatedWithNames",1,1,0,1,1
"25.3.6.10034.altinitystable","CustomSeparated",1,1,0,1,1
"25.3.6.10034.altinitystable","BSONEachRow",1,1,1,1,0
"25.3.6.10034.altinitystable","Template",1,1,0,0,1
"25.3.6.10034.altinitystable","XML",0,1,0,1,1
"25.3.6.10034.altinitystable","ProtobufList",1,1,0,0,0
"25.3.6.10034.altinitystable","ProtobufSingle",1,1,0,0,0
"25.3.6.10034.altinitystable","JSONColumnsWithMetadata",1,1,0,0,1
"25.3.6.10034.altinitystable","TSVRawWithNamesAndTypes",1,1,1,1,1
"25.3.6.10034.altinitystable","Npy",1,1,0,0,0
"25.3.6.10034.altinitystable","TemplateIgnoreSpaces",1,0,0,0,1
"25.3.6.10034.altinitystable","JSONCompactColumns",1,1,0,0,1
"25.3.6.10034.altinitystable","JSONColumns",1,1,0,0,1
"25.3.6.10034.altinitystable","ArrowStream",1,1,0,0,0
"25.3.6.10034.altinitystable","JSONObjectEachRow",1,1,0,1,1
"25.3.6.10034.altinitystable","NDJSON",1,1,1,1,1
"25.3.6.10034.altinitystable","PrettyNDJSON",0,1,0,1,1
