"ch_version","name","case_insensitive","alias_to"
"25.3.6.56","JSON",1,""
"25.3.6.56","Dynamic",0,""
"25.3.6.56","Object",0,""
"25.3.6.56","Polygon",0,""
"25.3.6.56","Ring",0,""
"25.3.6.56","Point",0,""
"25.3.6.56","SimpleAggregateFunction",0,""
"25.3.6.56","IntervalYear",0,""
"25.3.6.56","IntervalMonth",0,""
"25.3.6.56","IntervalWeek",0,""
"25.3.6.56","IntervalDay",0,""
"25.3.6.56","Enum",1,""
"25.3.6.56","IntervalMillisecond",0,""
"25.3.6.56","Int64",0,""
"25.3.6.56","IntervalMicrosecond",0,""
"25.3.6.56","MultiLineString",0,""
"25.3.6.56","IntervalNanosecond",0,""
"25.3.6.56","Nested",0,""
"25.3.6.56","LowCardinality",0,""
"25.3.6.56","Decimal",1,""
"25.3.6.56","AggregateFunction",0,""
"25.3.6.56","Float64",0,""
"25.3.6.56","IntervalHour",0,""
"25.3.6.56","IPv6",0,""
"25.3.6.56","Variant",0,""
"25.3.6.56","IPv4",0,""
"25.3.6.56","UUID",0,""
"25.3.6.56","Nothing",0,""
"25.3.6.56","UInt32",0,""
"25.3.6.56","DateTime",1,""
"25.3.6.56","Nullable",0,""
"25.3.6.56","Tuple",0,""
"25.3.6.56","IntervalMinute",0,""
"25.3.6.56","FixedString",0,""
"25.3.6.56","String",0,""
"25.3.6.56","DateTime64",1,""
"25.3.6.56","IntervalQuarter",0,""
"25.3.6.56","Date",1,""
"25.3.6.56","Int16",0,""
"25.3.6.56","Decimal128",1,""
"25.3.6.56","Array",0,""
"25.3.6.56","DateTime32",1,""
"25.3.6.56","Date32",1,""
"25.3.6.56","UInt256",0,""
"25.3.6.56","Int8",0,""
"25.3.6.56","Decimal64",1,""
"25.3.6.56","Int256",0,""
"25.3.6.56","Bool",1,""
"25.3.6.56","Int128",0,""
"25.3.6.56","Enum8",0,""
"25.3.6.56","UInt64",0,""
"25.3.6.56","Float32",0,""
"25.3.6.56","BFloat16",0,""
"25.3.6.56","Enum16",0,""
"25.3.6.56","MultiPolygon",0,""
"25.3.6.56","LineString",0,""
"25.3.6.56","UInt128",0,""
"25.3.6.56","UInt16",0,""
"25.3.6.56","Map",0,""
"25.3.6.56","UInt8",0,""
"25.3.6.56","Decimal256",1,""
"25.3.6.56","IntervalSecond",0,""
"25.3.6.56","Int32",0,""
"25.3.6.56","Decimal32",1,""
"25.3.6.56","bool",1,"Bool"
"25.3.6.56","BINARY",1,"FixedString"
"25.3.6.56","GEOMETRY",1,"String"
"25.3.6.56","INET6",1,"IPv6"
"25.3.6.56","NATIONAL CHAR VARYING",1,"String"
"25.3.6.56","BINARY VARYING",1,"String"
"25.3.6.56","NCHAR LARGE OBJECT",1,"String"
"25.3.6.56","NATIONAL CHARACTER VARYING",1,"String"
"25.3.6.56","NATIONAL CHARACTER LARGE OBJECT",1,"String"
"25.3.6.56","NATIONAL CHAR",1,"String"
"25.3.6.56","CHAR LARGE OBJECT",1,"String"
"25.3.6.56","CHARACTER VARYING",1,"String"
"25.3.6.56","NATIONAL CHARACTER",1,"String"
"25.3.6.56","LONGBLOB",1,"String"
"25.3.6.56","CHAR VARYING",1,"String"
"25.3.6.56","MEDIUMBLOB",1,"String"
"25.3.6.56","INET4",1,"IPv4"
"25.3.6.56","CLOB",1,"String"
"25.3.6.56","INTEGER",1,"Int32"
"25.3.6.56","LONGTEXT",1,"String"
"25.3.6.56","MEDIUMTEXT",1,"String"
"25.3.6.56","SMALLINT",1,"Int16"
"25.3.6.56","TINYTEXT",1,"String"
"25.3.6.56","NVARCHAR",1,"String"
"25.3.6.56","TINYBLOB",1,"String"
"25.3.6.56","CHARACTER",1,"String"
"25.3.6.56","ENUM",1,"Enum"
"25.3.6.56","CHAR",1,"String"
"25.3.6.56","SMALLINT UNSIGNED",1,"UInt16"
"25.3.6.56","SIGNED",1,"Int64"
"25.3.6.56","TIMESTAMP",1,"DateTime"
"25.3.6.56","BIT",1,"UInt64"
"25.3.6.56","FIXED",1,"Decimal"
"25.3.6.56","BYTE",1,"Int8"
"25.3.6.56","VARCHAR",1,"String"
"25.3.6.56","DEC",1,"Decimal"
"25.3.6.56","CHARACTER LARGE OBJECT",1,"String"
"25.3.6.56","DOUBLE PRECISION",1,"Float64"
"25.3.6.56","DOUBLE",1,"Float64"
"25.3.6.56","SINGLE",1,"Float32"
"25.3.6.56","INTEGER SIGNED",1,"Int32"
"25.3.6.56","REAL",1,"Float32"
"25.3.6.56","TINYINT",1,"Int8"
"25.3.6.56","BIGINT",1,"Int64"
"25.3.6.56","FLOAT",1,"Float32"
"25.3.6.56","SET",1,"UInt64"
"25.3.6.56","BIGINT UNSIGNED",1,"UInt64"
"25.3.6.56","TINYINT UNSIGNED",1,"UInt8"
"25.3.6.56","TEXT",1,"String"
"25.3.6.56","INTEGER UNSIGNED",1,"UInt32"
"25.3.6.56","TIME",1,"Int64"
"25.3.6.56","YEAR",1,"UInt16"
"25.3.6.56","BLOB",1,"String"
"25.3.6.56","INT1",1,"Int8"
"25.3.6.56","VARCHAR2",1,"String"
"25.3.6.56","INT1 UNSIGNED",1,"UInt8"
"25.3.6.56","NCHAR",1,"String"
"25.3.6.56","UNSIGNED",1,"UInt64"
"25.3.6.56","NCHAR VARYING",1,"String"
"25.3.6.56","INT SIGNED",1,"Int32"
"25.3.6.56","BIGINT SIGNED",1,"Int64"
"25.3.6.56","BINARY LARGE OBJECT",1,"String"
"25.3.6.56","SMALLINT SIGNED",1,"Int16"
"25.3.6.56","MEDIUMINT",1,"Int32"
"25.3.6.56","MEDIUMINT UNSIGNED",1,"UInt32"
"25.3.6.56","VARBINARY",1,"String"
"25.3.6.56","NUMERIC",1,"Decimal"
"25.3.6.56","BYTEA",1,"String"
"25.3.6.56","INT",1,"Int32"
"25.3.6.56","MEDIUMINT SIGNED",1,"Int32"
"25.3.6.56","boolean",1,"Bool"
"25.3.6.56","INT1 SIGNED",1,"Int8"
"25.3.6.56","INT UNSIGNED",1,"UInt32"
"25.3.6.56","TINYINT SIGNED",1,"Int8"
