"ch_version","type","version","changes"
"25.3.8.23","Session","25.4","[]"
"25.3.8.23","Session","25.3","[('show_data_lake_catalogs_in_system_tables','1','1','New setting'),('enable_json_type','0','1','JSON data type is production-ready'),('enable_dynamic_type','0','1','Dynamic data type is production-ready'),('enable_variant_type','0','1','Variant data type is production-ready'),('allow_experimental_json_type','0','1','JSON data type is production-ready'),('allow_experimental_dynamic_type','0','1','Dynamic data type is production-ready'),('allow_experimental_variant_type','0','1','Variant data type is production-ready'),('allow_experimental_database_unity_catalog','0','0','Allow experimental database engine DataLakeCatalog with catalog_type = \'unity\''),('allow_experimental_database_glue_catalog','0','0','Allow experimental database engine DataLakeCatalog with catalog_type = \'glue\''),('use_page_cache_with_distributed_cache','0','0','New setting'),('use_query_condition_cache','0','0','New setting.'),('parallel_replicas_for_cluster_engines','0','1','New setting.'),('parallel_hash_join_threshold','0','0','New setting'),('enable_scopes_for_with_statement','1','1','New setting for backward compatibility with the old analyzer.'),('output_format_parquet_date_as_uint16','0','0','(Actually added in 25.8 and backported into here.)')]"
"25.3.8.23","Session","25.2","[('schema_inference_make_json_columns_nullable','0','0','Allow to infer Nullable(JSON) during schema inference'),('query_plan_use_new_logical_join_step','0','1','Enable new step'),('postgresql_fault_injection_probability','0','0','New setting'),('apply_settings_from_server','0','1','Client-side code (e.g. INSERT input parsing and query output formatting) will use the same settings as the server, including settings from server config.'),('merge_tree_use_deserialization_prefixes_cache','1','1','A new setting to control the usage of deserialization prefixes cache in MergeTree'),('merge_tree_use_prefixes_deserialization_thread_pool','1','1','A new setting controlling the usage of the thread pool for parallel prefixes deserialization in MergeTree'),('optimize_and_compare_chain','0','1','A new setting'),('enable_adaptive_memory_spill_scheduler','0','0','New setting. Enable spill memory data into external storage adaptively.'),('output_format_parquet_write_bloom_filter','0','1','Added support for writing Parquet bloom filters.'),('output_format_parquet_bloom_filter_bits_per_value','10.5','10.5','New setting.'),('output_format_parquet_bloom_filter_flush_threshold_bytes','134217728','134217728','New setting.'),('output_format_pretty_max_rows','10000','1000','It is better for usability - less amount to scroll.'),('restore_replicated_merge_tree_to_shared_merge_tree','0','0','New setting.'),('parallel_replicas_only_with_analyzer','1','1','Parallel replicas is supported only with analyzer enabled'),('s3_allow_multipart_copy','1','1','New setting.')]"
"25.3.8.23","Session","25.1","[('allow_not_comparable_types_in_order_by','1','0','Don\'t allow not comparable types in order by by default'),('allow_not_comparable_types_in_comparison_functions','1','0','Don\'t allow not comparable types in comparison functions by default'),('output_format_json_pretty_print','0','1','Print values in a pretty format in JSON output format by default'),('allow_experimental_ts_to_grid_aggregate_function','0','0','Cloud only'),('formatdatetime_f_prints_scale_number_of_digits','1','0','New setting.'),('distributed_cache_connect_max_tries','20','20','Cloud only'),('query_plan_use_new_logical_join_step','0','0','New join step, internal change'),('distributed_cache_min_bytes_for_seek','0','0','New private setting.'),('use_iceberg_partition_pruning','0','0','New setting'),('max_bytes_ratio_before_external_group_by','0','0.5','Enable automatic spilling to disk by default.'),('max_bytes_ratio_before_external_sort','0','0.5','Enable automatic spilling to disk by default.'),('min_external_sort_block_bytes','0','104857600','New setting.'),('s3queue_migrate_old_metadata_to_buckets','0','0','New setting.'),('distributed_cache_pool_behaviour_on_limit','allocate_bypassing_pool','wait','Cloud only'),('use_hive_partitioning','0','1','Enabled the setting by default.'),('query_plan_try_use_vector_search','0','1','New setting.'),('short_circuit_function_evaluation_for_nulls','0','1','Allow to execute functions with Nullable arguments only on rows with non-NULL values in all arguments'),('short_circuit_function_evaluation_for_nulls_threshold','1','1','Ratio threshold of NULL values to execute functions with Nullable arguments only on rows with non-NULL values in all arguments. Applies when setting short_circuit_function_evaluation_for_nulls is enabled.'),('output_format_orc_writer_time_zone_name','GMT','GMT','The time zone name for ORC writer, the default ORC writer\'s time zone is GMT.'),('output_format_pretty_highlight_trailing_spaces','0','1','A new setting.'),('allow_experimental_bfloat16_type','0','1','Add new BFloat16 type'),('allow_push_predicate_ast_for_distributed_subqueries','0','1','A new setting'),('output_format_pretty_squash_consecutive_ms','0','50','Add new setting'),('output_format_pretty_squash_max_wait_ms','0','1000','Add new setting'),('output_format_pretty_max_column_name_width_cut_to','0','24','A new setting'),('output_format_pretty_max_column_name_width_min_chars_to_cut','0','4','A new setting'),('output_format_pretty_multiline_fields','0','1','A new setting'),('output_format_pretty_fallback_to_vertical','0','1','A new setting'),('output_format_pretty_fallback_to_vertical_max_rows_per_chunk','0','100','A new setting'),('output_format_pretty_fallback_to_vertical_min_columns','0','5','A new setting'),('output_format_pretty_fallback_to_vertical_min_table_width','0','250','A new setting'),('merge_table_max_tables_to_look_for_schema_inference','1','1000','A new setting'),('max_autoincrement_series','1000','1000','A new setting'),('validate_enum_literals_in_operators','0','0','A new setting'),('allow_experimental_kusto_dialect','1','0','A new setting'),('allow_experimental_prql_dialect','1','0','A new setting'),('h3togeo_lon_lat_result_order','1','0','A new setting'),('max_parallel_replicas','1','1000','Use up to 1000 parallel replicas by default.'),('allow_general_join_planning','0','1','Allow more general join planning algorithm when hash join algorithm is enabled.'),('optimize_extract_common_expressions','0','1','Optimize WHERE, PREWHERE, ON, HAVING and QUALIFY expressions by extracting common expressions out from disjunction of conjunctions.')]"
"25.3.8.23","Session","24.12","[('allow_experimental_database_iceberg','0','0','New setting.'),('shared_merge_tree_sync_parts_on_partition_operations','1','1','New setting. By default parts are always synchronized'),('query_plan_join_swap_table','false','auto','New setting. Right table was always chosen before.'),('max_size_to_preallocate_for_aggregation','100000000','1000000000000','Enable optimisation for bigger tables.'),('max_size_to_preallocate_for_joins','100000000','1000000000000','Enable optimisation for bigger tables.'),('max_bytes_ratio_before_external_group_by','0','0','New setting.'),('optimize_extract_common_expressions','0','0','Introduce setting to optimize WHERE, PREWHERE, ON, HAVING and QUALIFY expressions by extracting common expressions out from disjunction of conjunctions.'),('max_bytes_ratio_before_external_sort','0','0','New setting.'),('use_async_executor_for_materialized_views','0','0','New setting.'),('http_response_headers','','','New setting.'),('output_format_parquet_datetime_as_uint32','1','0','Write DateTime as DateTime64(3) instead of UInt32 (these are the two Parquet types closest to DateTime).'),('output_format_parquet_date_as_uint16','1','0','Write Date as Date32 instead of plain UInt16 (these are the two Parquet types closest to Date).'),('skip_redundant_aliases_in_udf','0','0','When enabled, this allows you to use the same user defined function several times for several materialized columns in the same table.'),('parallel_replicas_index_analysis_only_on_coordinator','1','1','Index analysis done only on replica-coordinator and skipped on other replicas. Effective only with enabled parallel_replicas_local_plan'),('least_greatest_legacy_null_behavior','1','0','New setting'),('use_concurrency_control','0','1','Enable concurrency control by default'),('join_algorithm','default','direct,parallel_hash,hash','\'default\' was deprecated in favor of explicitly specified join algorithms, also parallel_hash is now preferred over hash')]"
"25.3.8.23","Session","24.11","[('validate_mutation_query','0','1','New setting to validate mutation queries by default.'),('enable_job_stack_trace','0','1','Enable by default collecting stack traces from job\'s scheduling.'),('allow_suspicious_types_in_group_by','1','0','Don\'t allow Variant/Dynamic types in GROUP BY by default'),('allow_suspicious_types_in_order_by','1','0','Don\'t allow Variant/Dynamic types in ORDER BY by default'),('distributed_cache_discard_connection_if_unread_data','1','1','New setting'),('filesystem_cache_enable_background_download_for_metadata_files_in_packed_storage','1','1','New setting'),('filesystem_cache_enable_background_download_during_fetch','1','1','New setting'),('azure_check_objects_after_upload','0','0','Check each uploaded object in azure blob storage to be sure that upload was successful'),('backup_restore_keeper_max_retries','20','1000','Should be big enough so the whole operation BACKUP or RESTORE operation won\'t fail because of a temporary [Zoo]Keeper failure in the middle of it.'),('backup_restore_failure_after_host_disconnected_for_seconds','0','3600','New setting.'),('backup_restore_keeper_max_retries_while_initializing','0','20','New setting.'),('backup_restore_keeper_max_retries_while_handling_error','0','20','New setting.'),('backup_restore_finish_timeout_after_error_sec','0','180','New setting.'),('query_plan_merge_filters','0','1','Allow to merge filters in the query plan. This is required to properly support filter-push-down with a new analyzer.'),('parallel_replicas_local_plan','0','1','Use local plan for local replica in a query with parallel replicas'),('merge_tree_use_v1_object_and_dynamic_serialization','1','0','Add new serialization V2 version for JSON and Dynamic types'),('min_joined_block_size_bytes','524288','524288','New setting.'),('allow_experimental_bfloat16_type','0','0','Add new experimental BFloat16 type'),('filesystem_cache_skip_download_if_exceeds_per_query_cache_write_limit','1','1','Rename of setting skip_download_if_exceeds_query_cache_limit'),('filesystem_cache_prefer_bigger_buffer_size','1','1','New setting'),('read_in_order_use_virtual_row','0','0','Use virtual row while reading in order of primary key or its monotonic function fashion. It is useful when searching over multiple parts as only relevant ones are touched.'),('s3_skip_empty_files','0','1','We hope it will provide better UX'),('filesystem_cache_boundary_alignment','0','0','New setting'),('push_external_roles_in_interserver_queries','0','1','New setting.'),('enable_variant_type','0','0','Add alias to allow_experimental_variant_type'),('enable_dynamic_type','0','0','Add alias to allow_experimental_dynamic_type'),('enable_json_type','0','0','Add alias to allow_experimental_json_type')]"
"25.3.8.23","Session","24.10","[('query_metric_log_interval','0','-1','New setting.'),('enforce_strict_identifier_format','0','0','New setting.'),('enable_parsing_to_custom_serialization','0','1','New setting'),('mongodb_throw_on_unsupported_query','0','1','New setting.'),('enable_parallel_replicas','0','0','Parallel replicas with read tasks became the Beta tier feature.'),('parallel_replicas_mode','read_tasks','read_tasks','This setting was introduced as a part of making parallel replicas feature Beta'),('filesystem_cache_name','','','Filesystem cache name to use for stateless table engines or data lakes'),('restore_replace_external_dictionary_source_to_null','0','0','New setting.'),('show_create_query_identifier_quoting_rule','when_necessary','when_necessary','New setting.'),('show_create_query_identifier_quoting_style','Backticks','Backticks','New setting.'),('merge_tree_min_read_task_size','8','8','New setting'),('merge_tree_min_rows_for_concurrent_read_for_remote_filesystem','163840','0','Setting is deprecated'),('merge_tree_min_bytes_for_concurrent_read_for_remote_filesystem','251658240','0','Setting is deprecated'),('implicit_select','0','0','A new setting.'),('output_format_native_write_json_as_string','0','0','Add new setting to allow write JSON column as single String column in Native format'),('output_format_binary_write_json_as_string','0','0','Add new setting to write values of JSON type as JSON string in RowBinary output format'),('input_format_binary_read_json_as_string','0','0','Add new setting to read values of JSON type as JSON string in RowBinary input format'),('min_free_disk_bytes_to_perform_insert','0','0','New setting.'),('min_free_disk_ratio_to_perform_insert','0','0','New setting.'),('parallel_replicas_local_plan','0','1','Use local plan for local replica in a query with parallel replicas'),('enable_named_columns_in_function_tuple','0','0','Disabled pending usability improvements'),('cloud_mode_database_engine','1','1','A setting for ClickHouse Cloud'),('allow_experimental_shared_set_join','0','0','A setting for ClickHouse Cloud'),('read_through_distributed_cache','0','0','A setting for ClickHouse Cloud'),('write_through_distributed_cache','0','0','A setting for ClickHouse Cloud'),('distributed_cache_throw_on_error','0','0','A setting for ClickHouse Cloud'),('distributed_cache_log_mode','on_error','on_error','A setting for ClickHouse Cloud'),('distributed_cache_fetch_metrics_only_from_current_az','1','1','A setting for ClickHouse Cloud'),('distributed_cache_connect_max_tries','20','20','A setting for ClickHouse Cloud'),('distributed_cache_receive_response_wait_milliseconds','60000','60000','A setting for ClickHouse Cloud'),('distributed_cache_receive_timeout_milliseconds','10000','10000','A setting for ClickHouse Cloud'),('distributed_cache_wait_connection_from_pool_milliseconds','100','100','A setting for ClickHouse Cloud'),('distributed_cache_bypass_connection_pool','0','0','A setting for ClickHouse Cloud'),('distributed_cache_pool_behaviour_on_limit','allocate_bypassing_pool','allocate_bypassing_pool','A setting for ClickHouse Cloud'),('distributed_cache_read_alignment','0','0','A setting for ClickHouse Cloud'),('distributed_cache_max_unacked_inflight_packets','10','10','A setting for ClickHouse Cloud'),('distributed_cache_data_packet_ack_window','5','5','A setting for ClickHouse Cloud'),('input_format_parquet_enable_row_group_prefetch','0','1','Enable row group prefetching during parquet parsing. Currently, only single-threaded parsing can prefetch.'),('input_format_orc_dictionary_as_low_cardinality','0','1','Treat ORC dictionary encoded columns as LowCardinality columns while reading ORC files'),('allow_experimental_refreshable_materialized_view','0','1','Not experimental anymore'),('max_parts_to_move','0','1000','New setting'),('hnsw_candidate_list_size_for_search','64','256','New setting. Previously, the value was optionally specified in CREATE INDEX and 64 by default.'),('allow_reorder_prewhere_conditions','1','1','New setting'),('input_format_parquet_bloom_filter_push_down','0','1','When reading Parquet files, skip whole row groups based on the WHERE/PREWHERE expressions and bloom filter in the Parquet metadata.'),('date_time_64_output_format_cut_trailing_zeros_align_to_groups_of_thousands','0','0','Dynamically trim the trailing zeros of datetime64 values to adjust the output scale to (0, 3, 6), corresponding to \'seconds\', \'milliseconds\', and \'microseconds\'.'),('parallel_replicas_index_analysis_only_on_coordinator','0','1','Index analysis done only on replica-coordinator and skipped on other replicas. Effective only with enabled parallel_replicas_local_plan'),('distributed_cache_discard_connection_if_unread_data','1','1','New setting'),('azure_check_objects_after_upload','0','0','Check each uploaded object in azure blob storage to be sure that upload was successful'),('backup_restore_keeper_max_retries','20','1000','Should be big enough so the whole operation BACKUP or RESTORE operation won\'t fail because of a temporary [Zoo]Keeper failure in the middle of it.'),('backup_restore_failure_after_host_disconnected_for_seconds','0','3600','New setting.'),('backup_restore_keeper_max_retries_while_initializing','0','20','New setting.'),('backup_restore_keeper_max_retries_while_handling_error','0','20','New setting.'),('backup_restore_finish_timeout_after_error_sec','0','180','New setting.')]"
"25.3.8.23","Session","24.9","[('output_format_orc_dictionary_key_size_threshold','0','0','For a string column in ORC output format, if the number of distinct values is greater than this fraction of the total number of non-null rows, turn off dictionary encoding. Otherwise dictionary encoding is enabled'),('input_format_json_empty_as_default','0','0','Added new setting to allow to treat empty fields in JSON input as default values.'),('input_format_try_infer_variants','0','0','Try to infer Variant type in text formats when there is more than one possible type for column/array elements'),('join_output_by_rowlist_perkey_rows_threshold','0','5','The lower limit of per-key average rows in the right table to determine whether to output by row list in hash join.'),('create_if_not_exists','0','0','New setting.'),('allow_materialized_view_with_bad_select','1','1','Support (but not enable yet) stricter validation in CREATE MATERIALIZED VIEW'),('parallel_replicas_mark_segment_size','128','0','Value for this setting now determined automatically'),('database_replicated_allow_replicated_engine_arguments','1','0','Don\'t allow explicit arguments by default'),('database_replicated_allow_explicit_uuid','1','0','Added a new setting to disallow explicitly specifying table UUID'),('parallel_replicas_local_plan','0','0','Use local plan for local replica in a query with parallel replicas'),('join_to_sort_minimum_perkey_rows','0','40','The lower limit of per-key average rows in the right table to determine whether to rerange the right table by key in left or inner join. This setting ensures that the optimization is not applied for sparse table keys'),('join_to_sort_maximum_table_rows','0','10000','The maximum number of rows in the right table to determine whether to rerange the right table by key in left or inner join'),('allow_experimental_join_right_table_sorting','0','0','If it is set to true, and the conditions of `join_to_sort_minimum_perkey_rows` and `join_to_sort_maximum_table_rows` are met, rerange the right table by key to improve the performance in left or inner hash join'),('mongodb_throw_on_unsupported_query','0','1','New setting.'),('min_free_disk_bytes_to_perform_insert','0','0','Maintain some free disk space bytes from inserts while still allowing for temporary writing.'),('min_free_disk_ratio_to_perform_insert','0','0','Maintain some free disk space bytes expressed as ratio to total disk space from inserts while still allowing for temporary writing.')]"
"25.3.8.23","Session","24.8","[('rows_before_aggregation','0','0','Provide exact value for rows_before_aggregation statistic, represents the number of rows read before aggregation'),('restore_replace_external_table_functions_to_null','0','0','New setting.'),('restore_replace_external_engines_to_null','0','0','New setting.'),('input_format_json_max_depth','1000000','1000','It was unlimited in previous versions, but that was unsafe.'),('merge_tree_min_bytes_per_task_for_remote_reading','4194304','2097152','Value is unified with `filesystem_prefetch_min_bytes_for_single_read_task`'),('use_hive_partitioning','0','0','Allows to use hive partitioning for File, URL, S3, AzureBlobStorage and HDFS engines.'),('allow_experimental_kafka_offsets_storage_in_keeper','0','0','Allow the usage of experimental Kafka storage engine that stores the committed offsets in ClickHouse Keeper'),('allow_archive_path_syntax','1','1','Added new setting to allow disabling archive path syntax.'),('query_cache_tag','','','New setting for labeling query cache settings.'),('allow_experimental_time_series_table','0','0','Added new setting to allow the TimeSeries table engine'),('enable_analyzer','1','1','Added an alias to a setting `allow_experimental_analyzer`.'),('optimize_functions_to_subcolumns','0','1','Enabled settings by default'),('allow_experimental_json_type','0','0','Add new experimental JSON type'),('use_json_alias_for_old_object_type','1','0','Use JSON type alias to create new JSON type'),('type_json_skip_duplicated_paths','0','0','Allow to skip duplicated paths during JSON parsing'),('allow_experimental_vector_similarity_index','0','0','Added new setting to allow experimental vector similarity indexes'),('input_format_try_infer_datetimes_only_datetime64','1','0','Allow to infer DateTime instead of DateTime64 in data formats')]"
"25.3.8.23","Session","24.7","[('output_format_parquet_write_page_index','0','1','Add a possibility to write page index into parquet files.'),('output_format_binary_encode_types_in_binary_format','0','0','Added new setting to allow to write type names in binary format in RowBinaryWithNamesAndTypes output format'),('input_format_binary_decode_types_in_binary_format','0','0','Added new setting to allow to read type names in binary format in RowBinaryWithNamesAndTypes input format'),('output_format_native_encode_types_in_binary_format','0','0','Added new setting to allow to write type names in binary format in Native output format'),('input_format_native_decode_types_in_binary_format','0','0','Added new setting to allow to read type names in binary format in Native output format'),('read_in_order_use_buffering','0','1','Use buffering before merging while reading in order of primary key'),('enable_named_columns_in_function_tuple','0','0','Generate named tuples in function tuple() when all names are unique and can be treated as unquoted identifiers.'),('optimize_trivial_insert_select','1','0','The optimization does not make sense in many cases.'),('dictionary_validate_primary_key_type','0','0','Validate primary key type for dictionaries. By default id type for simple layouts will be implicitly converted to UInt64.'),('collect_hash_table_stats_during_joins','0','1','New setting.'),('max_size_to_preallocate_for_joins','0','100000000','New setting.'),('input_format_orc_reader_time_zone_name','GMT','GMT','The time zone name for ORC row reader, the default ORC row reader\'s time zone is GMT.'),('database_replicated_allow_heavy_create','1','0','Long-running DDL queries (CREATE AS SELECT and POPULATE) for Replicated database engine was forbidden'),('query_plan_merge_filters','0','0','Allow to merge filters in the query plan'),('azure_sdk_max_retries','10','10','Maximum number of retries in azure sdk'),('azure_sdk_retry_initial_backoff_ms','10','10','Minimal backoff between retries in azure sdk'),('azure_sdk_retry_max_backoff_ms','1000','1000','Maximal backoff between retries in azure sdk'),('ignore_on_cluster_for_replicated_named_collections_queries','0','0','Ignore ON CLUSTER clause for replicated named collections management queries.'),('backup_restore_s3_retry_attempts','1000','1000','Setting for Aws::Client::RetryStrategy, Aws::Client does retries itself, 0 means no retries. It takes place only for backup/restore.'),('postgresql_connection_attempt_timeout','2','2','Allow to control \'connect_timeout\' parameter of PostgreSQL connection.'),('postgresql_connection_pool_retries','2','2','Allow to control the number of retries in PostgreSQL connection pool.')]"
