"ch_version","name","case_insensitive","alias_to"
"25.3.8.30001.altinityfips","JSON",1,""
"25.3.8.30001.altinityfips","Dynamic",0,""
"25.3.8.30001.altinityfips","Object",0,""
"25.3.8.30001.altinityfips","Polygon",0,""
"25.3.8.30001.altinityfips","Ring",0,""
"25.3.8.30001.altinityfips","Point",0,""
"25.3.8.30001.altinityfips","SimpleAggregateFunction",0,""
"25.3.8.30001.altinityfips","IntervalYear",0,""
"25.3.8.30001.altinityfips","IntervalMonth",0,""
"25.3.8.30001.altinityfips","IntervalWeek",0,""
"25.3.8.30001.altinityfips","IntervalDay",0,""
"25.3.8.30001.altinityfips","Enum",1,""
"25.3.8.30001.altinityfips","IntervalMillisecond",0,""
"25.3.8.30001.altinityfips","Int64",0,""
"25.3.8.30001.altinityfips","IntervalMicrosecond",0,""
"25.3.8.30001.altinityfips","MultiLineString",0,""
"25.3.8.30001.altinityfips","IntervalNanosecond",0,""
"25.3.8.30001.altinityfips","Nested",0,""
"25.3.8.30001.altinityfips","LowCardinality",0,""
"25.3.8.30001.altinityfips","Decimal",1,""
"25.3.8.30001.altinityfips","AggregateFunction",0,""
"25.3.8.30001.altinityfips","Float64",0,""
"25.3.8.30001.altinityfips","IntervalHour",0,""
"25.3.8.30001.altinityfips","IPv6",0,""
"25.3.8.30001.altinityfips","Variant",0,""
"25.3.8.30001.altinityfips","IPv4",0,""
"25.3.8.30001.altinityfips","UUID",0,""
"25.3.8.30001.altinityfips","Nothing",0,""
"25.3.8.30001.altinityfips","UInt32",0,""
"25.3.8.30001.altinityfips","DateTime",1,""
"25.3.8.30001.altinityfips","Nullable",0,""
"25.3.8.30001.altinityfips","Tuple",0,""
"25.3.8.30001.altinityfips","IntervalMinute",0,""
"25.3.8.30001.altinityfips","FixedString",0,""
"25.3.8.30001.altinityfips","String",0,""
"25.3.8.30001.altinityfips","DateTime64",1,""
"25.3.8.30001.altinityfips","IntervalQuarter",0,""
"25.3.8.30001.altinityfips","Date",1,""
"25.3.8.30001.altinityfips","Int16",0,""
"25.3.8.30001.altinityfips","Decimal128",1,""
"25.3.8.30001.altinityfips","Array",0,""
"25.3.8.30001.altinityfips","DateTime32",1,""
"25.3.8.30001.altinityfips","Date32",1,""
"25.3.8.30001.altinityfips","UInt256",0,""
"25.3.8.30001.altinityfips","Int8",0,""
"25.3.8.30001.altinityfips","Decimal64",1,""
"25.3.8.30001.altinityfips","Int256",0,""
"25.3.8.30001.altinityfips","Bool",1,""
"25.3.8.30001.altinityfips","Int128",0,""
"25.3.8.30001.altinityfips","Enum8",0,""
"25.3.8.30001.altinityfips","UInt64",0,""
"25.3.8.30001.altinityfips","Float32",0,""
"25.3.8.30001.altinityfips","BFloat16",0,""
"25.3.8.30001.altinityfips","Enum16",0,""
"25.3.8.30001.altinityfips","MultiPolygon",0,""
"25.3.8.30001.altinityfips","LineString",0,""
"25.3.8.30001.altinityfips","UInt128",0,""
"25.3.8.30001.altinityfips","UInt16",0,""
"25.3.8.30001.altinityfips","Map",0,""
"25.3.8.30001.altinityfips","UInt8",0,""
"25.3.8.30001.altinityfips","Decimal256",1,""
"25.3.8.30001.altinityfips","IntervalSecond",0,""
"25.3.8.30001.altinityfips","Int32",0,""
"25.3.8.30001.altinityfips","Decimal32",1,""
"25.3.8.30001.altinityfips","bool",1,"Bool"
"25.3.8.30001.altinityfips","BINARY",1,"FixedString"
"25.3.8.30001.altinityfips","GEOMETRY",1,"String"
"25.3.8.30001.altinityfips","INET6",1,"IPv6"
