"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting","is_tty_friendly"
"25.3.8.30001.altinityfips","One",1,0,0,0,1
"25.3.8.30001.altinityfips","ParquetMetadata",1,0,1,0,1
"25.3.8.30001.altinityfips","MySQLDump",1,0,0,0,1
"25.3.8.30001.altinityfips","CapnProto",1,1,0,0,0
"25.3.8.30001.altinityfips","PostgreSQLWire",0,1,0,0,0
"25.3.8.30001.altinityfips","TSV",1,1,1,1,1
"25.3.8.30001.altinityfips","PrettyCompactMonoBlock",0,1,0,0,1
"25.3.8.30001.altinityfips","JSONEachRowWithProgress",0,1,0,0,1
"25.3.8.30001.altinityfips","JSONCompactStrings",0,1,0,1,1
"25.3.8.30001.altinityfips","JSONStringsEachRowWithProgress",0,1,0,0,1
"25.3.8.30001.altinityfips","Vertical",0,1,0,1,1
"25.3.8.30001.altinityfips","PrettySpaceNoEscapesMonoBlock",0,1,0,0,1
"25.3.8.30001.altinityfips","Null",0,1,0,0,1
"25.3.8.30001.altinityfips","PrettySpaceNoEscapes",0,1,0,0,1
"25.3.8.30001.altinityfips","Markdown",0,1,0,1,1
"25.3.8.30001.altinityfips","Form",1,0,0,0,1
"25.3.8.30001.altinityfips","ODBCDriver2",0,1,0,0,0
"25.3.8.30001.altinityfips","PrettySpaceMonoBlock",0,1,0,0,1
"25.3.8.30001.altinityfips","PrettyCompactNoEscapesMonoBlock",0,1,0,0,1
"25.3.8.30001.altinityfips","PrettyCompactNoEscapes",0,1,0,0,1
"25.3.8.30001.altinityfips","JSONStringsEachRow",1,1,1,1,1
"25.3.8.30001.altinityfips","PrettyCompact",0,1,0,0,1
"25.3.8.30001.altinityfips","DWARF",1,0,1,0,1
"25.3.8.30001.altinityfips","Values",1,1,0,1,1
"25.3.8.30001.altinityfips","PrettyNoEscapesMonoBlock",0,1,0,0,1
"25.3.8.30001.altinityfips","PrettyNoEscapes",0,1,0,0,1
"25.3.8.30001.altinityfips","PrettyMonoBlock",0,1,0,0,1
"25.3.8.30001.altinityfips","AvroConfluent",1,0,0,0,1
"25.3.8.30001.altinityfips","RawBLOB",1,1,0,0,1
"25.3.8.30001.altinityfips","Parquet",1,1,1,0,0
"25.3.8.30001.altinityfips","JSONCompactEachRowWithProgress",0,1,0,0,1
"25.3.8.30001.altinityfips","CustomSeparatedIgnoreSpacesWithNamesAndTypes",1,0,0,0,1
"25.3.8.30001.altinityfips","CustomSeparatedIgnoreSpacesWithNames",1,0,0,0,1
"25.3.8.30001.altinityfips","CustomSeparatedWithNamesAndTypes",1,1,0,1,1
"25.3.8.30001.altinityfips","PrettySpace",0,1,0,0,1
"25.3.8.30001.altinityfips","Arrow",1,1,0,0,0
"25.3.8.30001.altinityfips","JSONAsString",1,0,1,0,1
"25.3.8.30001.altinityfips","CustomSeparatedWithNames",1,1,0,1,1
"25.3.8.30001.altinityfips","CustomSeparated",1,1,0,1,1
"25.3.8.30001.altinityfips","BSONEachRow",1,1,1,1,0
"25.3.8.30001.altinityfips","Template",1,1,0,0,1
"25.3.8.30001.altinityfips","XML",0,1,0,1,1
"25.3.8.30001.altinityfips","ProtobufList",1,1,0,0,0
"25.3.8.30001.altinityfips","ProtobufSingle",1,1,0,0,0
"25.3.8.30001.altinityfips","JSONColumnsWithMetadata",1,1,0,0,1
"25.3.8.30001.altinityfips","TSVRawWithNamesAndTypes",1,1,1,1,1
"25.3.8.30001.altinityfips","Npy",1,1,0,0,0
"25.3.8.30001.altinityfips","TemplateIgnoreSpaces",1,0,0,0,1
"25.3.8.30001.altinityfips","JSONCompactColumns",1,1,0,0,1
"25.3.8.30001.altinityfips","JSONColumns",1,1,0,0,1
"25.3.8.30001.altinityfips","ArrowStream",1,1,0,0,0
"25.3.8.30001.altinityfips","JSONObjectEachRow",1,1,0,1,1
"25.3.8.30001.altinityfips","NDJSON",1,1,1,1,1
"25.3.8.30001.altinityfips","PrettyNDJSON",0,1,0,1,1
"25.3.8.30001.altinityfips","LineAsStringWithNamesAndTypes",0,1,0,1,1
"25.3.8.30001.altinityfips","PrettyJSONLines",0,1,0,1,1
"25.3.8.30001.altinityfips","CSVWithNamesAndTypes",1,1,1,1,1
"25.3.8.30001.altinityfips","ORC",1,1,0,0,0
"25.3.8.30001.altinityfips","Protobuf",1,1,0,0,0
"25.3.8.30001.altinityfips","PrettyJSONEachRow",0,1,0,1,1
"25.3.8.30001.altinityfips","JSONStrings",0,1,0,1,1
"25.3.8.30001.altinityfips","JSON",1,1,0,1,1
"25.3.8.30001.altinityfips","RawWithNames",1,1,1,1,1
"25.3.8.30001.altinityfips","MsgPack",1,1,0,1,0
"25.3.8.30001.altinityfips","LineAsStringWithNames",0,1,0,1,1
"25.3.8.30001.altinityfips","JSONCompactStringsEachRowWithProgress",0,1,0,0,1
"25.3.8.30001.altinityfips","LineAsString",1,1,1,1,1
"25.3.8.30001.altinityfips","RowBinaryWithNames",1,1,0,1,0
"25.3.8.30001.altinityfips","RowBinary",1,1,0,1,0
"25.3.8.30001.altinityfips","SQLInsert",0,1,0,0,1
"25.3.8.30001.altinityfips","Native",1,1,0,0,0
"25.3.8.30001.altinityfips","Prometheus",0,1,0,0,1
"25.3.8.30001.altinityfips","TSVRaw",1,1,1,1,1
"25.3.8.30001.altinityfips","JSONLines",1,1,1,1,1
"25.3.8.30001.altinityfips","CustomSeparatedIgnoreSpaces",1,0,0,0,1
"25.3.8.30001.altinityfips","JSONAsObject",1,0,1,0,1
"25.3.8.30001.altinityfips","HiveText",1,0,1,0,1
"25.3.8.30001.altinityfips","RowBinaryWithDefaults",1,0,0,0,1
"25.3.8.30001.altinityfips","JSONCompactStringsEachRowWithNamesAndTypes",1,1,1,1,1
"25.3.8.30001.altinityfips","RawWithNamesAndTypes",1,1,1,1,1
"25.3.8.30001.altinityfips","JSONCompactStringsEachRow",1,1,1,1,1
"25.3.8.30001.altinityfips","TabSeparatedWithNamesAndTypes",1,1,1,1,1
"25.3.8.30001.altinityfips","JSONCompactStringsEachRowWithNames",1,1,1,1,1
"25.3.8.30001.altinityfips","JSONCompactEachRowWithNamesAndTypes",1,1,1,1,1
"25.3.8.30001.altinityfips","JSONCompactEachRow",1,1,1,1,1
"25.3.8.30001.altinityfips","TSKV",1,1,1,1,1
"25.3.8.30001.altinityfips","Avro",1,1,0,0,0
"25.3.8.30001.altinityfips","JSONEachRow",1,1,1,1,1
"25.3.8.30001.altinityfips","Pretty",0,1,0,0,1
"25.3.8.30001.altinityfips","TSVRawWithNames",1,1,1,1,1
"25.3.8.30001.altinityfips","TabSeparatedRaw",1,1,1,1,1
"25.3.8.30001.altinityfips","Regexp",1,0,1,0,1
"25.3.8.30001.altinityfips","TabSeparatedRawWithNamesAndTypes",1,1,1,1,1
"25.3.8.30001.altinityfips","MySQLWire",0,1,0,0,0
"25.3.8.30001.altinityfips","CSVWithNames",1,1,1,1,1
"25.3.8.30001.altinityfips","Raw",1,1,1,1,1
"25.3.8.30001.altinityfips","TabSeparatedRawWithNames",1,1,1,1,1
"25.3.8.30001.altinityfips","RowBinaryWithNamesAndTypes",1,1,0,1,0
"25.3.8.30001.altinityfips","JSONCompact",1,1,0,1,1
"25.3.8.30001.altinityfips","CSV",1,1,1,1,1
"25.3.8.30001.altinityfips","JSONCompactEachRowWithNames",1,1,1,1,1
"25.3.8.30001.altinityfips","TSVWithNamesAndTypes",1,1,1,1,1
"25.3.8.30001.altinityfips","TabSeparatedWithNames",1,1,1,1,1
"25.3.8.30001.altinityfips","TabSeparated",1,1,1,1,1
"25.3.8.30001.altinityfips","TSVWithNames",1,1,1,1,1
