"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting","is_tty_friendly"
"25.4.2.31","One",1,0,0,0,1
"25.4.2.31","ParquetMetadata",1,0,1,0,1
"25.4.2.31","MySQLDump",1,0,0,0,1
"25.4.2.31","CapnProto",1,1,0,0,0
"25.4.2.31","PostgreSQLWire",0,1,0,0,0
"25.4.2.31","TSV",1,1,1,1,1
"25.4.2.31","PrettyCompactMonoBlock",0,1,0,0,1
"25.4.2.31","JSONEachRowWithProgress",0,1,0,0,1
"25.4.2.31","JSONCompactStrings",0,1,0,1,1
"25.4.2.31","JSONStringsEachRowWithProgress",0,1,0,0,1
"25.4.2.31","Vertical",0,1,0,1,1
"25.4.2.31","PrettySpaceNoEscapesMonoBlock",0,1,0,0,1
"25.4.2.31","Null",0,1,0,0,1
"25.4.2.31","PrettySpaceNoEscapes",0,1,0,0,1
"25.4.2.31","Markdown",0,1,0,1,1
"25.4.2.31","Form",1,0,0,0,1
"25.4.2.31","ODBCDriver2",0,1,0,0,0
"25.4.2.31","PrettySpaceMonoBlock",0,1,0,0,1
"25.4.2.31","PrettyCompactNoEscapesMonoBlock",0,1,0,0,1
"25.4.2.31","PrettyCompactNoEscapes",0,1,0,0,1
"25.4.2.31","JSONStringsEachRow",1,1,1,1,1
"25.4.2.31","PrettyCompact",0,1,0,0,1
"25.4.2.31","DWARF",1,0,1,0,1
"25.4.2.31","Values",1,1,0,1,1
"25.4.2.31","PrettyNoEscapesMonoBlock",0,1,0,0,1
"25.4.2.31","PrettyNoEscapes",0,1,0,0,1
"25.4.2.31","PrettyMonoBlock",0,1,0,0,1
"25.4.2.31","AvroConfluent",1,0,0,0,1
"25.4.2.31","RawBLOB",1,1,0,0,1
"25.4.2.31","Parquet",1,1,1,0,0
"25.4.2.31","JSONCompactEachRowWithProgress",0,1,0,0,1
"25.4.2.31","CustomSeparatedIgnoreSpacesWithNamesAndTypes",1,0,0,0,1
"25.4.2.31","CustomSeparatedIgnoreSpacesWithNames",1,0,0,0,1
"25.4.2.31","CustomSeparatedWithNamesAndTypes",1,1,0,1,1
"25.4.2.31","PrettySpace",0,1,0,0,1
"25.4.2.31","Arrow",1,1,0,0,0
"25.4.2.31","JSONAsString",1,0,1,0,1
"25.4.2.31","CustomSeparatedWithNames",1,1,0,1,1
"25.4.2.31","CustomSeparated",1,1,0,1,1
"25.4.2.31","BSONEachRow",1,1,1,1,0
"25.4.2.31","Template",1,1,0,0,1
"25.4.2.31","XML",0,1,0,1,1
"25.4.2.31","ProtobufList",1,1,0,0,0
"25.4.2.31","ProtobufSingle",1,1,0,0,0
"25.4.2.31","JSONColumnsWithMetadata",1,1,0,0,1
"25.4.2.31","TSVRawWithNamesAndTypes",1,1,1,1,1
"25.4.2.31","Npy",1,1,0,0,0
"25.4.2.31","TemplateIgnoreSpaces",1,0,0,0,1
"25.4.2.31","JSONCompactColumns",1,1,0,0,1
"25.4.2.31","JSONColumns",1,1,0,0,1
"25.4.2.31","ArrowStream",1,1,0,0,0
"25.4.2.31","JSONObjectEachRow",1,1,0,1,1
"25.4.2.31","NDJSON",1,1,1,1,1
"25.4.2.31","PrettyNDJSON",0,1,0,1,1
"25.4.2.31","LineAsStringWithNamesAndTypes",0,1,0,1,1
"25.4.2.31","PrettyJSONLines",0,1,0,1,1
"25.4.2.31","CSVWithNamesAndTypes",1,1,1,1,1
"25.4.2.31","ORC",1,1,1,0,0
"25.4.2.31","Protobuf",1,1,0,0,0
"25.4.2.31","PrettyJSONEachRow",0,1,0,1,1
"25.4.2.31","JSONStrings",0,1,0,1,1
"25.4.2.31","JSON",1,1,0,1,1
"25.4.2.31","RawWithNames",1,1,1,1,1
"25.4.2.31","MsgPack",1,1,0,1,0
"25.4.2.31","LineAsStringWithNames",0,1,0,1,1
"25.4.2.31","JSONCompactStringsEachRowWithProgress",0,1,0,0,1
"25.4.2.31","LineAsString",1,1,1,1,1
"25.4.2.31","RowBinaryWithNames",1,1,0,1,0
"25.4.2.31","RowBinary",1,1,0,1,0
"25.4.2.31","SQLInsert",0,1,0,0,1
"25.4.2.31","Native",1,1,0,0,0
"25.4.2.31","Prometheus",0,1,0,0,1
"25.4.2.31","TSVRaw",1,1,1,1,1
"25.4.2.31","JSONLines",1,1,1,1,1
"25.4.2.31","CustomSeparatedIgnoreSpaces",1,0,0,0,1
"25.4.2.31","JSONAsObject",1,0,1,0,1
"25.4.2.31","HiveText",1,0,1,0,1
"25.4.2.31","RowBinaryWithDefaults",1,0,0,0,1
"25.4.2.31","JSONCompactStringsEachRowWithNamesAndTypes",1,1,1,1,1
"25.4.2.31","RawWithNamesAndTypes",1,1,1,1,1
"25.4.2.31","JSONCompactStringsEachRow",1,1,1,1,1
"25.4.2.31","TabSeparatedWithNamesAndTypes",1,1,1,1,1
"25.4.2.31","JSONCompactStringsEachRowWithNames",1,1,1,1,1
"25.4.2.31","JSONCompactEachRowWithNamesAndTypes",1,1,1,1,1
"25.4.2.31","JSONCompactEachRow",1,1,1,1,1
"25.4.2.31","TSKV",1,1,1,1,1
"25.4.2.31","Avro",1,1,0,0,0
"25.4.2.31","JSONEachRow",1,1,1,1,1
"25.4.2.31","Pretty",0,1,0,0,1
"25.4.2.31","TSVRawWithNames",1,1,1,1,1
"25.4.2.31","TabSeparatedRaw",1,1,1,1,1
"25.4.2.31","Regexp",1,0,1,0,1
"25.4.2.31","TabSeparatedRawWithNamesAndTypes",1,1,1,1,1
"25.4.2.31","MySQLWire",0,1,0,0,0
"25.4.2.31","CSVWithNames",1,1,1,1,1
