"ch_version","name","value","default","changed","description","min","max","disallowed_values","readonly","type","is_obsolete","tier"
"25.6.3.116","min_compress_block_size","0","0",0,"
    Minimum size of blocks of uncompressed data required for compression when
    writing the next mark. You can also specify this setting in the global settings
    (see [min_compress_block_size](/operations/settings/merge-tree-settings#min_compress_block_size)
    setting). The value specified when the table is created overrides the global value
    for this setting.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_compress_block_size","0","0",0,"
    The maximum size of blocks of uncompressed data before compressing for writing
    to a table. You can also specify this setting in the global settings
    (see [max_compress_block_size](/operations/settings/merge-tree-settings#max_compress_block_size)
    setting). The value specified when the table is created overrides the global
    value for this setting.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","index_granularity","8192","8192",0,"
    Maximum number of data rows between the marks of an index. I.e how many rows
    correspond to one primary key value.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_digestion_size_per_segment","268435456","268435456",0,"
    Max number of bytes to digest per segment to build GIN index.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","min_bytes_for_wide_part","10485760","10485760",0,"
    Minimum number of bytes/rows in a data part that can be stored in `Wide`
    format. You can set one, both or none of these settings.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","min_rows_for_wide_part","0","0",0,"
    Minimal number of rows to create part in wide format instead of compact
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","max_merge_delayed_streams_for_parallel_write","40","40",0,"
    The maximum number of streams (columns) that can be flushed in parallel
    (analog of max_insert_delayed_streams_for_parallel_write for merges). Works
    only for Vertical merges.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","ratio_of_defaults_for_sparse_serialization","0.9375","0.9375",0,"
    Minimal ratio of the number of _default_ values to the number of _all_ values
    in a column. Setting this value causes the column to be stored using sparse
    serializations.

    If a column is sparse (contains mostly zeros), ClickHouse can encode it in
    a sparse format and automatically optimize calculations - the data does not
    require full decompression during queries. To enable this sparse
    serialization, define the `ratio_of_defaults_for_sparse_serialization`
    setting to be less than 1.0. If the value is greater than or equal to 1.0,
    then the columns will be always written using the normal full serialization.

    Possible values:

    - Float between `0` and `1` to enable sparse serialization
    - `1.0` (or greater) if you do not want to use sparse serialization

    **Example**

    Notice the `s` column in the following table is an empty string for 95% of
    the rows. In `my_regular_table` we do not use sparse serialization, and in
    `my_sparse_table` we set `ratio_of_defaults_for_sparse_serialization` to
    0.95:

    ```sql
    CREATE TABLE my_regular_table
    (
        `id` UInt64,
        `s` String
    )
    ENGINE = MergeTree
    ORDER BY id;

    INSERT INTO my_regular_table
    SELECT
        number AS id,
        number % 20 = 0 ? toString(number): '' AS s
    FROM
        numbers(10000000);


    CREATE TABLE my_sparse_table
    (
        `id` UInt64,
        `s` String
    )
    ENGINE = MergeTree
    ORDER BY id
    SETTINGS ratio_of_defaults_for_sparse_serialization = 0.95;

    INSERT INTO my_sparse_table
    SELECT
        number,
        number % 20 = 0 ? toString(number): ''
    FROM
        numbers(10000000);
    ```

    Notice the `s` column in `my_sparse_table` uses less storage space on disk:

    ```sql
    SELECT table, name, data_compressed_bytes, data_uncompressed_bytes FROM system.columns
    WHERE table LIKE 'my_%_table';
    ```

    ```response
    ┌─table────────────┬─name─┬─data_compressed_bytes─┬─data_uncompressed_bytes─┐
    │ my_regular_table │ id   │              37790741 │                75488328 │
    │ my_regular_table │ s    │               2451377 │                12683106 │
    │ my_sparse_table  │ id   │              37790741 │                75488328 │
    │ my_sparse_table  │ s    │               2283454 │                 9855751 │
    └──────────────────┴──────┴───────────────────────┴─────────────────────────┘
    ```

    You can verify if a column is using the sparse encoding by viewing the
    `serialization_kind` column of the `system.parts_columns` table:

    ```sql
    SELECT column, serialization_kind FROM system.parts_columns
    WHERE table LIKE 'my_sparse_table';
    ```

    You can see which parts of `s` were stored using the sparse serialization:

    ```response
    ┌─column─┬─serialization_kind─┐
    │ id     │ Default            │
    │ s      │ Default            │
    │ id     │ Default            │
    │ s      │ Default            │
    │ id     │ Default            │
    │ s      │ Sparse             │
    │ id     │ Default            │
    │ s      │ Sparse             │
    │ id     │ Default            │
    │ s      │ Sparse             │
    │ id     │ Default            │
    │ s      │ Sparse             │
    │ id     │ Default            │
    │ s      │ Sparse             │
    │ id     │ Default            │
    │ s      │ Sparse             │
    │ id     │ Default            │
    │ s      │ Sparse             │
    │ id     │ Default            │
    │ s      │ Sparse             │
    │ id     │ Default            │
    │ s      │ Sparse             │
    └────────┴────────────────────┘
    ```
    ",\N,\N,"[]",0,"Float",0,"Production"
"25.6.3.116","replace_long_file_name_to_hash","1","1",0,"
    If the file name for column is too long (more than 'max_file_name_length'
    bytes) replace it to SipHash128
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","max_file_name_length","127","127",0,"
    The maximal length of the file name to keep it as is without hashing.
    Takes effect only if setting `replace_long_file_name_to_hash` is enabled.
    The value of this setting does not include the length of file extension. So,
    it is recommended to set it below the maximum filename length (usually 255
    bytes) with some gap to avoid filesystem errors.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","min_bytes_for_full_part_storage","0","0",0,"
    Only available in ClickHouse Cloud. Minimal uncompressed size in bytes to
    use full type of storage for data part instead of packed
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","min_rows_for_full_part_storage","0","0",0,"
    Only available in ClickHouse Cloud. Minimal number of rows to use full type
    of storage for data part instead of packed
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","compact_parts_max_bytes_to_buffer","134217728","134217728",0,"
    Only available in ClickHouse Cloud. Maximal number of bytes to write in a
    single stripe in compact parts
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","compact_parts_max_granules_to_buffer","128","128",0,"
    Only available in ClickHouse Cloud. Maximal number of granules to write in a
    single stripe in compact parts
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","compact_parts_merge_max_bytes_to_prefetch_part","16777216","16777216",0,"
    Only available in ClickHouse Cloud. Maximal size of compact part to read it
    in a whole to memory during merge.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","merge_max_bytes_to_prewarm_cache","1073741824","1073741824",0,"
    Only available in ClickHouse Cloud. Maximal size of part (compact or packed)
    to prewarm cache during merge.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","merge_total_max_bytes_to_prewarm_cache","16106127360","16106127360",0,"
    Only available in ClickHouse Cloud. Maximal size of parts in total to prewarm
    cache during merge.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","load_existing_rows_count_for_old_parts","0","0",0,"
    If enabled along with [exclude_deleted_rows_for_part_size_in_merge](#exclude_deleted_rows_for_part_size_in_merge),
    deleted rows count for existing data parts will be calculated during table
    starting up. Note that it may slow down start up table loading.

    Possible values:
    - `true`
    - `false`

    **See Also**
    - [exclude_deleted_rows_for_part_size_in_merge](#exclude_deleted_rows_for_part_size_in_merge) setting
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","use_compact_variant_discriminators_serialization","1","1",0,"
    Enables compact mode for binary serialization of discriminators in Variant
    data type.
    This mode allows to use significantly less memory for storing discriminators
    in parts when there is mostly one variant or a lot of NULL values.
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","write_marks_for_substreams_in_compact_parts","0","0",0,"
    Enables writing marks per each substream instead of per each column in Compact parts.
    It allows to read individual subcolumns from the data part efficiently.
    ",\N,\N,"[]",0,"Bool",0,"Production"
"25.6.3.116","merge_selector_blurry_base_scale_factor","0","0",0,"
    Controls when the logic kicks in relatively to the number of parts in
    partition. The bigger the factor the more belated reaction will be.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
"25.6.3.116","merge_selector_window_size","1000","1000",0,"
    How many parts to look at once.
    ",\N,\N,"[]",0,"UInt64",0,"Production"
