"ch_version","name","is_aggregate","case_insensitive","alias_to","create_query","origin","description","syntax","arguments","returned_value","examples","introduced_in","categories"
"25.7.1.3997","halfMD5",0,0,"","","System","
[Interprets](../..//sql-reference/functions/type-conversion-functions.md/#type_conversion_functions-reinterpretAsString) all the input
parameters as strings and calculates the MD5 hash value for each of them. Then combines hashes, takes the first 8 bytes of the hash of the
resulting string, and interprets them as [UInt64](../../../sql-reference/data-types/int-uint.md) in big-endian byte order. The function is
relatively slow (5 million short strings per second per processor core).

Consider using the [sipHash64](../../sql-reference/functions/hash-functions.md/#hash_functions-siphash64) function instead.
                       ","SELECT halfMD5(par1,par2,...,parN);","- `par1,par2,...,parN` — 
The function takes a variable number of input parameters. Arguments can be any of the supported data types. For some data types calculated
value of hash function may be the same for the same values even if types of arguments differ (integers of different size, named and unnamed
Tuple with the same data, Map and the corresponding Array(Tuple(key, value)) type with the same data).
                        ","The computed half MD5 hash of the given input params returned as a UInt64 in big-endian byte order. [`UInt64`](/sql-reference/data-types/int-uint)","****

```sql title=Query
SELECT HEX(halfMD5('abc', 'cde', 'fgh'));
```

```response title=Response
┌─hex(halfMD5('abc', 'cde', 'fgh'))─┐
│ 2C9506B7374CFAF4                  │
└───────────────────────────────────┘
```

","","Hash"
"25.7.1.3997","wyHash64",0,0,"","","System","","","","","","",""
"25.7.1.3997","xxHash64",0,0,"","","System","","","","","","",""
"25.7.1.3997","javaHash",0,0,"","","System","","","","","","",""
"25.7.1.3997","metroHash64",0,0,"","","System","","","","","","",""
"25.7.1.3997","farmFingerprint64",0,0,"","","System","","","","","","",""
"25.7.1.3997","sipHash128",0,0,"","","System","","","","","","",""
"25.7.1.3997","log2",0,1,"","","System","","","","","","",""
"25.7.1.3997","regionToName",0,0,"","","System","","","","","","",""
"25.7.1.3997","regionIn",0,0,"","","System","","","","","","",""
"25.7.1.3997","cityHash64",0,0,"","","System","","","","","","",""
"25.7.1.3997","regionToTopContinent",0,0,"","","System","","","","","","",""
"25.7.1.3997","regionToArea",0,0,"","","System","","","","","","",""
"25.7.1.3997","regionToCity",0,0,"","","System","","","","","","",""
"25.7.1.3997","cutQueryString",0,0,"","","System","","","","","","",""
"25.7.1.3997","toIntervalHour",0,0,"","","System","","","","","","",""
"25.7.1.3997","toIntervalMinute",0,0,"","","System","","","","","","",""
"25.7.1.3997","toIntervalMillisecond",0,0,"","","System","","","","","","",""
"25.7.1.3997","parseDateTime64BestEffortUSOrZero",0,0,"","","System","","","","","","",""
"25.7.1.3997","parseDateTime64BestEffortUS",0,0,"","","System","","","","","","",""
"25.7.1.3997","parseDateTime64BestEffortOrZero",0,0,"","","System","","","","","","",""
"25.7.1.3997","parseDateTime64BestEffort",0,0,"","","System","","","","","","",""
"25.7.1.3997","parseDateTime32BestEffort",0,0,"","","System","","","","","","",""
"25.7.1.3997","parseDateTimeBestEffortOrNull",0,0,"","","System","","","","","","",""
"25.7.1.3997","parseDateTimeBestEffortOrZero",0,0,"","","System","","","","","","",""
"25.7.1.3997","toIPv6OrNull",0,0,"","","System","","","","","","",""
"25.7.1.3997","toUUIDOrNull",0,0,"","","System","","","","","","",""
"25.7.1.3997","toDecimal64OrNull",0,0,"","","System","","","","","","",""
"25.7.1.3997","toDecimal32OrNull",0,0,"","","System","","","","","","",""
