"ch_version","name","value","changed","description","min","max","disallowed_values","readonly","type","default","alias_for","is_obsolete","tier"
"25.7.3.13","dialect","clickhouse",0,"Which dialect will be used to parse query",\N,\N,"[]",0,"Dialect","clickhouse","",0,"Production"
"25.7.3.13","min_compress_block_size","65536",0,"For [MergeTree](../../engines/table-engines/mergetree-family/mergetree.md) tables. In order to reduce latency when processing queries, a block is compressed when writing the next mark if its size is at least `min_compress_block_size`. By default, 65,536.

The actual size of the block, if the uncompressed data is less than `max_compress_block_size`, is no less than this value and no less than the volume of data for one mark.

Let's look at an example. Assume that `index_granularity` was set to 8192 during table creation.

We are writing a UInt32-type column (4 bytes per value). When writing 8192 rows, the total will be 32 KB of data. Since min_compress_block_size = 65,536, a compressed block will be formed for every two marks.

We are writing a URL column with the String type (average size of 60 bytes per value). When writing 8192 rows, the average will be slightly less than 500 KB of data. Since this is more than 65,536, a compressed block will be formed for each mark. In this case, when reading data from the disk in the range of a single mark, extra data won't be decompressed.

:::note
This is an expert-level setting, and you shouldn't change it if you're just getting started with ClickHouse.
:::",\N,\N,"[]",0,"UInt64","65536","",0,"Production"
"25.7.3.13","max_compress_block_size","1048576",0,"The maximum size of blocks of uncompressed data before compressing for writing to a table. By default, 1,048,576 (1 MiB). Specifying a smaller block size generally leads to slightly reduced compression ratio, the compression and decompression speed increases slightly due to cache locality, and memory consumption is reduced.

:::note
This is an expert-level setting, and you shouldn't change it if you're just getting started with ClickHouse.
:::

Don't confuse blocks for compression (a chunk of memory consisting of bytes) with blocks for query processing (a set of rows from a table).",\N,\N,"[]",0,"UInt64","1048576","",0,"Production"
"25.7.3.13","max_block_size","65409",0,"In ClickHouse, data is processed by blocks, which are sets of column parts. The internal processing cycles for a single block are efficient but there are noticeable costs when processing each block.

The `max_block_size` setting indicates the recommended maximum number of rows to include in a single block when loading data from tables. Blocks the size of `max_block_size` are not always loaded from the table: if ClickHouse determines that less data needs to be retrieved, a smaller block is processed.

The block size should not be too small to avoid noticeable costs when processing each block. It should also not be too large to ensure that queries with a LIMIT clause execute quickly after processing the first block. When setting `max_block_size`, the goal should be to avoid consuming too much memory when extracting a large number of columns in multiple threads and to preserve at least some cache locality.",\N,\N,"[]",0,"NonZeroUInt64","65409","",0,"Production"
"25.7.3.13","max_insert_block_size","1048449",0,"The size of blocks (in a count of rows) to form for insertion into a table.
This setting only applies in cases when the server forms the blocks.
For example, for an INSERT via the HTTP interface, the server parses the data format and forms blocks of the specified size.
But when using clickhouse-client, the client parses the data itself, and the 'max_insert_block_size' setting on the server does not affect the size of the inserted blocks.
The setting also does not have a purpose when using INSERT SELECT, since data is inserted using the same blocks that are formed after SELECT.

The default is slightly more than `max_block_size`. The reason for this is that certain table engines (`*MergeTree`) form a data part on the disk for each inserted block, which is a fairly large entity. Similarly, `*MergeTree` tables sort data during insertion, and a large enough block size allow sorting more data in RAM.",\N,\N,"[]",0,"NonZeroUInt64","1048449","",0,"Production"
"25.7.3.13","min_insert_block_size_rows","1048449",0,"Sets the minimum number of rows in the block that can be inserted into a table by an `INSERT` query. Smaller-sized blocks are squashed into bigger ones.

Possible values:

- Positive integer.
- 0 — Squashing disabled.",\N,\N,"[]",0,"UInt64","1048449","",0,"Production"
"25.7.3.13","min_insert_block_size_bytes","268402944",0,"Sets the minimum number of bytes in the block which can be inserted into a table by an `INSERT` query. Smaller-sized blocks are squashed into bigger ones.

Possible values:

- Positive integer.
- 0 — Squashing disabled.",\N,\N,"[]",0,"UInt64","268402944","",0,"Production"
"25.7.3.13","min_insert_block_size_rows_for_materialized_views","0",0,"Sets the minimum number of rows in the block which can be inserted into a table by an `INSERT` query. Smaller-sized blocks are squashed into bigger ones. This setting is applied only for blocks inserted into [materialized view](../../sql-reference/statements/create/view.md). By adjusting this setting, you control blocks squashing while pushing to materialized view and avoid excessive memory usage.

Possible values:

- Any positive integer.
- 0 — Squashing disabled.

**See Also**

- [min_insert_block_size_rows](#min_insert_block_size_rows)",\N,\N,"[]",0,"UInt64","0","",0,"Production"
"25.7.3.13","min_insert_block_size_bytes_for_materialized_views","0",0,"Sets the minimum number of bytes in the block which can be inserted into a table by an `INSERT` query. Smaller-sized blocks are squashed into bigger ones. This setting is applied only for blocks inserted into [materialized view](../../sql-reference/statements/create/view.md). By adjusting this setting, you control blocks squashing while pushing to materialized view and avoid excessive memory usage.

Possible values:

- Any positive integer.
- 0 — Squashing disabled.

**See also**

- [min_insert_block_size_bytes](#min_insert_block_size_bytes)",\N,\N,"[]",0,"UInt64","0","",0,"Production"
"25.7.3.13","min_external_table_block_size_rows","1048449",0,"Squash blocks passed to external table to specified size in rows, if blocks are not big enough.",\N,\N,"[]",0,"UInt64","1048449","",0,"Production"
"25.7.3.13","min_external_table_block_size_bytes","268402944",0,"Squash blocks passed to the external table to a specified size in bytes, if blocks are not big enough.",\N,\N,"[]",0,"UInt64","268402944","",0,"Production"
