"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting","is_tty_friendly","content_type","supports_random_access","has_schema_inference","has_external_schema","prefers_large_blocks","supports_append","supports_subsets_of_columns"
"25.8.16.10002.altinitystable","One",1,0,0,0,1,"",0,0,1,0,0,0
"25.8.16.10002.altinitystable","ParquetMetadata",1,0,1,0,1,"",1,1,0,0,0,1
"25.8.16.10002.altinitystable","MySQLDump",1,0,0,0,1,"",0,1,0,0,0,0
"25.8.16.10002.altinitystable","Hash",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","CapnProto",1,1,0,0,0,"application/octet-stream",0,0,1,0,0,1
"25.8.16.10002.altinitystable","PostgreSQLWire",0,1,0,0,0,"application/octet-stream",0,0,0,0,0,0
"25.8.16.10002.altinitystable","TSV",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,0
"25.8.16.10002.altinitystable","PrettyCompactMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","JSONEachRowWithProgress",0,1,0,0,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","JSONCompactStrings",0,1,0,1,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","JSONStringsEachRowWithProgress",0,1,0,0,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","Vertical",0,1,0,1,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","PrettySpaceNoEscapesMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","Null",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","PrettySpaceNoEscapes",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","Markdown",0,1,0,1,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","Form",1,0,0,0,1,"",0,1,0,0,0,0
"25.8.16.10002.altinitystable","ODBCDriver2",0,1,0,0,0,"application/octet-stream",0,0,0,0,0,0
"25.8.16.10002.altinitystable","PrettySpaceMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","PrettyCompactNoEscapesMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","PrettyCompactNoEscapes",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","JSONStringsEachRow",1,1,1,1,1,"application/x-ndjson; charset=UTF-8",0,1,0,0,0,1
"25.8.16.10002.altinitystable","PrettyCompact",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","DWARF",1,0,1,0,1,"",1,1,0,0,0,1
"25.8.16.10002.altinitystable","Values",1,1,0,1,1,"text/plain; charset=UTF-8",0,1,0,0,0,0
"25.8.16.10002.altinitystable","PrettyNoEscapesMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","PrettyNoEscapes",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","PrettyMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","AvroConfluent",1,0,0,0,1,"",0,1,0,0,0,1
"25.8.16.10002.altinitystable","RawBLOB",1,1,0,0,1,"text/plain; charset=UTF-8",0,0,1,0,0,0
"25.8.16.10002.altinitystable","Parquet",1,1,1,0,0,"application/octet-stream",1,1,0,0,0,1
"25.8.16.10002.altinitystable","JSONCompactEachRowWithProgress",0,1,0,0,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","CustomSeparatedIgnoreSpacesWithNamesAndTypes",1,0,0,0,1,"",0,1,0,0,0,1
"25.8.16.10002.altinitystable","CustomSeparatedIgnoreSpacesWithNames",1,0,0,0,1,"",0,1,0,0,0,1
"25.8.16.10002.altinitystable","CustomSeparatedWithNamesAndTypes",1,1,0,1,1,"text/plain; charset=UTF-8",0,1,0,0,1,1
"25.8.16.10002.altinitystable","PrettySpace",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","Arrow",1,1,0,0,0,"application/octet-stream",0,1,0,0,0,1
"25.8.16.10002.altinitystable","JSONAsString",1,0,1,0,1,"",0,0,1,0,0,0
"25.8.16.10002.altinitystable","CustomSeparatedWithNames",1,1,0,1,1,"text/plain; charset=UTF-8",0,1,0,0,1,1
"25.8.16.10002.altinitystable","CustomSeparated",1,1,0,1,1,"text/plain; charset=UTF-8",0,1,0,0,1,0
"25.8.16.10002.altinitystable","BSONEachRow",1,1,1,1,0,"application/octet-stream",0,1,0,0,0,0
"25.8.16.10002.altinitystable","Template",1,1,0,0,1,"text/plain; charset=UTF-8",0,1,0,0,1,0
"25.8.16.10002.altinitystable","XML",0,1,0,1,1,"application/xml; charset=UTF-8",0,0,0,0,0,0
"25.8.16.10002.altinitystable","ProtobufList",1,1,0,0,0,"application/octet-stream",0,0,1,0,0,1
"25.8.16.10002.altinitystable","ProtobufSingle",1,1,0,0,0,"application/octet-stream",0,0,1,0,0,1
"25.8.16.10002.altinitystable","JSONColumnsWithMetadata",1,1,0,0,1,"application/json; charset=UTF-8",0,1,0,0,0,1
"25.8.16.10002.altinitystable","TSVRawWithNamesAndTypes",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,1
"25.8.16.10002.altinitystable","Npy",1,1,0,0,0,"application/octet-stream",0,1,0,0,0,1
"25.8.16.10002.altinitystable","TemplateIgnoreSpaces",1,0,0,0,1,"",0,1,0,0,0,0
"25.8.16.10002.altinitystable","JSONCompactColumns",1,1,0,0,1,"application/json; charset=UTF-8",0,1,0,0,0,0
