"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting","is_tty_friendly","content_type","supports_random_access","has_schema_inference","has_external_schema","prefers_large_blocks","supports_append","supports_subsets_of_columns"
"26.5.7.64","One",1,0,0,0,1,"",0,0,1,0,0,0
"26.5.7.64","ParquetMetadata",1,0,1,0,1,"",1,1,0,0,0,1
"26.5.7.64","MySQLDump",1,0,0,0,1,"",0,1,0,0,0,0
"26.5.7.64","Hash",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","CapnProto",1,1,0,0,0,"application/octet-stream",0,0,1,0,0,1
"26.5.7.64","PostgreSQLWire",0,1,0,0,0,"application/octet-stream",0,0,0,0,0,0
"26.5.7.64","MD",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","TSV",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,0
"26.5.7.64","PrettyCompactMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","JSONEachRowWithProgress",0,1,0,0,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","JSONCompactStrings",0,1,0,1,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","JSONStringsEachRowWithProgress",0,1,0,0,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","Vertical",0,1,0,1,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","PrettySpaceNoEscapesMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","Null",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","PrettySpaceNoEscapes",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","Markdown",0,1,0,1,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","Form",1,0,0,0,1,"",0,1,0,0,0,0
"26.5.7.64","ODBCDriver2",0,1,0,0,0,"application/octet-stream",0,0,0,0,0,0
"26.5.7.64","PrettySpaceMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","PrettyCompactNoEscapesMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","PrettyCompactNoEscapes",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","JSONStringsEachRow",1,1,1,1,1,"application/x-ndjson; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","PrettyCompact",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","DWARF",1,0,1,0,1,"",1,1,0,0,0,1
"26.5.7.64","Values",1,1,0,1,1,"text/plain; charset=UTF-8",0,1,0,0,0,0
"26.5.7.64","PrettyNoEscapesMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","PrettyNoEscapes",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","PrettyMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","AvroConfluent",1,1,0,0,0,"application/octet-stream",0,1,0,0,0,1
"26.5.7.64","RawBLOB",1,1,0,0,1,"text/plain; charset=UTF-8",0,0,1,0,0,0
"26.5.7.64","Parquet",1,1,1,0,0,"application/octet-stream",1,1,0,0,0,1
"26.5.7.64","JSONCompactEachRowWithProgress",0,1,0,0,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","CustomSeparatedIgnoreSpacesWithNamesAndTypes",1,0,0,0,1,"",0,1,0,0,0,1
"26.5.7.64","CustomSeparatedIgnoreSpacesWithNames",1,0,0,0,1,"",0,1,0,0,0,1
"26.5.7.64","CustomSeparatedWithNamesAndTypes",1,1,0,1,1,"text/plain; charset=UTF-8",0,1,0,0,1,1
"26.5.7.64","PrettySpace",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","Arrow",1,1,0,0,0,"application/octet-stream",0,1,0,0,0,1
"26.5.7.64","JSONAsString",1,0,1,0,1,"",0,0,1,0,0,0
"26.5.7.64","CustomSeparatedWithNames",1,1,0,1,1,"text/plain; charset=UTF-8",0,1,0,0,1,1
"26.5.7.64","CustomSeparated",1,1,0,1,1,"text/plain; charset=UTF-8",0,1,0,0,1,0
"26.5.7.64","BSONEachRow",1,1,1,1,0,"application/octet-stream",0,1,0,0,0,0
"26.5.7.64","Template",1,1,0,0,1,"text/plain; charset=UTF-8",0,1,0,0,1,0
"26.5.7.64","XML",0,1,0,1,1,"application/xml; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","ProtobufList",1,1,0,0,0,"application/octet-stream",0,0,1,0,0,1
"26.5.7.64","ProtobufSingle",1,1,0,0,0,"application/octet-stream",0,0,1,0,0,1
"26.5.7.64","JSONColumnsWithMetadata",1,1,0,0,1,"application/json; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","TSVRawWithNamesAndTypes",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","Npy",1,1,0,0,0,"application/octet-stream",0,1,0,0,0,1
"26.5.7.64","TemplateIgnoreSpaces",1,0,0,0,1,"",0,1,0,0,0,0
"26.5.7.64","JSONCompactColumns",1,1,0,0,1,"application/json; charset=UTF-8",0,1,0,0,0,0
"26.5.7.64","JSONColumns",1,1,0,0,1,"application/json; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","ArrowStream",1,1,0,0,0,"application/octet-stream",0,1,0,1,0,0
"26.5.7.64","JSONObjectEachRow",1,1,0,1,1,"application/json; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","NDJSON",1,1,1,1,1,"application/x-ndjson; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","PrettyNDJSON",0,1,0,1,1,"application/x-ndjson; charset=UTF-8",0,0,0,0,0,0
